origin,band,family,config,status,converged,n_train,measure,feature,source_group,value
2019-03,0,imported,a0.01_l0.2,estimated,True,107,coefficients,cost_62_now,imported_cost,0.007241655225212249
2019-03,0,imported,a0.01_l0.2,estimated,True,107,coefficients,cost_62_mean3,imported_cost,-0.0027353665965994985
2019-03,0,imported,a0.01_l0.2,estimated,True,107,coefficients,destination_season,own_core_state,-0.02580139811199089
2019-03,0,imported,a0.01_l0.2,estimated,True,107,coefficients,penalized_constant,constant,0.02831500595040463
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,core1,own_core_state,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,core3,own_core_state,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,core12,own_core_state,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,core_acceleration,own_core_state,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,midtrend,own_core_state,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,midcycle,own_core_state,-0.026100974463311066
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,services_yoy,domestic,-0.03030176894382549
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,services_change3,domestic,-0.001330966835793246
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,unemployment,domestic,-0.02189976626906115
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,unemployment_change3,domestic,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,ip_growth3,domestic,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,ulc_growth12,domestic,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,goods_yoy,imported_cost,0.004722564132427886
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,goods_change3,imported_cost,-0.010530771244251138
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,fx1,imported_cost,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,fx3,imported_cost,-0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_23_now,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_23_mean3,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_26_now,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_26_mean3,imported_cost,0.007150982283916812
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_45_now,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_45_mean3,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_47_now,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_47_mean3,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_56_now,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_56_mean3,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_62_now,imported_cost,0.0016058788443083774
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,cost_62_mean3,imported_cost,0.0
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,destination_season,own_core_state,-0.018940261976180598
2019-03,0,both,a0.1_l0.8,estimated,True,107,coefficients,penalized_constant,constant,0.020102085639185033
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,core1,own_core_state,-0.01057685184708636
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,core3,own_core_state,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,core12,own_core_state,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,core_acceleration,own_core_state,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,midtrend,own_core_state,-0.0
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,midcycle,own_core_state,-0.02912940861990133
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,services_yoy,domestic,-0.04739781809280889
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,services_change3,domestic,-0.007855497682799382
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,goods_yoy,imported_cost,0.0029584057779634743
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,goods_change3,imported_cost,-0.020291452678869906
2019-03,0,wide,a0.1_l0.2,estimated,True,107,coefficients,fx1,imported_cost,-0.002883112245642693
