origin,h,model,core_log,core_mm,state_mid_log,correction_log,band
2024-07,5,BLEND_WIDE_STATE_R15,0.14089005738872545,0.14098935405764945,0.14089005738872545,0.0,2
2024-07,6,STATE_SLOW_R15,0.601860557315167,0.6036753770352948,0.4953404182952796,0.10652013901988738,2
2024-07,6,STATE_MID_R15,0.4953404182952796,0.4965692570858605,0.4953404182952796,0.0,2
2024-07,6,STATE_FAST_R15,0.3852213956304205,0.38596432691911525,0.4953404182952796,-0.11011902266485907,2
2024-07,6,STATE_ADAPT_R15,0.3852213956304205,0.38596432691911525,0.4953404182952796,-0.11011902266485907,2
2024-07,6,ENET_DOMESTIC_R15,0.4953404182952796,0.4965692570858605,0.4953404182952796,0.0,2
2024-07,6,ENET_IMPORTED_R15,0.4953404182952796,0.4965692570858605,0.4953404182952796,0.0,2
2024-07,6,ENET_BOTH_R15,0.4953404182952796,0.4965692570858605,0.4953404182952796,0.0,2
2024-07,6,ENET_WIDE_R15,0.4953404182952796,0.4965692570858605,0.4953404182952796,0.0,2
2024-07,6,RF_RESIDUAL_R15,0.4788496829336886,0.47999800020080985,0.4953404182952796,-0.016490735361590958,2
2024-07,6,BLEND_LINEAR_RF_R15,0.4870950506144841,0.4882832870530705,0.4953404182952796,-0.008245367680795479,2
2024-07,6,BLEND_WIDE_STATE_R15,0.4953404182952796,0.4965692570858605,0.4953404182952796,0.0,2
2024-08,4,STATE_SLOW_R15,0.2793331033821132,0.2797236018078093,0.2132732246357345,0.0660598787463787,2
2024-08,4,STATE_MID_R15,0.2132732246357345,0.21350081374425103,0.2132732246357345,0.0,2
2024-08,4,STATE_FAST_R15,0.17479767523403816,0.17495053542275116,0.2132732246357345,-0.03847554940169634,2
2024-08,4,STATE_ADAPT_R15,0.17479767523403816,0.17495053542275116,0.2132732246357345,-0.03847554940169634,2
2024-08,4,ENET_DOMESTIC_R15,0.2132732246357345,0.21350081374425103,0.2132732246357345,0.0,2
2024-08,4,ENET_IMPORTED_R15,0.2132732246357345,0.21350081374425103,0.2132732246357345,0.0,2
2024-08,4,ENET_BOTH_R15,0.2132732246357345,0.21350081374425103,0.2132732246357345,0.0,2
2024-08,4,ENET_WIDE_R15,0.2132732246357345,0.21350081374425103,0.2132732246357345,0.0,2
2024-08,4,RF_RESIDUAL_R15,0.23099928722200463,0.23126629613213318,0.2132732246357345,0.01772606258627013,2
2024-08,4,BLEND_LINEAR_RF_R15,0.22213625592886957,0.2223831612981265,0.2132732246357345,0.008863031293135065,2
2024-08,4,BLEND_WIDE_STATE_R15,0.2132732246357345,0.21350081374425103,0.2132732246357345,0.0,2
