run,sample,support,h,n,original_rmse,corrected_rmse,bridge_rmse
realtime_full_luci_month,recent_targets,paired_with_bridge,3,31,0.48019911854078234,0.4774388205507308,0.5465251115875537
realtime_full_luci_month,recent_targets,paired_with_bridge,4,31,0.5940535389185375,0.5814156086184417,0.5498837901575501
realtime_full_luci_month,recent_targets,paired_with_bridge,5,31,0.6680427983711009,0.6661642531645652,0.6477482330271562
realtime_full_luci_month,recent_targets,paired_with_bridge,6,31,0.7308869367424121,0.7426047139500093,0.7478339170561031
realtime_full_luci_month,recent_targets,paired_with_bridge,7,31,0.7951601129726369,0.8022521673027545,0.8449587352507341
realtime_full_luci_month,recent_targets,paired_with_bridge,8,31,0.8948823449961288,0.8577872144225185,0.9171180803165188
realtime_full_luci_month,recent_targets,paired_with_bridge,9,31,1.324347770769072,1.229378289416465,1.1824489101326947
realtime_full_luci_month,recent_targets,paired_with_bridge,10,31,2.0984621343592913,1.9307263762258422,1.4813747551498109
realtime_full_luci_month,recent_targets,paired_with_bridge,11,31,3.0285076340234203,2.8282824776305318,1.6925933209508006
realtime_full_luci_month,recent_targets,paired_with_bridge,12,31,3.275877656447243,2.9693510579912012,1.8921319727646286
