date,product,actual_gross,reconstructed_gross,difference
2011-10-17,diesel,34.63411416,34.633911239999996,-0.00020292000000665666
2011-10-24,diesel,34.63404551999998,34.63391323199999,-0.0001322879999889892
2011-10-31,diesel,34.98701870999997,34.98710169599998,8.298600000955503e-05
2011-11-07,diesel,34.95490631999997,34.954909055999984,2.7360000132148343e-06
2011-11-14,diesel,35.08487727,35.08508372399999,0.00020645399999352776
2011-11-21,diesel,35.55997366000001,35.559854712,-0.00011894800000789019
2011-11-28,diesel,35.62888538999998,35.628951839999985,6.64500000056023e-05
2011-12-05,diesel,35.664068879999974,35.663976287999986,-9.259199998723489e-05
2011-12-12,diesel,35.58999654,35.589912911999996,-8.362800000583093e-05
2011-12-19,diesel,35.53399539999997,35.534042639999974,4.724000000777551e-05
2012-01-09,diesel,36.06697145999997,36.06700363199998,3.217200001159881e-05
2012-01-16,diesel,36.218972599999965,36.21911387999997,0.00014128000000823704
2012-01-23,diesel,36.909918429999976,36.909858695999986,-5.973399998993045e-05
2012-01-30,diesel,36.81990619999997,36.82001159999998,0.00010540000000958116
2012-02-06,diesel,36.72309799999999,36.72301847999999,-7.951999999988857e-05
2012-02-13,diesel,36.66588000000005,36.66597066000003,9.065999997659446e-05
2012-02-20,diesel,36.68601843999998,36.68608151999998,6.308000000387892e-05
2012-02-27,diesel,36.93895139999999,36.93905784,0.00010644000000326059
2012-03-05,diesel,36.917987400000015,36.918095040000004,0.0001076399999888622
2012-03-12,diesel,36.970999449999965,36.971022599999976,2.3150000011185057e-05
2012-03-19,diesel,37.18098815000004,37.18096615200002,-2.199800002244956e-05
2012-03-26,diesel,37.239082200000034,37.239075720000024,-6.48000001035598e-06
2012-04-02,diesel,37.13992932999999,37.139983307999984,5.397799999684594e-05
2012-04-16,diesel,36.90908577000003,36.908883072000016,-0.00020269800001671
2012-04-23,diesel,36.916888019999966,36.917126435999975,0.00023841600000906737
2012-04-30,diesel,36.81609084000002,36.815970168000014,-0.00012067200000842604
2012-05-07,diesel,36.74195524999996,36.74207849999998,0.00012325000001567332
2012-05-14,diesel,36.621875549999984,36.62204543999999,0.00016989000000222632
2012-05-21,diesel,36.40699025000001,36.407035500000006,4.524999999944157e-05
2012-05-28,diesel,36.27488351999999,36.27495689999999,7.338000000345346e-05
2012-06-04,diesel,36.15898227999998,36.15888902399999,-9.32559999924365e-05
2012-06-11,diesel,35.83590029999999,35.83612097999999,0.00022067999999819676
2012-06-18,diesel,35.53902651000004,35.53886360400003,-0.00016290600001411804
2012-06-25,diesel,35.36200309000001,35.36189544,-0.00010765000001100589
2012-07-02,diesel,35.36200394999998,35.361932039999985,-7.190999999551195e-05
2012-07-09,diesel,34.92788543999997,34.92792806399998,4.262400000953903e-05
2012-07-16,diesel,35.30988428,35.310121776,0.0002374960000040005
2012-07-23,diesel,35.55711211000004,35.55702633600002,-8.577400001996693e-05
2012-07-30,diesel,36.054026939999964,36.05405759999997,3.0660000007287636e-05
2012-08-06,diesel,35.969902080000004,35.96997931200001,7.723200000242514e-05
2012-08-13,diesel,36.05692419999996,36.05685125999997,-7.293999998836398e-05
2012-08-20,diesel,36.639986949999965,36.63995951999997,-2.7429999995831622e-05
2012-08-27,diesel,37.20812044999999,37.20794777999999,-0.00017266999999776544
2012-09-03,diesel,37.246900679999975,37.24705087199998,0.00015019200000665478
2012-09-10,diesel,37.221086099999965,37.22100287999998,-8.321999998628371e-05
2012-09-17,diesel,37.231916799999965,37.23204173999998,0.000124940000013396
2012-09-24,diesel,37.23192839999999,37.23203999999999,0.00011160000000387527
2012-10-01,diesel,36.91600440000003,36.916140960000014,0.0001365599999871847
2012-10-08,diesel,36.96305400000002,36.963025200000004,-2.8800000016815375e-05
2012-10-15,diesel,36.900123789999974,36.89994106799998,-0.00018272199999103123
2012-10-22,diesel,37.05294886999997,37.05290000399998,-4.8865999993097375e-05
2012-10-29,diesel,36.96002036000003,36.959891916000025,-0.0001284440000048903
2012-11-05,diesel,36.829023,36.828972648,-5.035200000236273e-05
2012-11-12,diesel,36.493049559999974,36.49295423999998,-9.531999999268237e-05
2012-11-19,diesel,36.22192090000004,36.22208580000002,0.00016489999998015037
2012-11-26,diesel,36.151031970000034,36.15106554000002,3.35699999851613e-05
2012-12-03,diesel,36.12592984000004,36.12588969600002,-4.014400001750573e-05
2012-12-10,diesel,35.98498034999998,35.98500833999998,2.7989999999533666e-05
