scope,sample,model,band,n,actual_material_n,sign_match_rate_on_material_actual,material_direction_hit_rate,material_calls_n,wrong_way_n
all_models_common,origins_2022_2023,INDEPENDENT_BRIDGE,3,24,19,0.3684210526315789,0.3157894736842105,20,10
all_models_common,origins_2022_2023,RF_RESIDUAL_R15,3,24,19,0.631578947368421,0.5263157894736842,21,6
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,3,24,19,0.3157894736842105,0.0,0,0
all_models_common,origins_2022_2023,STABLE_PIPELINE_R14B,3,24,19,0.3684210526315789,0.3157894736842105,20,10
all_models_common,origins_2022_2023,STATE_FAST_R15,3,24,19,0.7894736842105263,0.0,0,0
all_models_common,origins_2022_2023,TRANSMISSION_BOTH_R16,3,24,19,0.6842105263157895,0.5789473684210527,14,1
all_models_common,origins_2022_2023,TRANSMISSION_GOODS_R16,3,24,19,0.7894736842105263,0.5263157894736842,10,0
all_models_common,origins_2022_2023,TRANSMISSION_OWN_R16,3,24,19,0.7368421052631579,0.2631578947368421,5,0
all_models_common,origins_2022_2023,TRANSMISSION_SERVICES_R16,3,24,19,0.7894736842105263,0.47368421052631576,12,1
all_models_common,origins_2022_2023,BLEND_DAMPED_TRANSMISSION_R16,4,24,19,0.3157894736842105,0.10526315789473684,19,12
all_models_common,origins_2022_2023,DAMPED_ADAPT_R16,4,24,19,0.5263157894736842,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P80_Q001_R16,4,24,19,0.631578947368421,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P80_Q010_R16,4,24,19,0.5789473684210527,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P95_Q001_R16,4,24,19,0.3157894736842105,0.0,0,0
all_models_common,origins_2022_2023,DAMPED_P95_Q010_R16,4,24,19,0.42105263157894735,0.3157894736842105,21,10
all_models_common,origins_2022_2023,INDEPENDENT_BRIDGE,4,24,19,0.5263157894736842,0.42105263157894735,22,9
all_models_common,origins_2022_2023,RF_RESIDUAL_R15,4,24,19,0.3157894736842105,0.2631578947368421,20,11
all_models_common,origins_2022_2023,STABLE_LOCAL_CORE_R14B,4,24,19,0.47368421052631576,0.0,0,0
all_models_common,origins_2022_2023,STABLE_PIPELINE_R14B,4,24,19,0.5263157894736842,0.42105263157894735,22,9
all_models_common,origins_2022_2023,STATE_FAST_R15,4,24,19,0.5789473684210527,0.0,0,0
all_models_common,origins_2022_2023,TRANSMISSION_BOTH_R16,4,24,19,0.2631578947368421,0.21052631578947367,22,13
all_models_common,origins_2022_2023,TRANSMISSION_GOODS_R16,4,24,19,0.5789473684210527,0.5263157894736842,21,7
all_models_common,origins_2022_2023,TRANSMISSION_OWN_R16,4,24,19,0.2631578947368421,0.2631578947368421,21,11
all_models_common,origins_2022_2023,TRANSMISSION_SERVICES_R16,4,24,19,0.3157894736842105,0.3157894736842105,24,13
all_models_common,origins_2024plus,BLEND_DAMPED_TRANSMISSION_R16,2,25,19,0.5789473684210527,0.0,0,0
all_models_common,origins_2024plus,DAMPED_ADAPT_R16,2,25,19,0.47368421052631576,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P80_Q001_R16,2,25,19,0.5263157894736842,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P80_Q010_R16,2,25,19,0.47368421052631576,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,2,25,19,0.42105263157894735,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P95_Q010_R16,2,25,19,0.5263157894736842,0.0,3,1
all_models_common,origins_2024plus,INDEPENDENT_BRIDGE,2,25,19,0.3684210526315789,0.2631578947368421,14,5
all_models_common,origins_2024plus,RF_RESIDUAL_R15,2,25,19,0.5789473684210527,0.47368421052631576,16,3
all_models_common,origins_2024plus,STABLE_LOCAL_CORE_R14B,2,25,19,0.3157894736842105,0.0,0,0
all_models_common,origins_2024plus,STABLE_PIPELINE_R14B,2,25,19,0.3684210526315789,0.2631578947368421,14,5
all_models_common,origins_2024plus,STATE_FAST_R15,2,25,19,0.42105263157894735,0.0,0,0
all_models_common,origins_2024plus,TRANSMISSION_BOTH_R16,2,25,19,0.5263157894736842,0.0,0,0
all_models_common,origins_2024plus,TRANSMISSION_GOODS_R16,2,25,19,0.47368421052631576,0.0,0,0
all_models_common,origins_2024plus,TRANSMISSION_OWN_R16,2,25,19,0.42105263157894735,0.0,0,0
all_models_common,origins_2024plus,TRANSMISSION_SERVICES_R16,2,25,19,0.47368421052631576,0.0,0,0
all_models_common,origins_2024plus,BLEND_DAMPED_TRANSMISSION_R16,3,22,17,0.6470588235294118,0.0,0,0
all_models_common,origins_2024plus,DAMPED_ADAPT_R16,3,22,17,0.5294117647058824,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P80_Q001_R16,3,22,17,0.5882352941176471,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P80_Q010_R16,3,22,17,0.5882352941176471,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P95_Q001_R16,3,22,17,0.47058823529411764,0.0,0,0
all_models_common,origins_2024plus,DAMPED_P95_Q010_R16,3,22,17,0.47058823529411764,0.11764705882352941,2,0
all_models_common,origins_2024plus,INDEPENDENT_BRIDGE,3,22,17,0.6470588235294118,0.17647058823529413,9,4
all_models_common,origins_2024plus,RF_RESIDUAL_R15,3,22,17,0.4117647058823529,0.35294117647058826,13,5
all_models_common,origins_2024plus,STABLE_LOCAL_CORE_R14B,3,22,17,0.29411764705882354,0.0,0,0
all_models_common,origins_2024plus,STABLE_PIPELINE_R14B,3,22,17,0.6470588235294118,0.17647058823529413,9,4
all_models_common,origins_2024plus,STATE_FAST_R15,3,22,17,0.7058823529411765,0.0,0,0
