origin,stage,family,band,config,status,n_train,columns,means,scales,coefficients,intercept,lambda_value,converged,train_first,train_last,training_origins,last_training_target
2012-01,core,both,0,l1,insufficient_history,18,[],{},{},{},,1.0,False,2010-04,2011-09,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09']",2011-12
2012-02,core,both,0,l1,insufficient_history,19,[],{},{},{},,1.0,False,2010-04,2011-10,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10']",2012-01
2012-03,core,both,0,l1,insufficient_history,20,[],{},{},{},,1.0,False,2010-04,2011-11,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11']",2012-02
2012-04,core,both,0,l1,insufficient_history,21,[],{},{},{},,1.0,False,2010-04,2011-12,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12']",2012-03
2012-05,core,both,0,l1,insufficient_history,22,[],{},{},{},,1.0,False,2010-04,2012-01,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01']",2012-04
2012-06,core,both,0,l1,insufficient_history,23,[],{},{},{},,1.0,False,2010-04,2012-02,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02']",2012-05
2012-07,core,both,0,l1,insufficient_history,24,[],{},{},{},,1.0,False,2010-04,2012-03,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03']",2012-06
2012-08,core,both,0,l1,insufficient_history,25,[],{},{},{},,1.0,False,2010-04,2012-04,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04']",2012-07
2012-09,core,both,0,l1,insufficient_history,26,[],{},{},{},,1.0,False,2010-04,2012-05,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05']",2012-08
2012-10,core,both,0,l1,insufficient_history,27,[],{},{},{},,1.0,False,2010-04,2012-06,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06']",2012-09
2012-11,core,both,0,l1,insufficient_history,28,[],{},{},{},,1.0,False,2010-04,2012-07,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07']",2012-10
2012-12,core,both,0,l1,insufficient_history,29,[],{},{},{},,1.0,False,2010-04,2012-08,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08']",2012-11
2013-01,core,both,0,l1,insufficient_history,30,[],{},{},{},,1.0,False,2010-04,2012-09,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09']",2012-12
2013-02,core,both,0,l1,insufficient_history,31,[],{},{},{},,1.0,False,2010-04,2012-10,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10']",2013-01
2013-03,core,both,0,l1,insufficient_history,32,[],{},{},{},,1.0,False,2010-04,2012-11,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11']",2013-02
2013-04,core,both,0,l1,insufficient_history,33,[],{},{},{},,1.0,False,2010-04,2012-12,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12']",2013-03
2013-05,core,both,0,l1,insufficient_history,34,[],{},{},{},,1.0,False,2010-04,2013-01,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01']",2013-04
2013-06,core,both,0,l1,insufficient_history,35,[],{},{},{},,1.0,False,2010-04,2013-02,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02']",2013-05
2013-07,core,both,0,l1,insufficient_history,36,[],{},{},{},,1.0,False,2010-04,2013-03,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03']",2013-06
2013-08,core,both,0,l1,insufficient_history,37,[],{},{},{},,1.0,False,2010-04,2013-04,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04']",2013-07
2013-09,core,both,0,l1,insufficient_history,38,[],{},{},{},,1.0,False,2010-04,2013-05,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05']",2013-08
2013-10,core,both,0,l1,insufficient_history,39,[],{},{},{},,1.0,False,2010-04,2013-06,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06']",2013-09
2013-11,core,both,0,l1,insufficient_history,40,[],{},{},{},,1.0,False,2010-04,2013-07,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07']",2013-10
2013-12,core,both,0,l1,insufficient_history,41,[],{},{},{},,1.0,False,2010-04,2013-08,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08']",2013-11
2014-01,core,both,0,l1,insufficient_history,42,[],{},{},{},,1.0,False,2010-04,2013-09,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09']",2013-12
2014-02,core,both,0,l1,insufficient_history,43,[],{},{},{},,1.0,False,2010-04,2013-10,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09', '2013-10']",2014-01
2014-03,core,both,0,l1,insufficient_history,44,[],{},{},{},,1.0,False,2010-04,2013-11,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09', '2013-10', '2013-11']",2014-02
2014-04,core,both,0,l1,insufficient_history,45,[],{},{},{},,1.0,False,2010-04,2013-12,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09', '2013-10', '2013-11', '2013-12']",2014-03
2014-05,core,both,0,l1,insufficient_history,46,[],{},{},{},,1.0,False,2010-04,2014-01,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09', '2013-10', '2013-11', '2013-12', '2014-01']",2014-04
2014-06,core,both,0,l1,insufficient_history,47,[],{},{},{},,1.0,False,2010-04,2014-02,"['2010-04', '2010-05', '2010-06', '2010-07', '2010-08', '2010-09', '2010-10', '2010-11', '2010-12', '2011-01', '2011-02', '2011-03', '2011-04', '2011-05', '2011-06', '2011-07', '2011-08', '2011-09', '2011-10', '2011-11', '2011-12', '2012-01', '2012-02', '2012-03', '2012-04', '2012-05', '2012-06', '2012-07', '2012-08', '2012-09', '2012-10', '2012-11', '2012-12', '2013-01', '2013-02', '2013-03', '2013-04', '2013-05', '2013-06', '2013-07', '2013-08', '2013-09', '2013-10', '2013-11', '2013-12', '2014-01', '2014-02']",2014-05
2006-01,signal,services,1,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-02,signal,services,1,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-03,signal,services,1,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-04,signal,services,1,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-05,signal,services,1,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-06,signal,services,1,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-07,signal,services,1,l1,insufficient_history,0,[],{},{},{},,1.0,False,,,[],
2006-08,signal,services,1,l1,insufficient_history,1,[],{},{},{},,1.0,False,2006-01,2006-01,['2006-01'],2006-07
2006-09,signal,services,1,l1,insufficient_history,2,[],{},{},{},,1.0,False,2006-01,2006-02,"['2006-01', '2006-02']",2006-08
2006-10,signal,services,1,l1,insufficient_history,3,[],{},{},{},,1.0,False,2006-01,2006-03,"['2006-01', '2006-02', '2006-03']",2006-09
2006-11,signal,services,1,l1,insufficient_history,4,[],{},{},{},,1.0,False,2006-01,2006-04,"['2006-01', '2006-02', '2006-03', '2006-04']",2006-10
2006-12,signal,services,1,l1,insufficient_history,5,[],{},{},{},,1.0,False,2006-01,2006-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05']",2006-11
2007-01,signal,services,1,l1,insufficient_history,6,[],{},{},{},,1.0,False,2006-01,2006-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06']",2006-12
2007-02,signal,services,1,l1,insufficient_history,7,[],{},{},{},,1.0,False,2006-01,2006-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07']",2007-01
2007-03,signal,services,1,l1,insufficient_history,8,[],{},{},{},,1.0,False,2006-01,2006-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08']",2007-02
2007-04,signal,services,1,l1,insufficient_history,9,[],{},{},{},,1.0,False,2006-01,2006-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09']",2007-03
2007-05,signal,services,1,l1,insufficient_history,10,[],{},{},{},,1.0,False,2006-01,2006-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10']",2007-04
2007-06,signal,services,1,l1,insufficient_history,11,[],{},{},{},,1.0,False,2006-01,2006-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11']",2007-05
2007-07,signal,services,1,l1,insufficient_history,12,[],{},{},{},,1.0,False,2006-01,2006-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12']",2007-06
2007-08,signal,services,1,l1,insufficient_history,13,[],{},{},{},,1.0,False,2006-01,2007-01,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01']",2007-07
2007-09,signal,services,1,l1,insufficient_history,14,[],{},{},{},,1.0,False,2006-01,2007-02,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02']",2007-08
2007-10,signal,services,1,l1,insufficient_history,15,[],{},{},{},,1.0,False,2006-01,2007-03,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03']",2007-09
2007-11,signal,services,1,l1,insufficient_history,16,[],{},{},{},,1.0,False,2006-01,2007-04,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04']",2007-10
2007-12,signal,services,1,l1,insufficient_history,17,[],{},{},{},,1.0,False,2006-01,2007-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05']",2007-11
2008-01,signal,services,1,l1,insufficient_history,18,[],{},{},{},,1.0,False,2006-01,2007-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06']",2007-12
2008-02,signal,services,1,l1,insufficient_history,19,[],{},{},{},,1.0,False,2006-01,2007-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07']",2008-01
2008-03,signal,services,1,l1,insufficient_history,20,[],{},{},{},,1.0,False,2006-01,2007-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08']",2008-02
2008-04,signal,services,1,l1,insufficient_history,21,[],{},{},{},,1.0,False,2006-01,2007-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09']",2008-03
2008-05,signal,services,1,l1,insufficient_history,22,[],{},{},{},,1.0,False,2006-01,2007-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10']",2008-04
2008-06,signal,services,1,l1,insufficient_history,23,[],{},{},{},,1.0,False,2006-01,2007-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11']",2008-05
2008-07,signal,services,1,l1,insufficient_history,24,[],{},{},{},,1.0,False,2006-01,2007-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12']",2008-06
2008-08,signal,services,1,l1,insufficient_history,25,[],{},{},{},,1.0,False,2006-01,2008-01,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01']",2008-07
2008-09,signal,services,1,l1,insufficient_history,26,[],{},{},{},,1.0,False,2006-01,2008-02,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02']",2008-08
2008-10,signal,services,1,l1,insufficient_history,27,[],{},{},{},,1.0,False,2006-01,2008-03,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03']",2008-09
2008-11,signal,services,1,l1,insufficient_history,28,[],{},{},{},,1.0,False,2006-01,2008-04,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04']",2008-10
2008-12,signal,services,1,l1,insufficient_history,29,[],{},{},{},,1.0,False,2006-01,2008-05,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05']",2008-11
2009-01,signal,services,1,l1,insufficient_history,30,[],{},{},{},,1.0,False,2006-01,2008-06,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06']",2008-12
2009-02,signal,services,1,l1,insufficient_history,31,[],{},{},{},,1.0,False,2006-01,2008-07,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07']",2009-01
2009-03,signal,services,1,l1,insufficient_history,32,[],{},{},{},,1.0,False,2006-01,2008-08,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08']",2009-02
2009-04,signal,services,1,l1,insufficient_history,33,[],{},{},{},,1.0,False,2006-01,2008-09,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09']",2009-03
2009-05,signal,services,1,l1,insufficient_history,34,[],{},{},{},,1.0,False,2006-01,2008-10,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10']",2009-04
2009-06,signal,services,1,l1,insufficient_history,35,[],{},{},{},,1.0,False,2006-01,2008-11,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11']",2009-05
2009-07,signal,services,1,l1,insufficient_history,36,[],{},{},{},,1.0,False,2006-01,2008-12,"['2006-01', '2006-02', '2006-03', '2006-04', '2006-05', '2006-06', '2006-07', '2006-08', '2006-09', '2006-10', '2006-11', '2006-12', '2007-01', '2007-02', '2007-03', '2007-04', '2007-05', '2007-06', '2007-07', '2007-08', '2007-09', '2007-10', '2007-11', '2007-12', '2008-01', '2008-02', '2008-03', '2008-04', '2008-05', '2008-06', '2008-07', '2008-08', '2008-09', '2008-10', '2008-11', '2008-12']",2009-06
