origin,h,model,core_log,core_mm,fast_core_log,correction_log,band
2020-01,9,TRANSMISSION_SERVICES_R16,0.4232497698484751,0.4241467367104512,0.38703762515837914,0.03621214469009598,3
2020-02,7,TRANSMISSION_SERVICES_R16,-0.3063693053862474,-0.30590047353767186,-0.29784130330616165,-0.00852800208008575,3
2020-02,8,TRANSMISSION_SERVICES_R16,0.5282484336245405,0.529646125674355,0.5367764357046263,-0.00852800208008575,3
2020-02,9,TRANSMISSION_SERVICES_R16,0.126875729936361,0.12695625124099225,0.13540373201644673,-0.008528002080085723,3
2020-03,7,TRANSMISSION_SERVICES_R16,0.5266669648913769,0.5280562933247013,0.6044095442418433,-0.07774257935046647,3
2020-03,8,TRANSMISSION_SERVICES_R16,0.12449839220048693,0.12457592362057485,0.20224097155095339,-0.07774257935046645,3
2020-03,9,TRANSMISSION_SERVICES_R16,0.3012142424272844,0.30166834835593026,0.3789568217777508,-0.07774257935046641,3
2020-04,7,TRANSMISSION_SERVICES_R16,-0.014793171805352147,-0.014792077669644957,0.022811729572653597,-0.03760490137800575,3
2020-04,8,TRANSMISSION_SERVICES_R16,0.16400454522210717,0.1641391062283753,0.2016094466001129,-0.037604901378005734,3
2020-04,9,TRANSMISSION_SERVICES_R16,0.37314676620249354,0.37384382549653067,0.4107516675804994,-0.03760490137800587,3
2020-05,7,TRANSMISSION_SERVICES_R16,0.23726800043314678,0.23754970370647657,0.12692548950259877,0.110342510930548,3
2020-05,8,TRANSMISSION_SERVICES_R16,0.44727670596508246,0.4482784812358567,0.3369341950345345,0.11034251093054798,3
2020-05,9,TRANSMISSION_SERVICES_R16,0.4018954707322469,0.4027041535695281,0.2915529598016989,0.11034251093054803,3
2020-06,7,TRANSMISSION_SERVICES_R16,0.6525546263461511,0.6546884028754217,0.5538389869132787,0.09871563943287243,3
2020-06,8,TRANSMISSION_SERVICES_R16,0.6046717069242694,0.6065035366141112,0.505956067491397,0.09871563943287243,3
2020-06,9,TRANSMISSION_SERVICES_R16,0.23560684848099867,0.2358846195226155,0.13689120904812624,0.09871563943287243,3
2020-07,7,TRANSMISSION_SERVICES_R16,0.5050754046453262,0.5063530606035446,0.5350627169649642,-0.029987312319638026,3
2020-07,8,TRANSMISSION_SERVICES_R16,0.1356718834224262,0.13576395935786012,0.16565919574206422,-0.029987312319638026,3
2020-07,9,TRANSMISSION_SERVICES_R16,0.5632071634187578,0.5647961566707139,0.5931944757383958,-0.029987312319638026,3
2020-08,7,TRANSMISSION_SERVICES_R16,0.07012370617702243,0.07014829859589836,0.30157649204423653,-0.2314527858672141,3
2020-08,8,TRANSMISSION_SERVICES_R16,0.4960739404446445,0.49730642438435235,0.7275267263118583,-0.23145278586721385,3
2020-08,9,TRANSMISSION_SERVICES_R16,0.24827109151700102,0.248579539400905,0.47972387738421507,-0.23145278586721404,3
2020-09,7,TRANSMISSION_SERVICES_R16,0.48499914439503683,0.48617716894504864,0.5576098742104634,-0.07261072981542654,3
2020-09,8,TRANSMISSION_SERVICES_R16,0.23916261794402904,0.23944883986626864,0.3117733477594556,-0.07261072981542654,3
2020-09,9,TRANSMISSION_SERVICES_R16,0.30487839426916574,0.30534362111753033,0.37748912408459223,-0.07261072981542649,3
2020-10,7,TRANSMISSION_SERVICES_R16,0.2388154061763649,0.23910079730827763,0.14806345730052933,0.09075194887583557,3
2020-10,8,TRANSMISSION_SERVICES_R16,0.3064358806550773,0.306905875354688,0.21568393177924167,0.09075194887583565,3
2020-10,9,TRANSMISSION_SERVICES_R16,0.6677397021450916,0.6699740541440793,0.576987753269256,0.0907519488758356,3
2020-11,7,TRANSMISSION_SERVICES_R16,0.4766313565390511,0.47776905060662006,0.2572577848843902,0.21937357165466087,3
2020-11,8,TRANSMISSION_SERVICES_R16,0.837449776402132,0.8409661962713368,0.618076204747471,0.21937357165466098,3
2020-11,9,TRANSMISSION_SERVICES_R16,0.36013772123781307,0.36078699632329664,0.14076414958315212,0.21937357165466095,3
2020-12,7,TRANSMISSION_SERVICES_R16,0.8088290453428665,0.8121089043196833,0.6191439027575668,0.18968514258529967,3
2020-12,8,TRANSMISSION_SERVICES_R16,0.33151452544206905,0.3320646425830624,0.1418293828567694,0.18968514258529964,3
2020-12,9,TRANSMISSION_SERVICES_R16,-0.2679260273915097,-0.2675674259444373,-0.4576111699768095,0.18968514258529978,3
2021-01,7,TRANSMISSION_SERVICES_R16,0.22781520002194483,0.22807489602029107,0.08174397808825776,0.14607122193368707,3
2021-01,8,TRANSMISSION_SERVICES_R16,-0.370922482455899,-0.37023541477462535,-0.5169937043895861,0.14607122193368716,3
2021-01,9,TRANSMISSION_SERVICES_R16,0.546067113516996,0.5475607775443423,0.3999958915833089,0.1460712219336871,3
2021-02,7,TRANSMISSION_SERVICES_R16,-0.3208409685401681,-0.32032682391388245,-0.40418396609500373,0.08334299755483565,3
2021-02,8,TRANSMISSION_SERVICES_R16,0.594839694586614,0.5966123790317925,0.5114966970317786,0.08334299755483543,3
2021-02,9,TRANSMISSION_SERVICES_R16,0.1536092035516191,0.1537272429207386,0.07026620599678354,0.08334299755483557,3
2021-03,7,TRANSMISSION_SERVICES_R16,0.5331652093698405,0.5345890644475094,0.45995206336946076,0.0732131460003797,3
2021-03,8,TRANSMISSION_SERVICES_R16,0.09252225528428969,0.09256507032636684,0.019309109283909977,0.0732131460003797,3
2021-03,9,TRANSMISSION_SERVICES_R16,0.261832475585022,0.262175556178168,0.1886193295846423,0.07321314600037968,3
2021-04,7,TRANSMISSION_SERVICES_R16,0.035849867542523645,0.03585629437551848,-0.03761880095854501,0.07346866850106865,3
2021-04,8,TRANSMISSION_SERVICES_R16,0.20583245622073493,0.20604443663745312,0.13236378771966628,0.07346866850106865,3
2021-04,9,TRANSMISSION_SERVICES_R16,0.4800236418050473,0.48117760097527457,0.40655497330397866,0.07346866850106865,3
