report_date,cutoff_date,origin,origin_clock,model,quarter,quarters_ahead,forecast,realised,error
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LOCAL_CORE_R14B,2022Q4,2,17.982,15.69904392215021,2.2829560778497893
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LOCAL_CORE_R14B,2023Q1,3,14.334,16.393468660721577,-2.0594686607215777
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LOCAL_CORE_R14B,2023Q2,4,11.324,11.15840613352934,0.16559386647066
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_PIPELINE_R14B,2022Q3,1,17.875,17.578003612072628,0.29699638792737204
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_PIPELINE_R14B,2022Q4,2,19.506,15.69904392215021,3.80695607784979
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_PIPELINE_R14B,2023Q1,3,17.496,16.393468660721577,1.1025313392784213
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_PIPELINE_R14B,2023Q2,4,15.97,11.15840613352934,4.811593866470661
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_CORE_R14B,2022Q3,1,17.839,17.578003612072628,0.2609963879273707
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_CORE_R14B,2022Q4,2,19.198,15.69904392215021,3.4989560778497903
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_CORE_R14B,2023Q1,3,16.487,16.393468660721577,0.09353133927842094
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_CORE_R14B,2023Q2,4,14.344,11.15840613352934,3.1855938664706596
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_GAP_R14B,2022Q3,1,17.935,17.578003612072628,0.35699638792737076
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_GAP_R14B,2022Q4,2,19.597,15.69904392215021,3.8979560778497913
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_GAP_R14B,2023Q1,3,17.194,16.393468660721577,0.8005313392784217
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,STABLE_LONG_GAP_R14B,2023Q2,4,15.338,11.15840613352934,4.179593866470659
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,F1b,2022Q4,2,20.516,15.69904392215021,4.816956077849788
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,F1b,2023Q1,3,18.059,16.393468660721577,1.6655313392784237
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,F1b,2023Q2,4,15.728,11.15840613352934,4.56959386647066
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,F2,2022Q4,2,16.47,15.69904392215021,0.7709560778497888
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,F2,2023Q1,3,12.318,16.393468660721577,-4.075468660721578
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,F2,2023Q2,4,8.398,11.15840613352934,-2.76040613352934
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_TVW3_FULLM,2022Q3,1,18.81,17.578003612072628,1.2319963879273708
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_TVW3_FULLM,2022Q4,2,21.859,15.69904392215021,6.159956077849792
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_TVW3_FULLM,2023Q1,3,18.667,16.393468660721577,2.273531339278424
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_TVW3_FULLM,2023Q2,4,16.167,11.15840613352934,5.008593866470662
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_QRF_MEAN_FULLM,2022Q3,1,18.545,17.578003612072628,0.9669963879273737
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_QRF_MEAN_FULLM,2022Q4,2,20.863,15.69904392215021,5.1639560778497895
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_QRF_MEAN_FULLM,2023Q1,3,17.278,16.393468660721577,0.8845313392784213
2022-08-11,2022-07-22,2022-07,2022-08-09 23:59,TVWQRF_QRF_MEAN_FULLM,2023Q2,4,14.337,11.15840613352934,3.17859386647066
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,cnb,2022Q4,1,18.413,15.69904392215021,2.71395607784979
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,cnb,2023Q1,2,14.867,16.393468660721577,-1.5264686607215765
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,cnb,2023Q2,3,10.192,11.15840613352934,-0.9664061335293397
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,cnb,2023Q3,4,6.953,8.048806481176504,-1.0958064811765036
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,INDEPENDENT_BRIDGE,2022Q4,1,18.771,15.69904392215021,3.0719560778497907
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,INDEPENDENT_BRIDGE,2023Q1,2,15.571,16.393468660721577,-0.8224686607215776
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,INDEPENDENT_BRIDGE,2023Q2,3,13.824,11.15840613352934,2.66559386647066
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,INDEPENDENT_BRIDGE,2023Q3,4,13.546,8.048806481176504,5.4971935188234955
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LOCAL_CORE_R14B,2022Q4,1,18.697,15.69904392215021,2.997956077849789
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LOCAL_CORE_R14B,2023Q1,2,15.063,16.393468660721577,-1.3304686607215768
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LOCAL_CORE_R14B,2023Q2,3,12.041,11.15840613352934,0.8825938664706605
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LOCAL_CORE_R14B,2023Q3,4,10.544,8.048806481176504,2.4951935188234966
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_PIPELINE_R14B,2022Q4,1,18.698,15.69904392215021,2.9989560778497903
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_PIPELINE_R14B,2023Q1,2,15.481,16.393468660721577,-0.9124686607215775
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_PIPELINE_R14B,2023Q2,3,13.532,11.15840613352934,2.37359386647066
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_PIPELINE_R14B,2023Q3,4,13.191,8.048806481176504,5.142193518823497
2022-11-10,2022-10-21,2022-10,2022-11-09 23:59,STABLE_LONG_CORE_R14B,2022Q4,1,18.756,15.69904392215021,3.05695607784979
