"Ukazatel","IndicatorType","Typ údaje","TYPUDAJEVYR","Území","Uz0","Měsíce, měsíce klouzavých průměrů, čtvrtletí, roky","CASMQRMPK","Hodnota"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","březen 2023","2023-03","108"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2023","2023-Q1","107.3"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","duben 2023","2023-04","108"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","květen 2023","2023-05","108"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červen 2023","2023-06","108"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2023","2023-Q2","108"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červenec 2023","2023-07","112.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","srpen 2023","2023-08","112.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","září 2023","2023-09","113.2"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2023","2023-Q3","112.9"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","říjen 2023","2023-10","113.2"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","listopad 2023","2023-11","111"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2023","2023-12","111"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2023","2023-Q4","111.7"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","2023","2023","110"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","leden 2024","2024-01","110.9"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","únor 2024","2024-02","106.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","březen 2024","2024-03","107.7"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2024","2024-Q1","108.4"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","duben 2024","2024-04","107.7"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","květen 2024","2024-05","107.7"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červen 2024","2024-06","107.7"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2024","2024-Q2","107.7"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červenec 2024","2024-07","103.2"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","srpen 2024","2024-08","103.2"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","září 2024","2024-09","102.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2024","2024-Q3","103.1"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","říjen 2024","2024-10","102.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","listopad 2024","2024-11","102.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2024","2024-12","102.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2024","2024-Q4","102.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","2024","2024","105.4"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","leden 2025","2025-01","101"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","únor 2025","2025-02","105.4"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","březen 2025","2025-03","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2025","2025-Q1","103.6"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","duben 2025","2025-04","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","květen 2025","2025-05","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červen 2025","2025-06","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2025","2025-Q2","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červenec 2025","2025-07","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","srpen 2025","2025-08","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","září 2025","2025-09","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2025","2025-Q3","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","říjen 2025","2025-10","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","listopad 2025","2025-11","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2025","2025-12","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2025","2025-Q4","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","2025","2025","104.3"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","leden 2026","2026-01","107.4"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","únor 2026","2026-02","102.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","březen 2026","2026-03","102.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2026","2026-Q1","104.3"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","duben 2026","2026-04","103.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","květen 2026","2026-05","103.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červen 2026","2026-06","103.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2026","2026-Q2","103.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","červenec 2026","2026-07","103.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2015","2015-12M12","106.4"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2016","2016-12M12","104.3"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2017","2017-12M12","104.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2018","2018-12M12","105.1"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2019","2019-12M12","103.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2020","2020-12M12","101.8"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2021","2021-12M12","101.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2022","2022-12M12","102.5"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2023","2023-12M12","110"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2024","2024-12M12","105.4"
"Index cen tržních služeb - poštovní a kurýrní služby","614817","   Meziroční index","IR","Česko","CZ","prosinec 2025","2025-12M12","104.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2015","2015-01","102.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2015","2015-02","102.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2015","2015-03","102.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2015","2015-Q1","102.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2015","2015-04","102.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2015","2015-05","103.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2015","2015-06","103.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2015","2015-Q2","103.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2015","2015-07","103.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2015","2015-08","103.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2015","2015-09","103.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2015","2015-Q3","103.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2015","2015-10","103.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2015","2015-11","102.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2015","2015-12","102.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2015","2015-Q4","103.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2015","2015","103.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2016","2016-01","100.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2016","2016-02","101.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2016","2016-03","100.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2016","2016-Q1","100.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2016","2016-04","100.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2016","2016-05","99.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2016","2016-06","100"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2016","2016-Q2","100.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2016","2016-07","100"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2016","2016-08","100"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2016","2016-09","100"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2016","2016-Q3","100"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2016","2016-10","99.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2016","2016-11","99.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2016","2016-12","99.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2016","2016-Q4","99.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2016","2016","100.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2017","2017-01","101.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2017","2017-02","101.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2017","2017-03","101.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2017","2017-Q1","101.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2017","2017-04","101.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2017","2017-05","101.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2017","2017-06","101.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2017","2017-Q2","101.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2017","2017-07","102.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2017","2017-08","103.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2017","2017-09","103.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2017","2017-Q3","103.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2017","2017-10","103.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2017","2017-11","103.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2017","2017-12","103.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2017","2017-Q4","103.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2017","2017","102.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2018","2018-01","104.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2018","2018-02","103.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2018","2018-03","103.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2018","2018-Q1","103.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2018","2018-04","103.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2018","2018-05","103.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2018","2018-06","103.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2018","2018-Q2","103.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2018","2018-07","101.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2018","2018-08","100.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2018","2018-09","101.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2018","2018-Q3","101.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2018","2018-10","101.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2018","2018-11","101.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2018","2018-12","101.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2018","2018-Q4","101.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2018","2018","102.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2019","2019-01","101.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2019","2019-02","101.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2019","2019-03","101.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2019","2019-Q1","101.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2019","2019-04","102.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2019","2019-05","102.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2019","2019-06","102.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2019","2019-Q2","102.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2019","2019-07","102.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2019","2019-08","102.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2019","2019-09","102.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2019","2019-Q3","102.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2019","2019-10","103"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2019","2019-11","102.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2019","2019-12","102.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2019","2019-Q4","102.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2019","2019","102.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2020","2020-01","101"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2020","2020-02","101.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2020","2020-03","101.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2020","2020-Q1","101.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2020","2020-04","100.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2020","2020-05","100.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2020","2020-06","100.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2020","2020-Q2","100.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2020","2020-07","101"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2020","2020-08","100.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2020","2020-09","100.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2020","2020-Q3","101"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2020","2020-10","100.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2020","2020-11","100.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2020","2020-12","100.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2020","2020-Q4","100.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2020","2020","100.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2021","2021-01","101.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2021","2021-02","101.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2021","2021-03","101.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2021","2021-Q1","101.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2021","2021-04","102.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2021","2021-05","102"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2021","2021-06","101.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2021","2021-Q2","102"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2021","2021-07","102"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2021","2021-08","102.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2021","2021-09","102"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2021","2021-Q3","102.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2021","2021-10","102.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2021","2021-11","102.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2021","2021-12","102.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2021","2021-Q4","102.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2021","2021","102"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2022","2022-01","104.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2022","2022-02","104.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2022","2022-03","105.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2022","2022-Q1","104.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2022","2022-04","104"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2022","2022-05","104.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2022","2022-06","105.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2022","2022-Q2","104.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2022","2022-07","105"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2022","2022-08","104.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2022","2022-09","104.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2022","2022-Q3","104.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2022","2022-10","104.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2022","2022-11","105.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2022","2022-12","105.7"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2022","2022-Q4","105.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2022","2022","104.9"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2023","2023-01","106.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","únor 2023","2023-02","107.4"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","březen 2023","2023-03","107.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","1. čtvrtletí 2023","2023-Q1","107"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","duben 2023","2023-04","107.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","květen 2023","2023-05","107.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červen 2023","2023-06","106.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2. čtvrtletí 2023","2023-Q2","107"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","červenec 2023","2023-07","106.1"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","srpen 2023","2023-08","106.3"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","září 2023","2023-09","106.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","3. čtvrtletí 2023","2023-Q3","106.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","říjen 2023","2023-10","106.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","listopad 2023","2023-11","105.2"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","prosinec 2023","2023-12","105.6"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","4. čtvrtletí 2023","2023-Q4","105.8"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","2023","2023","106.5"
"Index cen tržních služeb - vydavatelské služby","614818","   Meziroční index","IR","Česko","CZ","leden 2024","2024-01","105.2"
