origin,historical_clock,import_mm_l3_source,import_mm_l3_fixture_row,import_mm_l3_available_from,eurczk_mm_l1_source,eurczk_mm_l1_fixture_row,eurczk_mm_l1_available_from,unemployment_reference,unemployment_adjustment,unemployment_available_from,unemployment_source,unemployment_sha256
2014-07,2014-08-10 23:59:00,2014-04,2014-06,2014-06-15T22:00:00+00:00,2014-06,2014-06,2014-06-30T22:00:00+00:00,2014-04,,,,
2014-08,2014-09-08 23:59:00,2014-05,2014-07,2014-07-15T22:00:00+00:00,2014-07,2014-07,2014-07-31T22:00:00+00:00,2014-05,,,,
2014-09,2014-10-08 23:59:00,2014-06,2014-08,2014-08-15T22:00:00+00:00,2014-08,2014-08,2014-08-31T22:00:00+00:00,2014-06,,,,
2014-10,2014-11-09 23:59:00,2014-07,2014-09,2014-09-15T22:00:00+00:00,2014-09,2014-09,2014-09-30T22:00:00+00:00,2014-07,,,,
2014-11,2014-12-08 23:59:00,2014-08,2014-10,2014-10-15T22:00:00+00:00,2014-10,2014-10,2014-10-31T23:00:00+00:00,2014-08,,,,
2014-12,2015-01-08 23:59:00,2014-09,2014-11,2014-11-15T23:00:00+00:00,2014-11,2014-11,2014-11-30T23:00:00+00:00,2014-09,,,,
2015-01,2015-02-08 23:59:00,2014-10,2014-12,2014-12-15T23:00:00+00:00,2014-12,2014-12,2014-12-31T23:00:00+00:00,2014-10,,,,
2015-02,2015-03-08 23:59:00,2014-11,2015-01,2015-01-15T23:00:00+00:00,2015-01,2015-01,2015-01-31T23:00:00+00:00,2014-11,,,,
2015-03,2015-04-08 23:59:00,2014-12,2015-02,2015-02-15T23:00:00+00:00,2015-02,2015-02,2015-02-28T23:00:00+00:00,2014-12,,,,
2015-04,2015-05-11 23:59:00,2015-01,2015-03,2015-03-15T23:00:00+00:00,2015-03,2015-03,2015-03-31T22:00:00+00:00,2015-01,,,,
2015-05,2015-06-08 23:59:00,2015-02,2015-04,2015-04-15T22:00:00+00:00,2015-04,2015-04,2015-04-30T22:00:00+00:00,2015-02,,,,
2015-06,2015-07-08 23:59:00,2015-03,2015-05,2015-05-15T22:00:00+00:00,2015-05,2015-05,2015-05-31T22:00:00+00:00,2015-03,,,,
2015-07,2015-08-09 23:59:00,2015-04,2015-06,2015-06-15T22:00:00+00:00,2015-06,2015-06,2015-06-30T22:00:00+00:00,2015-04,,,,
2015-08,2015-09-08 23:59:00,2015-05,2015-07,2015-07-15T22:00:00+00:00,2015-07,2015-07,2015-07-31T22:00:00+00:00,2015-05,,,,
2015-09,2015-10-08 23:59:00,2015-06,2015-08,2015-08-15T22:00:00+00:00,2015-08,2015-08,2015-08-31T22:00:00+00:00,2015-06,,,,
2015-10,2015-11-08 23:59:00,2015-07,2015-09,2015-09-15T22:00:00+00:00,2015-09,2015-09,2015-09-30T22:00:00+00:00,2015-07,,,,
2015-11,2015-12-08 23:59:00,2015-08,2015-10,2015-10-15T22:00:00+00:00,2015-10,2015-10,2015-10-31T23:00:00+00:00,2015-08,,,,
2015-12,2016-01-11 23:59:00,2015-09,2015-11,2015-11-15T23:00:00+00:00,2015-11,2015-11,2015-11-30T23:00:00+00:00,2015-09,,,,
2016-01,2016-02-11 23:59:00,2015-10,2015-12,2015-12-15T23:00:00+00:00,2015-12,2015-12,2015-12-31T23:00:00+00:00,2015-10,,,,
2016-02,2016-03-08 23:59:00,2015-11,2016-01,2016-01-15T23:00:00+00:00,2016-01,2016-01,2016-01-31T23:00:00+00:00,2015-11,,,,
2016-03,2016-04-10 23:59:00,2015-12,2016-02,2016-02-15T23:00:00+00:00,2016-02,2016-02,2016-02-29T23:00:00+00:00,2015-12,,,,
2016-04,2016-05-09 23:59:00,2016-01,2016-03,2016-03-15T23:00:00+00:00,2016-03,2016-03,2016-03-31T22:00:00+00:00,2016-01,,,,
2016-05,2016-06-08 23:59:00,2016-02,2016-04,2016-04-15T22:00:00+00:00,2016-04,2016-04,2016-04-30T22:00:00+00:00,2016-02,,,,
2016-06,2016-07-11 23:59:00,2016-03,2016-05,2016-05-15T22:00:00+00:00,2016-05,2016-05,2016-05-31T22:00:00+00:00,2016-03,,,,
2016-07,2016-08-08 23:59:00,2016-04,2016-06,2016-06-15T22:00:00+00:00,2016-06,2016-06,2016-06-30T22:00:00+00:00,2016-04,,,,
2016-08,2016-09-08 23:59:00,2016-05,2016-07,2016-07-15T22:00:00+00:00,2016-07,2016-07,2016-07-31T22:00:00+00:00,2016-05,,,,
2016-09,2016-10-09 23:59:00,2016-06,2016-08,2016-08-15T22:00:00+00:00,2016-08,2016-08,2016-08-31T22:00:00+00:00,2016-06,,,,
2016-10,2016-11-08 23:59:00,2016-07,2016-09,2016-09-15T22:00:00+00:00,2016-09,2016-09,2016-09-30T22:00:00+00:00,2016-07,,,,
2016-11,2016-12-08 23:59:00,2016-08,2016-10,2016-10-15T22:00:00+00:00,2016-10,2016-10,2016-10-31T23:00:00+00:00,2016-08,,,,
2016-12,2017-01-09 23:59:00,2016-09,2016-11,2016-11-15T23:00:00+00:00,2016-11,2016-11,2016-11-30T23:00:00+00:00,2016-09,,,,
