origin,target,model,h,mm_forecast,mm_actual,cumulative_arithmetic_forecast,cumulative_compounded_forecast,arithmetic_minus_compounded_forecast,cumulative_arithmetic_actual,cumulative_compounded_actual,arithmetic_minus_compounded_actual
2022-01,2022-03,INDEPENDENT_BRIDGE,2,0.8561272799369442,0.7,2.073305935175502,2.083726533688569,-0.010420598513066981,1.6,1.6062999999999998,-0.00629999999999975
2022-01,2022-04,INDEPENDENT_BRIDGE,3,0.9246154790252641,1.5,2.997921414200766,3.027608470784874,-0.029687056584108085,3.1,3.1303945,-0.03039449999999988
2022-01,2022-05,INDEPENDENT_BRIDGE,4,0.8112620096611988,1.4,3.8091834238619646,3.8634323177708345,-0.05424889390886989,4.5,4.5742200230000005,-0.07422002300000052
2022-01,2022-06,INDEPENDENT_BRIDGE,5,0.6537432707802688,1.5,4.462926694642233,4.542432517349679,-0.07950582270744633,6.0,6.142833323345,-0.1428333233450001
2022-01,2022-07,INDEPENDENT_BRIDGE,6,0.8847829445964392,1.6,5.347709639238673,5.467406130129432,-0.1196964908907594,7.6,7.841118656518519,-0.24111865651851971
2022-01,2022-08,INDEPENDENT_BRIDGE,7,0.5731505557336148,0.9,5.920860194972287,6.071893154482097,-0.15103295950980922,8.5,8.811688724427187,-0.31168872442718687
2022-01,2022-09,INDEPENDENT_BRIDGE,8,-0.06224460459956424,0.3,5.8586155903727235,6.005869123996818,-0.14725353362409432,8.8,9.138123790600467,-0.3381237906004664
2022-01,2022-10,INDEPENDENT_BRIDGE,9,0.6255864119513705,1.2,6.4842020023240945,6.669027437107494,-0.18482543478339952,10.0,10.447781276087673,-0.4477812760876727
2022-01,2022-11,INDEPENDENT_BRIDGE,10,0.5678197825602174,0.4,7.052021784884312,7.274715276759978,-0.222693491875666,10.4,10.889572401192025,-0.4895724011920244
2022-01,2022-12,INDEPENDENT_BRIDGE,11,0.5443007068650371,0.4,7.5963224917493495,7.858612310298839,-0.2622898185494895,10.8,11.333130690796791,-0.5331306907967903
2022-01,2023-01,INDEPENDENT_BRIDGE,12,0.7041477176695926,0.8,8.300470209418942,8.6180962671919,-0.3176260577729586,11.600000000000001,12.223795736323167,-0.6237957363231654
2022-02,2022-03,INDEPENDENT_BRIDGE,1,0.3815674228850623,0.7,0.3815674228850623,0.3815674228850622,1.1102230246251565e-16,0.7,0.7,0.0
2022-02,2022-04,INDEPENDENT_BRIDGE,2,1.2872148382733293,1.5,1.6687822611583916,1.6736938536437853,-0.004911592485393745,2.2,2.2105,-0.010499999999999954
2022-02,2022-05,INDEPENDENT_BRIDGE,3,1.3195350627825762,1.4,2.9883173239409677,3.015313893668828,-0.026996569727860464,3.6,3.641447,-0.04144699999999979
2022-02,2022-06,INDEPENDENT_BRIDGE,4,1.28684045829268,1.5,4.275157782233648,4.3409566310897585,-0.06579884885611076,5.1,5.196068705,-0.09606870500000042
2022-02,2022-07,INDEPENDENT_BRIDGE,5,1.407780751037868,1.6,5.682938533271516,5.80984853399101,-0.12691000071949432,6.699999999999999,6.879205804279999,-0.17920580427999955
2022-02,2022-08,INDEPENDENT_BRIDGE,6,0.11314422235216079,0.9,5.796082755623677,5.929566264286793,-0.1334835086631161,7.6,7.841118656518519,-0.24111865651851971
2022-02,2022-09,INDEPENDENT_BRIDGE,7,-0.20326124915217386,0.3,5.592821506471503,5.714252504676524,-0.12143099820502101,7.8999999999999995,8.164642012488073,-0.26464201248807395
2022-02,2022-10,INDEPENDENT_BRIDGE,8,1.2687709344583626,1.2,6.861592440929865,7.055524214035781,-0.19393177310591625,9.1,9.462617716637931,-0.3626177166379314
2022-02,2022-11,INDEPENDENT_BRIDGE,9,0.7089114756399114,0.4,7.570503916569776,7.814453110495544,-0.24394919392576764,9.5,9.900468187504483,-0.4004681875044831
2022-02,2022-12,INDEPENDENT_BRIDGE,10,0.267896457534623,0.4,7.838400374104399,8.10328421108889,-0.2648838369844917,9.9,10.3400700602545,-0.44007006025450046
2022-02,2023-01,INDEPENDENT_BRIDGE,11,1.3613269470902116,0.8,9.199727321194612,9.574923349743962,-0.3751960285493503,10.700000000000001,11.222790620736538,-0.5227906207365365
2022-02,2023-02,INDEPENDENT_BRIDGE,12,0.776239489942833,0.7,9.975966811137445,10.425487175859264,-0.44952036472181867,11.4,12.001350155081694,-0.6013501550816933
2022-03,2022-04,INDEPENDENT_BRIDGE,1,0.45837339398709176,1.5,0.45837339398709176,0.45837339398709176,0.0,1.5,1.4999999999999998,2.220446049250313e-16
