scope,sample,h,model,n_common,mm_n,mm_rmse,mm_mae,mm_bias,cumulative_arithmetic_n,cumulative_arithmetic_rmse,cumulative_arithmetic_mae,cumulative_arithmetic_bias,cumulative_compounded_n,cumulative_compounded_rmse,cumulative_compounded_mae,cumulative_compounded_bias
primary_common,recent_targets,8,CORE_AGG_MONTHLY_R13,31,31,0.25979955269127003,0.20435897387062124,0.1364040017060158,31,1.2418352320560044,1.1036559901809144,1.0672302897758301,31,1.2693382900621082,1.1286686010258098,1.0914471028305717
primary_common,recent_targets,8,CORE_AGG_CUMULATIVE_R13,31,31,0.28104616182263054,0.23054698205869892,0.13914453363701385,31,1.2565709379874221,1.134930493695013,1.1065573678474774,31,1.2837245804774855,1.1601124374422167,1.1310699292291577
primary_common,recent_targets,8,CORE_SPLIT_MONTHLY_R13,31,31,0.25735170696093357,0.19410936567325024,0.1448830808940885,31,1.2008449542234756,1.080378865748924,1.0725461351331558,31,1.2281313731411885,1.1049851553749537,1.0970005528613214
primary_common,recent_targets,8,CORE_SPLIT_CUMULATIVE_R13,31,31,0.29794952213256826,0.245027185219064,0.14889069060226431,31,1.2496110232081947,1.1327235711419363,1.1259024779352906,31,1.2779725157817683,1.1583514577629115,1.1514009374208987
primary_common,recent_targets,8,INDEPENDENT_BRIDGE,31,31,0.2414701924458868,0.19871557702396195,-0.026029498642574405,31,1.080409530152556,0.8695727599235682,0.024569405799803972,31,1.0959894691228007,0.881670050708212,0.030412131822211173
primary_common,recent_targets,9,CORE_AGG_MONTHLY_R13,31,31,0.2946178032604012,0.23228636572377853,0.18322123200324894,31,1.4875670574229158,1.3471350516600662,1.3283393910560626,31,1.5253448250674269,1.3820021326425944,1.3628631237198026
primary_common,recent_targets,9,CORE_AGG_CUMULATIVE_R13,31,31,0.3081362563300927,0.25369919744627445,0.20113250454501658,31,1.5199446492944524,1.3923423864065514,1.3820642447573617,31,1.558044010587359,1.427889449808118,1.4174737107470292
primary_common,recent_targets,9,CORE_SPLIT_MONTHLY_R13,31,31,0.26988757186052414,0.20371748600558623,0.1687038947324059,31,1.4047947039657187,1.2939342282326876,1.2939342282326876,31,1.441400128616928,1.3277544675962085,1.3277544675962085
primary_common,recent_targets,9,CORE_SPLIT_CUMULATIVE_R13,31,31,0.2752780252217718,0.21332303365413668,0.16850657671684618,31,1.449579865520906,1.343190264914603,1.343190264914603,31,1.4874059355677178,1.378183334731518,1.378183334731518
primary_common,recent_targets,9,INDEPENDENT_BRIDGE,31,31,0.2369505520409813,0.1797471774329466,0.025459785027510583,31,1.2961337204952534,1.0410785938730456,0.165424175104068,31,1.3213488166946825,1.059750838067413,0.1757039312739894
