sample,h,model,control,n,mse_difference,ci_low,ci_high,block_length,replicates,seed
full,8,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,62,1.3041983598628828,0.009895521872966419,3.441584887191232,12,2000,1309
full,8,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,62,1.5665162938897959,0.02053564411128232,3.9619549647054115,12,2000,1309
full,8,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,62,-0.4974551895739456,-1.2665640084398997,-0.024118286068452087,12,2000,1309
full,8,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,62,-0.23513725554703335,-0.5262783818758211,-0.014713230125084074,12,2000,1309
full,8,CORE_AGG_CUMULATIVE_LABOUR_R13,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,38,0.8088725049985676,0.6323245703390209,0.9973286665546485,12,2000,1309
full,9,CORE_AGG_MONTHLY_R13,INDEPENDENT_BRIDGE,60,4.347246994871057,-0.6862709447145718,12.40111511854161,12,2000,1309
full,9,CORE_AGG_CUMULATIVE_R13,INDEPENDENT_BRIDGE,60,6.15494795113077,-0.3882661922297298,16.313900259478636,12,2000,1309
full,9,CORE_SPLIT_MONTHLY_R13,INDEPENDENT_BRIDGE,60,3.6574031396181748,-1.1416465233117996,10.690355647685035,12,2000,1309
full,9,CORE_SPLIT_CUMULATIVE_R13,INDEPENDENT_BRIDGE,60,5.843151666379003,-0.6446745191189965,15.990655154520223,12,2000,1309
full,9,CORE_AGG_CUMULATIVE_LABOUR_R13,INDEPENDENT_BRIDGE,36,2.3669660356174407,1.4835153048464242,3.1331802236436643,12,2000,1309
full,9,CORE_AGG_CUMULATIVE_LABOUR_CONTROL_R13,INDEPENDENT_BRIDGE,36,1.2325875718653392,0.6336492776222398,1.8885367644266278,12,2000,1309
full,9,CORE_AGG_CUMULATIVE_R13,CORE_AGG_MONTHLY_R13,60,1.8077009562597117,0.01839046135199585,4.6516396577217645,12,2000,1309
full,9,CORE_SPLIT_CUMULATIVE_R13,CORE_SPLIT_MONTHLY_R13,60,2.185748526760827,0.03815709172235857,5.557136987801743,12,2000,1309
full,9,CORE_SPLIT_MONTHLY_R13,CORE_AGG_MONTHLY_R13,60,-0.6898438552528824,-1.6764525259452006,-0.07036948085009585,12,2000,1309
full,9,CORE_SPLIT_CUMULATIVE_R13,CORE_AGG_CUMULATIVE_R13,60,-0.3117962847517671,-0.732924017883989,0.009618377334578033,12,2000,1309
