sample,h,model,n,yy_rmse,yy_bias
origins_2024_on,11,TVWQRF_QRF_MEAN_FULL,20,0.7870009267687619,0.5566034103172751
origins_2024_on,11,TVWQRF_QRF_MEAN_INDEP,20,1.1540600822393794,0.8640597258012063
origins_2024_on,11,TVWQRF_QRF_MEDIAN_FULL,20,0.682068904828456,-0.37655175933483864
origins_2024_on,11,TVWQRF_QRF_MEDIAN_INDEP,20,0.6031950419094247,-0.1630123672771937
origins_2024_on,11,TVWQRF_TVW3_FULL,20,1.0900144298205128,-0.1918005174692315
origins_2024_on,11,TVWQRF_TVW3_INDEP,20,1.0348245230317252,-0.209752653583329
origins_2024_on,12,F1b,19,1.1995575663719775,0.6911876616270823
origins_2024_on,12,F2_D1_fixed,19,0.5082689473243707,0.2878215031559918
origins_2024_on,12,NAIVE_C,19,4.7052673416499635,4.687062630415991
origins_2024_on,12,RW_C,19,1.1747390415880303,0.48305490664161105
origins_2024_on,12,TVWQRF_QRF_MEAN_FULL,19,0.8117002354693599,0.5079799645951567
origins_2024_on,12,TVWQRF_QRF_MEAN_INDEP,19,1.2173448089576795,0.8239649040655117
origins_2024_on,12,TVWQRF_QRF_MEDIAN_FULL,19,0.8277748686704065,-0.5343689400150445
origins_2024_on,12,TVWQRF_QRF_MEDIAN_INDEP,19,0.7183825703994576,-0.2943885898364896
origins_2024_on,12,TVWQRF_TVW3_FULL,19,1.2061355856886544,-0.33429681345553636
origins_2024_on,12,TVWQRF_TVW3_INDEP,19,1.1810361700182677,-0.3509282735852455
