origin,as_of,feature,reference,last_publication,units,value,status
2011-01,2011-02-08 23:59:00,ulc_sameq,2010Q3,2010-12-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",5.52625038403437,available
2011-01,2011-02-08 23:59:00,import_mom,2010-11,2011-01-14T00:00:00,"six-month import-price change less six-month core change, log points",-1.439171010068447,available
2011-01,2011-02-08 23:59:00,ppi_mom,2010-12,2011-01-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",1.9329741466996555,available
2011-02,2011-03-08 23:59:00,tightening,2011-01,2011-03-04T00:00:00,"negative unemployment change12, pp",0.7999999999999998,available
2011-02,2011-03-08 23:59:00,import_gap,2010-12,,"relative price gap, log points",,missing_required_history
2011-02,2011-03-08 23:59:00,ppi_gap,2011-01,2011-02-26T00:00:00,"relative price gap, log points",3.3416421609313147,available
2011-02,2011-03-08 23:59:00,fx_news,2011-02,2011-03-01T00:00:00,FX log change since import reference,-3.596593225471454,available
2011-02,2011-03-08 23:59:00,ulc_sameq,2010Q3,2010-12-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",5.52625038403437,available
2011-02,2011-03-08 23:59:00,import_mom,2010-12,2011-02-14T00:00:00,"six-month import-price change less six-month core change, log points",0.6620201520093303,available
2011-02,2011-03-08 23:59:00,ppi_mom,2011-01,2011-02-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",2.695277045575704,available
2011-03,2011-04-10 23:59:00,tightening,2011-02,2011-04-01T00:00:00,"negative unemployment change12, pp",0.8000000000000007,available
2011-03,2011-04-10 23:59:00,import_gap,2011-01,2011-03-17T00:00:00,"relative price gap, log points",3.45998815677477,available
2011-03,2011-04-10 23:59:00,ppi_gap,2011-02,2011-03-26T00:00:00,"relative price gap, log points",4.171503891397094,available
2011-03,2011-04-10 23:59:00,fx_news,2011-03,2011-04-01T00:00:00,FX log change since import reference,-0.23341056030070487,available
2011-03,2011-04-10 23:59:00,ulc_sameq,2010Q4,2011-03-16T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.9319862453547785,available
2011-03,2011-04-10 23:59:00,import_mom,2011-01,2011-03-17T00:00:00,"six-month import-price change less six-month core change, log points",1.676125548359124,available
2011-03,2011-04-10 23:59:00,ppi_mom,2011-02,2011-03-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",3.984702711565526,available
2011-04,2011-05-09 23:59:00,tightening,2011-03,2011-05-02T00:00:00,"negative unemployment change12, pp",0.8999999999999995,available
2011-04,2011-05-09 23:59:00,import_gap,2011-02,2011-04-14T00:00:00,"relative price gap, log points",3.7059066679535695,available
2011-04,2011-05-09 23:59:00,ppi_gap,2011-03,2011-04-26T00:00:00,"relative price gap, log points",5.484874706434425,available
2011-04,2011-05-09 23:59:00,fx_news,2011-04,2011-05-01T00:00:00,FX log change since import reference,0.061770339847838966,available
2011-04,2011-05-09 23:59:00,ulc_sameq,2010Q4,2011-03-16T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.9319862453547785,available
2011-04,2011-05-09 23:59:00,import_mom,2011-02,2011-04-14T00:00:00,"six-month import-price change less six-month core change, log points",3.0174018911087166,available
2011-04,2011-05-09 23:59:00,ppi_mom,2011-03,2011-04-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",4.9413538103757,available
2011-05,2011-06-08 23:59:00,tightening,2011-04,2011-06-01T00:00:00,"negative unemployment change12, pp",0.40000000000000036,available
2011-05,2011-06-08 23:59:00,import_gap,2011-03,2011-05-15T00:00:00,"relative price gap, log points",4.583253116698421,available
2011-05,2011-06-08 23:59:00,ppi_gap,2011-04,2011-05-26T00:00:00,"relative price gap, log points",6.299307636317451,available
2011-05,2011-06-08 23:59:00,fx_news,2011-05,2011-06-01T00:00:00,FX log change since import reference,-0.03690415213590214,available
2011-05,2011-06-08 23:59:00,ulc_sameq,2010Q4,2011-03-16T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",2.9319862453547785,available
2011-05,2011-06-08 23:59:00,import_mom,2011-03,2011-05-15T00:00:00,"six-month import-price change less six-month core change, log points",4.281705731730152,available
2011-05,2011-06-08 23:59:00,ppi_mom,2011-04,2011-05-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",5.895209010321859,available
2011-06,2011-07-11 23:59:00,tightening,2011-05,2011-07-02T00:00:00,"negative unemployment change12, pp",0.5,available
2011-06,2011-07-11 23:59:00,import_gap,2011-04,2011-06-14T00:00:00,"relative price gap, log points",4.45793330720544,available
2011-06,2011-07-11 23:59:00,ppi_gap,2011-05,2011-06-26T00:00:00,"relative price gap, log points",6.755263357081162,available
2011-06,2011-07-11 23:59:00,fx_news,2011-06,2011-07-01T00:00:00,FX log change since import reference,-0.02470355743789038,available
2011-06,2011-07-11 23:59:00,ulc_sameq,2011Q1,2011-06-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",0.7723336976841892,available
2011-06,2011-07-11 23:59:00,import_mom,2011-04,2011-06-14T00:00:00,"six-month import-price change less six-month core change, log points",5.2748147674958465,available
2011-06,2011-07-11 23:59:00,ppi_mom,2011-05,2011-06-26T00:00:00,"six-month manufactured-PPI change less six-month core change, log points",5.719514268943315,available
2011-07,2011-08-08 23:59:00,tightening,2011-06,2011-08-01T00:00:00,"negative unemployment change12, pp",0.5,available
2011-07,2011-08-08 23:59:00,import_gap,2011-05,2011-07-15T00:00:00,"relative price gap, log points",4.453645215146954,available
2011-07,2011-08-08 23:59:00,ppi_gap,2011-06,2011-07-26T00:00:00,"relative price gap, log points",6.689892563811327,available
2011-07,2011-08-08 23:59:00,fx_news,2011-07,2011-08-01T00:00:00,FX log change since import reference,-0.17239968148171372,available
2011-07,2011-08-08 23:59:00,ulc_sameq,2011Q1,2011-06-14T00:00:00,"real unit labour cost against the same quarter of the three previous years, log points",0.7723336976841324,available
