model,omitted_period,n,reference_rmse,candidate_rmse,relative_rmse_gain
AGG_COMMON,2021-12,89,0.418449773071089,0.4179411001931295,0.0012156127466056432
AGG_COMMON,2022-01,89,0.42028664184132264,0.41830249493098176,0.004720937362291844
AGG_COMMON,2022-02,89,0.4177726884456281,0.41777260925408805,1.8955652736352135e-07
AGG_COMMON,2022-03,89,0.41318906156425267,0.41309248217893435,0.00023374138935983169
AGG_COMMON,2022-04,89,0.40505029957815597,0.40740689743150743,-0.0058180375518936955
AGG_COMMON,2022-05,89,0.42028303729749306,0.4168068729449756,0.008271007973269406
AGG_COMMON,2022-06,89,0.41972132938710377,0.41894056902436355,0.001860187481728226
AGG_COMMON,2022-07,89,0.42015437495609564,0.4185910207227237,0.0037209043307839806
AGG_COMMON,2022-08,89,0.41958006947636056,0.4183802307221194,0.002859618083715487
AGG_COMMON,2022-09,89,0.4148180674485476,0.41368178821247936,0.0027392231082344898
AGG_COMMON,2022-10,89,0.3197867130986118,0.31310360670380305,0.020898636875972598
AGG_COMMON,2022-11,89,0.4176796041592494,0.41727013744877356,0.0009803368572426363
AGG_COMMON,2022-12,89,0.42026290267664757,0.41894535875201755,0.00313504693428468
AGG_COMMON,2023-01,89,0.40296262658064075,0.4045193153291784,-0.003863109494165684
AGG_COMMON,2023-02,89,0.420229966958315,0.4191390719670159,0.0025959476407528825
AGG_COMMON,2023-03,89,0.41979672494912573,0.4184537247429948,0.0031991678979718108
AGG_COMMON,2023-04,89,0.4124151509251561,0.4101872602367357,0.005402058298349832
AGG_COMMON,2023-05,89,0.42022561058940905,0.4191030227154391,0.0026713932841823107
AGG_COMMON,2023-06,89,0.4193536090330634,0.4182066120818033,0.002735154596391398
AGG_COMMON,2023-07,89,0.42011981356151445,0.41909288497413844,0.002444370758594716
AGG_COMMON,2023-08,89,0.41928378705852537,0.418555571103325,0.0017368092391770729
AGG_COMMON,2023-09,89,0.41756412389983394,0.4170937501232096,0.0011264707614995206
AGG_COMMON,2023-10,89,0.4198071689241805,0.4183277171395631,0.0035241222497669478
AGG_COMMON,2023-11,89,0.42027000101879836,0.4191230105214882,0.002729175279057916
AGG_COMMON,2023-12,89,0.4193395441318545,0.4182520882620562,0.0025932585777228567
AGG_COMMON,2024-01,89,0.41595694214914314,0.41473838014001724,0.0029295388191621363
AGG_COMMON,2024-02,89,0.4202814927893528,0.4190856806446139,0.0028452648171645167
AGG_COMMON,2024-03,89,0.4202111139340466,0.419116023259261,0.0026060488132578774
AGG_COMMON,2024-04,89,0.4199312270072481,0.418859485478359,0.0025521834528171583
AGG_COMMON,2024-05,89,0.41971443640140027,0.4181660006555996,0.0036892601528716318
AGG_COMMON,2024-06,89,0.41865646479744106,0.4172855139116344,0.0032746440126513177
AGG_COMMON,2024-07,89,0.41707110644856454,0.41661747996182663,0.0010876478368415654
AGG_COMMON,2024-08,89,0.41960256515271627,0.4181885526382081,0.0033698852960861725
AGG_COMMON,2024-09,89,0.4202362496091427,0.4190660055599476,0.002784728947784809
AGG_COMMON,2024-10,89,0.42021136638472745,0.41914613896624314,0.0025349800212425277
AGG_COMMON,2024-11,89,0.4202801526412135,0.4191452380205294,0.002700376435936458
AGG_COMMON,2024-12,89,0.41905396025863934,0.4179887399204007,0.0025419646137724294
AGG_COMMON,2025-01,89,0.4198793093534417,0.41888057807744883,0.002378615125214867
AGG_COMMON,2025-02,89,0.42007624200847327,0.4189608294062044,0.002655262285093385
AGG_COMMON,2025-03,89,0.42021975116470384,0.4190284700203293,0.002834900408828278
AGG_COMMON,2025-04,89,0.4191768916386103,0.41786274125887557,0.0031350735356560078
AGG_COMMON,2025-05,89,0.4195326494018781,0.41866411007691556,0.002070254427637086
AGG_COMMON,2025-06,89,0.4201942480003772,0.4191244171374912,0.0025460388093770936
AGG_COMMON,2025-07,89,0.4202890302486624,0.41912718552068423,0.002764394605518805
AGG_COMMON,2025-08,89,0.42028628724075384,0.4191454735404401,0.0027143728809315704
AGG_COMMON,2025-09,89,0.42009951624484654,0.41898087245257365,0.002662806666077877
AGG_COMMON,2025-10,89,0.419389732022151,0.4186614682639053,0.00173648447408159
AGG_COMMON,2025-11,89,0.4189737806105335,0.41790830153108993,0.0025430686328173913
AGG_COMMON,2025-12,89,0.4202888734971607,0.4191376073682817,0.002739225807477319
AGG_COMMON,2026-01,89,0.420261526036291,0.41913163069739795,0.0026885528864603048
AGG_COMMON,2026-02,89,0.41987947586660646,0.41877055644252914,0.0026410422223867025
AGG_COMMON,2026-03,89,0.4202892347969995,0.41913413823527507,0.002748337254658284
AGG_COMMON,2026-04,89,0.4202929791950256,0.41914735079901305,0.0027257852324984455
AGG_COMMON,2026-05,89,0.4193343904448563,0.4178804174190976,0.003467335517643222
AGG_COMMON,2026-06,89,0.41951204674247367,0.4181501712796915,0.0032463321932163502
AGG_COMMON,2026-07,89,0.4199827575189388,0.4190468967111926,0.002228331499309233
TARGET_SHARED,2019-02,89,0.42010764304855075,0.41902492936172164,0.0025772292048111822
TARGET_SHARED,2019-03,89,0.42015789426432565,0.418772399243877,0.0032975579879906958
TARGET_SHARED,2019-04,89,0.4191897467031229,0.4175217071493509,0.0039791993169941975
TARGET_SHARED,2019-05,89,0.41727233915900896,0.4165747097667852,0.0016718802727969662
TARGET_SHARED,2019-06,89,0.42021602694934274,0.4190484505437229,0.0027785146942065353
TARGET_SHARED,2019-07,89,0.4202764413014783,0.4191157397415123,0.0027617573718184962
TARGET_SHARED,2019-08,89,0.4202826410962219,0.4189710433977678,0.0031207515376628914
TARGET_SHARED,2019-09,89,0.4191792942090844,0.41821257229167563,0.002306225356938918
TARGET_SHARED,2019-10,89,0.4193131567915026,0.4188684680107583,0.001060517118391835
TARGET_SHARED,2019-11,89,0.42003200305762134,0.4190088579823829,0.002435874094808166
TARGET_SHARED,2019-12,89,0.4198359660795065,0.41867062583429987,0.0027757037018261155
TARGET_SHARED,2020-01,89,0.4153072380969587,0.41418438265827123,0.0027036741373269724
TARGET_SHARED,2020-02,89,0.420292995648092,0.4191385182507146,0.002746839488955155
TARGET_SHARED,2020-03,89,0.4199418369230324,0.4186622740129347,0.0030470003166943593
TARGET_SHARED,2020-04,89,0.42010818755208623,0.41898080942179616,0.002683542391447191
TARGET_SHARED,2020-05,89,0.41961905071812056,0.4188360050162033,0.0018660871106236376
