source,target_month,assumed_available_from,timezone,status
CNB_core,2023-12,2024-01-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-01,2024-02-15 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-02,2024-03-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-03,2024-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-04,2024-05-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-05,2024-06-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-06,2024-07-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-07,2024-08-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-08,2024-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-09,2024-10-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-10,2024-11-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-11,2024-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2024-12,2025-01-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-01,2025-02-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-02,2025-03-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-03,2025-04-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-04,2025-05-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-05,2025-06-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-06,2025-07-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-07,2025-08-08 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-08,2025-09-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-09,2025-10-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-10,2025-11-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-11,2025-12-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2025-12,2026-01-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2026-01,2026-02-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2026-02,2026-03-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2026-03,2026-04-14 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2026-04,2026-05-13 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2026-05,2026-06-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2026-06,2026-07-10 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CNB_core,2026-07,2026-08-11 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2015-01,2015-02-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2015-02,2015-03-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2015-03,2015-04-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2015-04,2015-05-12 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
CZSO_five_categories,2015-05,2015-06-09 09:00:00,Europe/Prague,"publication rule, not recorded source vintage"
