origin,as_of,config,n_validation,selection_reason,validation_start,validation_end,validation_last_release,validation_origins,selected_inner_rmse,default_inner_rmse,prediction,n_train,train_start,train_end,training_last_release
2023-01,2023-02-09 23:59:00,a3_w60,36,minimum_prior_mse,2020-01,2022-12,2023-01-11 09:00:00,2020-01|2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12,0.37389211959954116,0.38058687138473607,1.0690425992212642,60,2018-01,2022-12,2023-01-11 09:00:00
2023-02,2023-03-09 23:59:00,a3_w60,36,minimum_prior_mse,2020-02,2023-01,2023-02-10 09:00:00,2020-02|2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01,0.3695546690352692,0.3748665435359542,0.8124325409670776,60,2018-02,2023-01,2023-02-10 09:00:00
2023-03,2023-04-12 23:59:00,a3_w60,36,minimum_prior_mse,2020-03,2023-02,2023-03-10 09:00:00,2020-03|2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02,0.3635662981243945,0.3710317168896222,0.4057695961627417,60,2018-03,2023-02,2023-03-10 09:00:00
2023-04,2023-05-10 23:59:00,a3_w60,36,minimum_prior_mse,2020-04,2023-03,2023-04-13 09:00:00,2020-04|2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03,0.3631126526925682,0.36807103964576576,0.8768207684976956,60,2018-04,2023-03,2023-04-13 09:00:00
2023-05,2023-06-11 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2020-05,2023-04,2023-05-11 09:00:00,2020-05|2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04,0.3800476170542566,0.38441215098086345,0.39490482753967465,196,2007-01,2023-04,2023-05-11 09:00:00
2023-06,2023-07-12 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2020-06,2023-05,2023-06-12 09:00:00,2020-06|2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05,0.3749636295690725,0.38020901227865345,0.26322059399869147,197,2007-01,2023-05,2023-06-12 09:00:00
2023-07,2023-08-09 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2020-07,2023-06,2023-07-13 09:00:00,2020-07|2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06,0.3768800650970696,0.3819008027095087,0.9225974208746595,198,2007-01,2023-06,2023-07-13 09:00:00
2023-08,2023-09-10 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2020-08,2023-07,2023-08-10 09:00:00,2020-08|2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07,0.3684325248577161,0.3733434694385989,0.6230404275997645,199,2007-01,2023-07,2023-08-10 09:00:00
2023-09,2023-10-09 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2020-09,2023-08,2023-09-11 09:00:00,2020-09|2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08,0.3727172128482957,0.37787862293025315,-0.19471783652767416,200,2007-01,2023-08,2023-09-11 09:00:00
2023-10,2023-11-09 23:59:00,a3_w60,36,minimum_prior_mse,2020-10,2023-09,2023-10-10 09:00:00,2020-10|2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09,0.3733026733028937,0.38426730064415154,0.7874819489533234,60,2018-10,2023-09,2023-10-10 09:00:00
2023-11,2023-12-10 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2020-11,2023-10,2023-11-10 09:00:00,2020-11|2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10,0.3810030514858784,0.38702970250618807,0.2700667549607416,202,2007-01,2023-10,2023-11-10 09:00:00
2023-12,2024-01-10 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2020-12,2023-11,2023-12-11 09:00:00,2020-12|2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11,0.38036540917324596,0.3866858107496413,0.2939282875920795,203,2007-01,2023-11,2023-12-11 09:00:00
2024-01,2024-02-14 23:59:00,a3_w60,36,minimum_prior_mse,2021-01,2023-12,2024-01-11 09:00:00,2021-01|2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12,0.3806533291404957,0.3875173946031178,0.40103310378801316,60,2019-01,2023-12,2024-01-11 09:00:00
2024-02,2024-03-10 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2021-02,2024-01,2024-02-15 09:00:00,2021-02|2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01,0.37852115683369375,0.38463395857804156,0.18224760974287202,205,2007-01,2024-01,2024-02-15 09:00:00
2024-03,2024-04-09 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2021-03,2024-02,2024-03-11 09:00:00,2021-03|2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02,0.37806820571932376,0.3839857695858556,0.12587530449261536,206,2007-01,2024-02,2024-03-11 09:00:00
2024-04,2024-05-12 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2021-04,2024-03,2024-04-10 09:00:00,2021-04|2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03,0.37798925555699187,0.38392334916564314,0.46481523007392206,207,2007-01,2024-03,2024-04-10 09:00:00
2024-05,2024-06-10 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2021-05,2024-04,2024-05-13 09:00:00,2021-05|2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04,0.38278095195573186,0.3884611357158437,0.07338658432104479,208,2007-01,2024-04,2024-05-13 09:00:00
2024-06,2024-07-09 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2021-06,2024-05,2024-06-11 09:00:00,2021-06|2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05,0.38171963104177475,0.3873721469596259,0.2865915359547665,209,2007-01,2024-05,2024-06-11 09:00:00
2024-07,2024-08-11 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2021-07,2024-06,2024-07-10 09:00:00,2021-07|2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06,0.3742708885688174,0.38000851385852924,0.5282761410569183,210,2007-01,2024-06,2024-07-10 09:00:00
2024-08,2024-09-09 23:59:00,a0.3_wexpanding,36,minimum_prior_mse,2021-08,2024-07,2024-08-12 09:00:00,2021-08|2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07,0.380181744573658,0.38518017343781846,0.3750205577394687,211,2007-01,2024-07,2024-08-12 09:00:00
2024-09,2024-10-09 23:59:00,a3_w60,36,minimum_prior_mse,2021-09,2024-08,2024-09-10 09:00:00,2021-09|2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08,0.3578479619640125,0.3744538046111596,-0.4487447682773552,60,2019-09,2024-08,2024-09-10 09:00:00
2024-10,2024-11-10 23:59:00,a3_w60,36,minimum_prior_mse,2021-10,2024-09,2024-10-10 09:00:00,2021-10|2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09,0.3498736991375848,0.37425856293590287,0.45308469525904294,60,2019-10,2024-09,2024-10-10 09:00:00
2024-11,2024-12-09 23:59:00,a3_w60,36,minimum_prior_mse,2021-11,2024-10,2024-11-11 09:00:00,2021-11|2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10,0.33598217635049715,0.3652501537856799,-0.014829940193207602,60,2019-11,2024-10,2024-11-11 09:00:00
2024-12,2025-01-12 23:59:00,a3_w60,36,minimum_prior_mse,2021-12,2024-11,2024-12-10 09:00:00,2021-12|2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11,0.32760285495529085,0.3581936147293577,0.015446737049690407,60,2019-12,2024-11,2024-12-10 09:00:00
2025-01,2025-02-05 23:59:00,a3_w60,36,minimum_prior_mse,2022-01,2024-12,2025-01-13 09:00:00,2022-01|2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12,0.32214661290131835,0.34982081878595306,0.41665423926216316,60,2020-01,2024-12,2025-01-13 09:00:00
2025-02,2025-03-04 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-02,2025-01,2025-02-12 09:00:00,2022-02|2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01,0.31774351599682576,0.3398222120042846,0.3726087153522293,60,2020-02,2025-01,2025-02-12 09:00:00
2025-03,2025-04-03 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-03,2025-02,2025-03-11 09:00:00,2022-03|2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02,0.3110479061491224,0.33898580040309145,0.010281899189498955,60,2020-03,2025-02,2025-03-11 09:00:00
2025-04,2025-05-05 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-04,2025-03,2025-04-10 09:00:00,2022-04|2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03,0.29584127078159594,0.32485787132806543,0.3336136967220555,60,2020-04,2025-03,2025-04-10 09:00:00
2025-05,2025-06-03 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-05,2025-04,2025-05-13 09:00:00,2022-05|2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04,0.2906587690570494,0.31444574813129467,0.36215686859804797,60,2020-05,2025-04,2025-05-13 09:00:00
2025-06,2025-07-03 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-06,2025-05,2025-06-10 09:00:00,2022-06|2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05,0.29010105395753033,0.30619131335834926,0.4997717728887837,60,2020-06,2025-05,2025-06-10 09:00:00
2025-07,2025-08-04 23:59:00,a300_wexpanding,36,minimum_prior_mse,2022-07,2025-06,2025-07-10 09:00:00,2022-07|2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06,0.2745762933715323,0.30662088283072986,0.5210091182437875,222,2007-01,2025-06,2025-07-10 09:00:00
2025-08,2025-09-03 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-08,2025-07,2025-08-08 09:00:00,2022-08|2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07,0.26262085137114344,0.2928930257020155,0.17088793454130397,60,2020-08,2025-07,2025-08-08 09:00:00
2025-09,2025-10-05 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-09,2025-08,2025-09-10 09:00:00,2022-09|2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08,0.25546231730628527,0.2772692348787046,-0.5014804496054674,60,2020-09,2025-08,2025-09-10 09:00:00
2025-10,2025-11-04 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-10,2025-09,2025-10-10 09:00:00,2022-10|2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09,0.2575039912971634,0.27614140506246104,0.5002916538771579,60,2020-10,2025-09,2025-10-10 09:00:00
2025-11,2025-12-03 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-11,2025-10,2025-11-11 09:00:00,2022-11|2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10,0.2540148385910906,0.27115134467444796,0.005817440800868601,60,2020-11,2025-10,2025-11-11 09:00:00
2025-12,2026-01-06 23:59:00,a0.3_w60,36,minimum_prior_mse,2022-12,2025-11,2025-12-10 09:00:00,2022-12|2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11,0.2473522257309766,0.2534159412608704,-0.04920669760791391,60,2020-12,2025-11,2025-12-10 09:00:00
2026-01,2026-02-04 23:59:00,a3_w60,36,minimum_prior_mse,2023-01,2025-12,2026-01-13 09:00:00,2023-01|2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12,0.250215108184024,0.25340398740382286,0.42396489483456323,60,2021-01,2025-12,2026-01-13 09:00:00
2026-02,2026-03-03 23:59:00,a3_w60,36,minimum_prior_mse,2023-02,2026-01,2026-02-13 09:00:00,2023-02|2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01,0.24619685038807196,0.25107184112300646,0.3556400539039982,60,2021-02,2026-01,2026-02-13 09:00:00
2026-03,2026-04-06 23:59:00,a3_w60,36,minimum_prior_mse,2023-03,2026-02,2026-03-10 09:00:00,2023-03|2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02,0.2466589372012365,0.25158538677995057,0.1382095957664602,60,2021-03,2026-02,2026-03-10 09:00:00
2026-04,2026-05-05 23:59:00,a3_w60,36,minimum_prior_mse,2023-04,2026-03,2026-04-14 09:00:00,2023-04|2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03,0.2444801545112912,0.2511000819852975,0.3779031243024262,60,2021-04,2026-03,2026-04-14 09:00:00
2026-05,2026-06-03 23:59:00,a0.3_w120,36,minimum_prior_mse,2023-05,2026-04,2026-05-13 09:00:00,2023-05|2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04,0.21644641641081563,0.2256986400639452,0.36270515083771393,120,2016-05,2026-04,2026-05-13 09:00:00
2026-06,2026-07-06 23:59:00,a3_w60,36,minimum_prior_mse,2023-06,2026-05,2026-06-10 09:00:00,2023-06|2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05,0.21335776045125765,0.2195915259192569,0.5550181027156491,60,2021-06,2026-05,2026-06-10 09:00:00
2026-07,2026-08-04 23:59:00,a0.3_w120,36,minimum_prior_mse,2023-07,2026-06,2026-07-10 09:00:00,2023-07|2023-08|2023-09|2023-10|2023-11|2023-12|2024-01|2024-02|2024-03|2024-04|2024-05|2024-06|2024-07|2024-08|2024-09|2024-10|2024-11|2024-12|2025-01|2025-02|2025-03|2025-04|2025-05|2025-06|2025-07|2025-08|2025-09|2025-10|2025-11|2025-12|2026-01|2026-02|2026-03|2026-04|2026-05|2026-06,0.21175613278495006,0.2168609389806057,0.931077886425915,120,2016-07,2026-06,2026-07-10 09:00:00
