,szif_mm_A,szif_mm_B,weeks_used_A,weeks_used_B,weeks_month
2021-11,2.8614529024951882,3.304410991552393,3,4,4
2021-12,1.1052848496018284,1.4470491321356131,4,5,5
2022-01,0.8793048021174995,0.4182626272840532,3,4,4
2022-02,-0.1576711496182052,-0.20216792843492545,3,4,4
2022-03,6.4594939771445885,10.042667444290787,4,5,5
2022-04,9.038596072296977,9.259782469619424,3,4,4
2022-05,3.6034559691964123,3.2496710183568687,3,4,4
2022-06,-1.9944825814879152,-1.0585797901178988,4,5,5
2022-07,1.7595179082479324,2.052538720267749,3,4,4
2022-08,-0.43331029524668363,-0.43331029524668363,4,4,4
2022-09,3.6446717117928564,4.1089610447009095,4,5,5
2022-10,-0.8315195200597557,-0.6838305199060377,3,4,4
2022-11,0.6317554891054812,0.6424356453948515,4,4,4
2022-12,0.20910780364806106,0.29771980365745154,4,5,5
2023-01,-8.955118600100358,-7.0090493237174,3,4,4
2023-02,6.246434684912135,7.311762952748196,3,4,4
2023-03,0.052469992134030065,-0.18647165207907643,4,5,5
2023-04,-1.1575539985444572,-1.095897944684161,3,4,4
2023-05,-1.7478916263124706,-1.7478916263124706,4,4,4
2023-06,0.6845894771079091,1.1285018120039443,4,5,5
2023-07,1.3874189640107835,0.4806852079052999,3,4,4
2023-08,0.13124962890797884,0.09495570112064182,4,5,5
2023-09,-1.6034898280297345,-1.2557399398794584,3,4,4
2023-10,0.18542312569476138,-0.3796746728364613,3,4,4
2023-11,-0.2576230172803386,-0.0792687497935655,4,5,5
2023-12,-0.3754585072940486,0.28288105661069096,2,4,4
2024-01,-0.07109726116947317,-0.02549810587583164,4,4,4
2024-02,0.3341939711371822,0.6344768268060759,4,5,5
2024-03,2.0856419027381694,2.073374012120072,3,4,4
2024-04,3.2746189196191247,1.2827592837796054,4,4,4
2024-05,0.023271882579996978,0.05799062564248758,4,5,5
2024-06,1.1057818264829795,1.1841687151513527,3,4,4
2024-07,-1.9350765917515904,-1.9350765917515904,4,4,4
2024-08,0.7080783428200181,0.7455884631911758,4,5,5
2024-09,1.1707352092883265,1.3028212267685924,3,4,4
2024-10,1.6864326187162328,1.4644026312185725,4,5,5
2024-11,0.30676926078910255,0.5552839041291531,3,4,4
2024-12,0.9854832645847446,0.3298401811695584,2,4,4
2025-01,0.06384207272068772,-0.2836062503948848,4,5,5
2025-02,-0.8280111879288575,-0.8280111879288575,3,3,4
2025-03,1.7594056653214925,2.284823224533786,3,4,4
2025-04,3.484107749418411,3.484107749418411,4,4,4
2025-05,1.3950179310970985,1.4702028821048942,4,5,5
2025-06,2.6642977308979474,2.5176538221613654,3,4,4
2025-07,0.07893060041031748,0.07893060041031748,4,4,5
2025-08,-0.3604257259672908,-0.23602148528803624,3,4,4
2025-09,-0.327086158315129,-0.3159748732207153,3,4,4
2025-10,-1.9489609054364327,-1.9489609054364327,4,4,5
