origin,band,family,feature,log_core_pp,absolute_contribution
2026-07,0,imported,intercept,0.0,0.0
2026-07,0,imported,core1,0.0,0.0
2026-07,0,imported,core3,0.0,0.0
2026-07,0,imported,midcycle,-0.0,0.0
2026-07,0,imported,goods_yoy,0.0,0.0
2026-07,0,imported,fx3,0.0,0.0
2026-07,0,imported,cost_23_now,0.0,0.0
2026-07,0,imported,cost_23_mean3,-0.0,0.0
2026-07,0,imported,cost_26_now,0.0,0.0
2026-07,0,imported,cost_26_mean3,0.0,0.0
2026-07,0,imported,cost_45_now,-0.0,0.0
2026-07,0,imported,cost_56_now,0.0,0.0
2026-07,0,imported,cost_56_mean3,-0.0,0.0
2026-07,1,imported,midtrend,0.03022394678268968,0.03022394678268968
2026-07,1,imported,core12,0.029830330079335412,0.029830330079335412
2026-07,1,imported,fx3,0.024247615930783686,0.024247615930783686
2026-07,1,imported,cost_62_now,-0.02363739839442774,0.02363739839442774
2026-07,1,imported,cost_45_now,-0.022037009545337462,0.022037009545337462
2026-07,1,imported,cost_47_mean3,0.021973868967719905,0.021973868967719905
2026-07,1,imported,cost_47_now,-0.020676300329565727,0.020676300329565727
2026-07,1,imported,cost_26_now,0.017442292743449793,0.017442292743449793
2026-07,1,imported,cost_26_mean3,0.014002332410107872,0.014002332410107872
2026-07,1,imported,intercept,0.012233773143688278,0.012233773143688278
2026-07,1,imported,cost_62_mean3,-0.00946093850481028,0.00946093850481028
2026-07,1,imported,core_acceleration,-0.0037727664724136367,0.0037727664724136367
2026-07,1,imported,core3,0.002699401448157983,0.002699401448157983
2026-07,1,imported,destination_season,-0.0014589404070086153,0.0014589404070086153
2026-07,1,imported,midcycle,-0.0011544770412130936,0.0011544770412130936
2026-07,1,imported,cost_23_now,-0.0007856653967097613,0.0007856653967097613
2026-07,1,imported,goods_change3,-0.00026418882760051915,0.00026418882760051915
2026-07,1,imported,core1,0.0,0.0
2026-07,1,imported,goods_yoy,0.0,0.0
2026-07,1,imported,fx1,0.0,0.0
2026-07,1,imported,cost_23_mean3,0.0,0.0
2026-07,1,imported,cost_45_mean3,-0.0,0.0
2026-07,1,imported,cost_56_now,0.0,0.0
2026-07,1,imported,cost_56_mean3,-0.0,0.0
2026-07,2,imported,intercept,0.0,0.0
2026-07,2,imported,core1,-0.0,0.0
2026-07,2,imported,core3,-0.0,0.0
2026-07,2,imported,core12,-0.0,0.0
2026-07,2,imported,core_acceleration,-0.0,0.0
2026-07,2,imported,midtrend,-0.0,0.0
2026-07,2,imported,midcycle,-0.0,0.0
2026-07,2,imported,goods_yoy,-0.0,0.0
2026-07,2,imported,goods_change3,-0.0,0.0
2026-07,2,imported,fx1,-0.0,0.0
2026-07,2,imported,fx3,-0.0,0.0
2026-07,2,imported,cost_23_now,-0.0,0.0
2026-07,2,imported,cost_23_mean3,-0.0,0.0
2026-07,2,imported,cost_26_now,0.0,0.0
2026-07,2,imported,cost_26_mean3,0.0,0.0
2026-07,2,imported,cost_45_now,-0.0,0.0
2026-07,2,imported,cost_45_mean3,-0.0,0.0
2026-07,2,imported,cost_47_now,-0.0,0.0
2026-07,2,imported,cost_47_mean3,0.0,0.0
2026-07,2,imported,cost_56_now,-0.0,0.0
2026-07,2,imported,cost_56_mean3,-0.0,0.0
2026-07,2,imported,cost_62_now,-0.0,0.0
2026-07,2,imported,cost_62_mean3,-0.0,0.0
2026-07,2,imported,destination_season,-0.0,0.0
2026-07,3,imported,intercept,0.0,0.0
2026-07,3,imported,core1,-0.0,0.0
2026-07,3,imported,core3,-0.0,0.0
2026-07,3,imported,core12,-0.0,0.0
2026-07,3,imported,core_acceleration,-0.0,0.0
2026-07,3,imported,midtrend,-0.0,0.0
2026-07,3,imported,midcycle,-0.0,0.0
2026-07,3,imported,goods_yoy,-0.0,0.0
2026-07,3,imported,goods_change3,-0.0,0.0
2026-07,3,imported,fx1,-0.0,0.0
2026-07,3,imported,fx3,-0.0,0.0
2026-07,3,imported,cost_23_now,-0.0,0.0
2026-07,3,imported,cost_23_mean3,-0.0,0.0
2026-07,3,imported,cost_26_now,0.0,0.0
2026-07,3,imported,cost_26_mean3,0.0,0.0
2026-07,3,imported,cost_45_now,-0.0,0.0
2026-07,3,imported,cost_45_mean3,-0.0,0.0
2026-07,3,imported,cost_47_now,-0.0,0.0
2026-07,3,imported,cost_47_mean3,0.0,0.0
2026-07,3,imported,cost_56_now,-0.0,0.0
2026-07,3,imported,cost_56_mean3,-0.0,0.0
2026-07,3,imported,cost_62_now,-0.0,0.0
2026-07,3,imported,cost_62_mean3,-0.0,0.0
2026-07,3,imported,destination_season,0.0,0.0
2026-07,0,wide,a6_59,0.05345959216206958,0.05345959216206958
2026-07,0,wide,a6_47,-0.04425360953572475,0.04425360953572475
2026-07,0,wide,destination_season,-0.018862401847517644,0.018862401847517644
2026-07,0,wide,a6_58,0.017411798375954874,0.017411798375954874
2026-07,0,wide,a6_55,-0.0158634847450824,0.0158634847450824
2026-07,0,wide,a6_26,0.008861903496323037,0.008861903496323037
2026-07,0,wide,a6_63,0.003996654147402525,0.003996654147402525
2026-07,0,wide,services_change3,-0.003404140485258493,0.003404140485258493
2026-07,0,wide,a6_64,-0.003315327850923265,0.003315327850923265
2026-07,0,wide,a6_54,-0.0027889073237426123,0.0027889073237426123
2026-07,0,wide,services_yoy,0.0026816392875416467,0.0026816392875416467
2026-07,0,wide,a6_65,-0.002184802621381291,0.002184802621381291
2026-07,0,wide,a6_46,0.0012941325485578644,0.0012941325485578644
2026-07,0,wide,intercept,0.0,0.0
2026-07,0,wide,core1,0.0,0.0
2026-07,0,wide,core3,0.0,0.0
2026-07,0,wide,core12,0.0,0.0
2026-07,0,wide,core_acceleration,-0.0,0.0
2026-07,0,wide,midtrend,0.0,0.0
2026-07,0,wide,midcycle,0.0,0.0
2026-07,0,wide,goods_yoy,0.0,0.0
2026-07,0,wide,goods_change3,-0.0,0.0
2026-07,0,wide,fx1,-0.0,0.0
2026-07,0,wide,fx3,0.0,0.0
2026-07,0,wide,a6_11,-0.0,0.0
2026-07,0,wide,a6_12,0.0,0.0
2026-07,0,wide,a6_13,-0.0,0.0
2026-07,0,wide,a6_17,0.0,0.0
2026-07,0,wide,a6_23,0.0,0.0
2026-07,0,wide,a6_24,0.0,0.0
2026-07,0,wide,a6_25,-0.0,0.0
2026-07,0,wide,a6_43,0.0,0.0
2026-07,0,wide,a6_44,0.0,0.0
2026-07,0,wide,a6_45,-0.0,0.0
2026-07,0,wide,a6_48,0.0,0.0
2026-07,0,wide,a6_49,0.0,0.0
2026-07,0,wide,a6_50,-0.0,0.0
2026-07,0,wide,a6_51,0.0,0.0
2026-07,0,wide,a6_52,-0.0,0.0
2026-07,0,wide,a6_53,-0.0,0.0
2026-07,0,wide,a6_56,0.0,0.0
2026-07,0,wide,a6_57,0.0,0.0
2026-07,0,wide,a6_60,0.0,0.0
2026-07,0,wide,a6_61,0.0,0.0
2026-07,0,wide,a6_62,-0.0,0.0
2026-07,0,wide,a6_66,0.0,0.0
2026-07,1,wide,a6_63,0.0514220576112324,0.0514220576112324
2026-07,1,wide,a6_47,-0.04035687045098772,0.04035687045098772
2026-07,1,wide,a6_59,0.026206762068000895,0.026206762068000895
