"Ukazatel","IndicatorType","Klasifikace API","APIZZ","Typ indexu","TYPUDAJEZEM4","Měsíce, jejich kumulace, čtvrtletí, roky","CASMKMQR","Území","Uz0","Hodnota"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2012","2012-10K","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2012","2012-11K","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2012","2012-12K","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2012","2012-Q4","Česko","CZ","101.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2012","2012","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2013","2013-01","Česko","CZ","102.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2013","2013-01K","Česko","CZ","102.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2013","2013-02K","Česko","CZ","101.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2013","2013-03K","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2013","2013-Q1","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2013","2013-04K","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2013","2013-05K","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2013","2013-06K","Česko","CZ","100.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2013","2013-Q2","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2013","2013-07K","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2013","2013-08K","Česko","CZ","99.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2013","2013-09K","Česko","CZ","99.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2013","2013-Q3","Česko","CZ","97.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2013","2013-10K","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2013","2013-11K","Česko","CZ","99.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2013","2013-12K","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2013","2013-Q4","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2013","2013","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2014","2014-01","Česko","CZ","102.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2014","2014-01K","Česko","CZ","102.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2014","2014-02K","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2014","2014-03K","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2014","2014-Q1","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2014","2014-04K","Česko","CZ","101"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2014","2014-05K","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2014","2014-06K","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2014","2014-Q2","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2014","2014-07K","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2014","2014-08K","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2014","2014-09K","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2014","2014-Q3","Česko","CZ","97.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2014","2014-10K","Česko","CZ","99.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2014","2014-11K","Česko","CZ","99.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2014","2014-12K","Česko","CZ","99.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2014","2014-Q4","Česko","CZ","98.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2014","2014","Česko","CZ","99.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2015","2015-01","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2015","2015-01K","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2015","2015-02K","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2015","2015-03K","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2015","2015-Q1","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2015","2015-04K","Česko","CZ","100.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2015","2015-05K","Česko","CZ","100.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2015","2015-06K","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2015","2015-Q2","Česko","CZ","99.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2015","2015-07K","Česko","CZ","99.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2015","2015-08K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2015","2015-09K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2015","2015-Q3","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2015","2015-10K","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2015","2015-11K","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2015","2015-12K","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2015","2015-Q4","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2015","2015","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2016","2016-01","Česko","CZ","99.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2016","2016-01K","Česko","CZ","99.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2016","2016-02K","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2016","2016-03K","Česko","CZ","98.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2016","2016-Q1","Česko","CZ","98.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2016","2016-04K","Česko","CZ","98.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2016","2016-05K","Česko","CZ","98.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2016","2016-06K","Česko","CZ","98.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2016","2016-Q2","Česko","CZ","98.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2016","2016-07K","Česko","CZ","98.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2016","2016-08K","Česko","CZ","98.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2016","2016-09K","Česko","CZ","99.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2016","2016-Q3","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2016","2016-10K","Česko","CZ","99.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2016","2016-11K","Česko","CZ","99.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2016","2016-12K","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2016","2016-Q4","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2016","2016","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2017","2017-01","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2017","2017-01K","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2017","2017-02K","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2017","2017-03K","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2017","2017-Q1","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2017","2017-04K","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2017","2017-05K","Česko","CZ","101.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2017","2017-06K","Česko","CZ","101.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2017","2017-Q2","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2017","2017-07K","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2017","2017-08K","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2017","2017-09K","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2017","2017-Q3","Česko","CZ","100.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2017","2017-10K","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2017","2017-11K","Česko","CZ","100.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2017","2017-12K","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2017","2017-Q4","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2017","2017","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2018","2018-01","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2018","2018-01K","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2018","2018-02K","Česko","CZ","98.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2018","2018-03K","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2018","2018-Q1","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2018","2018-04K","Česko","CZ","98.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2018","2018-05K","Česko","CZ","98.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2018","2018-06K","Česko","CZ","99"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2018","2018-Q2","Česko","CZ","98.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2018","2018-07K","Česko","CZ","99.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2018","2018-08K","Česko","CZ","99.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2018","2018-09K","Česko","CZ","100"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2018","2018-Q3","Česko","CZ","102.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2018","2018-10K","Česko","CZ","100.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2018","2018-11K","Česko","CZ","100.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2018","2018-12K","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2018","2018-Q4","Česko","CZ","101"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2018","2018","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2019","2019-01","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2019","2019-01K","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2019","2019-02K","Česko","CZ","101.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2019","2019-03K","Česko","CZ","101"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2019","2019-Q1","Česko","CZ","101"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2019","2019-04K","Česko","CZ","100.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2019","2019-05K","Česko","CZ","100.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2019","2019-06K","Česko","CZ","100.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2019","2019-Q2","Česko","CZ","100.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2019","2019-07K","Česko","CZ","100.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2019","2019-08K","Česko","CZ","99.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2019","2019-09K","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2019","2019-Q3","Česko","CZ","98.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2019","2019-10K","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2019","2019-11K","Česko","CZ","99.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2019","2019-12K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2019","2019-Q4","Česko","CZ","99.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2019","2019","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2020","2020-01","Česko","CZ","102.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2020","2020-01K","Česko","CZ","102.1"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2020","2020-02K","Česko","CZ","101.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2020","2020-03K","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2020","2020-Q1","Česko","CZ","101.2"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2020","2020-04K","Česko","CZ","100.8"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2020","2020-05K","Česko","CZ","100.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2020","2020-06K","Česko","CZ","100.3"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2. čtvrtletí 2020","2020-Q2","Česko","CZ","99.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červenec 2020","2020-07K","Česko","CZ","99.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - srpen 2020","2020-08K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - září 2020","2020-09K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","3. čtvrtletí 2020","2020-Q3","Česko","CZ","98.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - říjen 2020","2020-10K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - listopad 2020","2020-11K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - prosinec 2020","2020-12K","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","4. čtvrtletí 2020","2020-Q4","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","2020","2020","Česko","CZ","99.7"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2021","2021-01","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden 2021","2021-01K","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - únor 2021","2021-02K","Česko","CZ","100.9"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - březen 2021","2021-03K","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","1. čtvrtletí 2021","2021-Q1","Česko","CZ","101.4"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - duben 2021","2021-04K","Česko","CZ","101.5"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - květen 2021","2021-05K","Česko","CZ","101.6"
"Index cen zemědělských výrobců","6145","Zemědělská výroba (bez ovoce a zeleniny)","141000","Průměrné tempo růstu","TR","leden - červen 2021","2021-06K","Česko","CZ","101.5"
