sample,model,h,n,n_common,n_intended,n_estimated,n_missing_distributions,n_noncommon_distributions,crps,coverage80,coverage90,width80,width90,point_mae,median_mae
origins_2024plus,DAMPED_P95_Q001_R16,7,24,24,24,24,0,0,0.7092218207037503,1.0,1.0,7.070531540933931,9.45226505971224,0.4763177464077337,0.8217335945433483
origins_2024plus,DAMPED_P95_Q001_R16,8,23,23,23,23,0,0,0.793320999636345,1.0,1.0,8.23111637189211,11.31654732184768,0.5177097498281712,0.8759017825300445
origins_2024plus,DAMPED_P95_Q001_R16,9,22,22,22,22,0,0,0.871085371432324,1.0,1.0,9.753145489033752,12.894819029073949,0.5352341154146512,0.7765393852468605
origins_2024plus,DAMPED_P95_Q001_R16,10,21,21,21,21,0,0,0.9568383871361432,1.0,1.0,11.175038039307935,14.14781615996631,0.5580197557913097,0.7405937635488427
origins_2024plus,DAMPED_P95_Q001_R16,11,20,20,20,20,0,0,1.0478252070789535,1.0,1.0,12.625297302784041,15.57092055280865,0.5634436795844271,0.8415880433399419
origins_2024plus,DAMPED_P95_Q001_R16,12,19,19,19,19,0,0,1.1239187301397984,1.0,1.0,13.273331486900464,17.16770209394093,0.6074881598966505,0.7985715843614536
origins_2024plus,FOOD_H0_FAST_R18,1,30,30,30,30,0,0,0.22592962144555503,0.9333333333333333,1.0,1.5830533959633306,2.531533844391579,0.25520460888657587,0.28400147367028317
origins_2024plus,FOOD_H0_FAST_R18,2,29,29,29,29,0,0,0.33259903699379023,0.9655172413793104,1.0,2.7899548887069363,4.234320200838614,0.35145447225455667,0.40197673235146303
origins_2024plus,FOOD_H0_FAST_R18,3,28,28,28,28,0,0,0.44204034806969145,1.0,1.0,4.46199614150565,5.36537036163637,0.4323727508324381,0.5261634081229353
origins_2024plus,FOOD_H0_FAST_R18,4,27,27,27,27,0,0,0.5307614310256324,1.0,1.0,5.145725948454545,6.065725455274117,0.37118353852255914,0.5973795877155824
origins_2024plus,FOOD_H0_FAST_R18,5,26,26,26,26,0,0,0.6338407461189277,1.0,1.0,5.815569632082979,6.61290062656253,0.3714257066651459,0.6314325175913788
origins_2024plus,FOOD_H0_FAST_R18,6,25,25,25,25,0,0,0.7237430448148581,0.96,1.0,6.295486300305558,7.996212243248417,0.408936901468069,0.781942908802668
origins_2024plus,FOOD_H0_FAST_R18,7,24,24,24,24,0,0,0.8293682685644029,1.0,1.0,7.265057508403974,9.172592383503053,0.5277923068643364,1.0867873805550567
origins_2024plus,FOOD_H0_FAST_R18,8,23,23,23,23,0,0,0.9526138217180911,1.0,1.0,8.36548979342349,10.970869982150468,0.5935369386729665,1.221509014302745
origins_2024plus,FOOD_H0_FAST_R18,9,22,22,22,22,0,0,1.0414304004022945,1.0,1.0,9.679308314359206,12.731205348778387,0.6304861231634015,1.2164113340822476
