origin,H,actual,FOOD_NORM_SHIFT_R24,CAND,PPI,AGRI,TREND,CONST,MARGIN,MARGIN_NC,MARGIN_T
2021-10,3,6.078036484076008,2.1010610387244992,2.2818032893507914,2.3341769303478253,2.1584031899142797,2.1734138015378774,2.0486955268722897,1.8396319654394069,1.9208701348783737,2.3876151782839004
2021-10,6,11.72925751041024,2.431894374643532,2.6888872622527913,2.7633560330454485,2.5134277458665015,2.5501086701771,2.327535634167656,1.9288647209983398,2.0843506302238586,2.839338541829555
2021-10,12,22.367297866267396,2.54074714730727,2.7977400349165293,2.872208805709187,2.622280518530239,2.6589614428408384,2.436388406831394,2.037717493662078,2.1932034028875966,2.948191314493294
2021-11,3,6.426555812236451,2.2572377847683573,2.84157216735759,2.860759712066831,2.7614949683851786,2.5337186124143223,2.155627390629618,2.047894527216422,2.1180970239182253,2.9533148375123424
2021-11,6,13.995178575494094,2.8741941554465376,3.7050446056906026,3.732326895824055,3.5911848384017055,3.3273081414448344,2.6725315059054346,2.473584022477685,2.6073138810794907,3.8639287148168915
2021-11,12,23.131964278553074,2.709634239119842,3.540484689363908,3.56776697949736,3.4266249220750105,3.1627482251181394,2.5079715895787396,2.30902410615099,2.442753964752795,3.6993687984901964
2021-12,3,6.464692809740412,2.2832893278335606,2.803245714014057,2.877162102439811,2.5931211751113583,2.3342103303002912,2.225705110597252,2.127220982278164,2.170278753282892,3.124012924618004
2021-12,6,15.476998993561404,2.858496471065646,3.5978094576660395,3.702909322458909,3.299038628913765,2.9416614178233536,2.743780096878898,2.5584622268840116,2.6408359105795767,4.053900335243526
2021-12,12,22.71252063624247,2.98557124770917,3.724884234309563,3.8299840991024325,3.426113405557288,3.0687361944668776,2.870854873522422,2.6855370035275357,2.7679106872231003,4.18097511188705
2022-01,3,5.651221026334232,0.7863917381785529,1.3630500068330567,1.4218793913371726,1.1397046622669633,0.6914464579202557,0.7654394556300153,0.6816620844649852,0.7087409095665467,1.8378130691618644
2022-01,6,12.623741426196887,0.9933128633747752,1.8132488391178971,1.8968968702096876,1.4956796773129835,0.8382476590342729,0.9514646206116468,0.7914789513346493,0.8434213016415315,2.4883025683666706
2022-01,12,22.1813763884208,3.1714000751634925,3.9913360509066154,4.074984081998405,3.6737668891017012,3.0163348708229907,3.1295518324003644,2.969566163123367,3.0215085134302493,4.666389780155389
