origin,config,prediction,status,n_train,stage,family,band
2013-04,l10,-0.012913978556839564,estimated,84,signal,services,0
2013-05,l0.1,0.22559885586804979,estimated,85,signal,services,0
2013-05,l1,-0.008435731275000006,estimated,85,signal,services,0
2013-05,l10,-0.017555598910484197,estimated,85,signal,services,0
2013-06,l0.1,0.05757355553897914,estimated,86,signal,services,0
2013-06,l1,0.06108561183350791,estimated,86,signal,services,0
2013-06,l10,0.01613800078411627,estimated,86,signal,services,0
2013-07,l0.1,0.2630712563729746,estimated,87,signal,services,0
2013-07,l1,0.13556267947936093,estimated,87,signal,services,0
2013-07,l10,0.03186073068365574,estimated,87,signal,services,0
2013-08,l0.1,0.21355479624220036,estimated,88,signal,services,0
2013-08,l1,0.1290451863031815,estimated,88,signal,services,0
2013-08,l10,0.031127322132093023,estimated,88,signal,services,0
2013-09,l0.1,0.20256613060262244,estimated,89,signal,services,0
2013-09,l1,0.14204324275448163,estimated,89,signal,services,0
2013-09,l10,0.0365140544868882,estimated,89,signal,services,0
2013-10,l0.1,0.10366977968046827,estimated,90,signal,services,0
2013-10,l1,0.06597264392476769,estimated,90,signal,services,0
2013-10,l10,0.01602424042766328,estimated,90,signal,services,0
2013-11,l0.1,0.23558237611094146,estimated,91,signal,services,0
2013-11,l1,0.12419720197483888,estimated,91,signal,services,0
2013-11,l10,0.02930369616161277,estimated,91,signal,services,0
2013-12,l0.1,0.21975247408520435,estimated,92,signal,services,0
2013-12,l1,0.10885293522671244,estimated,92,signal,services,0
2013-12,l10,0.026764085982949947,estimated,92,signal,services,0
2014-01,l0.1,0.3513338826897417,estimated,93,signal,services,0
2014-01,l1,0.20696550866233673,estimated,93,signal,services,0
2014-01,l10,0.05106136033888385,estimated,93,signal,services,0
2014-02,l0.1,0.14262894184986544,estimated,94,signal,services,0
2014-02,l1,0.1152018675812412,estimated,94,signal,services,0
2014-02,l10,0.031811444279850117,estimated,94,signal,services,0
2014-03,l0.1,-0.0005231795474931047,estimated,95,signal,services,0
2014-03,l1,0.04206003044449832,estimated,95,signal,services,0
2014-03,l10,0.026035609561407113,estimated,95,signal,services,0
2014-04,l0.1,-0.2558850517914319,estimated,96,signal,services,0
2014-04,l1,-0.04844484109344038,estimated,96,signal,services,0
2014-04,l10,0.008175336578440178,estimated,96,signal,services,0
2014-05,l0.1,0.0760055864999585,estimated,97,signal,services,0
2014-05,l1,0.09064510834678922,estimated,97,signal,services,0
2014-05,l10,0.03615400948138573,estimated,97,signal,services,0
2014-06,l0.1,0.4394732769051183,estimated,98,signal,services,0
2014-06,l1,0.2283382182879092,estimated,98,signal,services,0
2014-06,l10,0.05124534191238428,estimated,98,signal,services,0
2014-07,l0.1,0.47756990210020006,estimated,99,signal,services,0
2014-07,l1,0.18509659350957494,estimated,99,signal,services,0
2014-07,l10,0.03731592452402245,estimated,99,signal,services,0
2014-08,l0.1,0.36214570835220217,estimated,100,signal,services,0
2014-08,l1,0.13761324781423884,estimated,100,signal,services,0
2014-08,l10,0.02731157038694316,estimated,100,signal,services,0
2014-09,l0.1,0.05681134515053782,estimated,101,signal,services,0
2014-09,l1,0.018765423089280586,estimated,101,signal,services,0
2014-09,l10,0.005248660614793462,estimated,101,signal,services,0
2014-10,l0.1,0.15867626483985992,estimated,102,signal,services,0
2014-10,l1,0.10094563827795883,estimated,102,signal,services,0
2014-10,l10,0.026922783559628134,estimated,102,signal,services,0
2014-11,l0.1,0.0654898057953021,estimated,103,signal,services,0
2014-11,l1,0.08341323894768007,estimated,103,signal,services,0
2014-11,l10,0.025322405380977544,estimated,103,signal,services,0
2014-12,l0.1,-0.12464850051381458,estimated,104,signal,services,0
2014-12,l1,0.015356310538781583,estimated,104,signal,services,0
2014-12,l10,0.016023720232945037,estimated,104,signal,services,0
2015-01,l0.1,-0.1710560808012349,estimated,105,signal,services,0
2015-01,l1,-0.011727735755705546,estimated,105,signal,services,0
