origin,last_target,available_from,actual,stage,family,band
2014-07,2014-10,2014-11-10 09:00:00,-9.966761407367852e-05,signal,goods,0
2014-08,2014-11,2014-12-09 09:00:00,-0.033349878184921106,signal,goods,0
2014-09,2014-12,2015-01-09 09:00:00,-0.06669942552277688,signal,goods,0
2014-10,2015-01,2015-02-09 09:00:00,0.06636795012847158,signal,goods,0
2014-11,2015-02,2015-03-09 09:00:00,0.43238613500379935,signal,goods,0
2014-12,2015-03,2015-04-09 09:00:00,0.16618478436180723,signal,goods,0
2015-01,2015-04,2015-05-12 09:00:00,-0.1327691004747945,signal,goods,0
2015-02,2015-05,2015-06-09 09:00:00,-3.3068274578440526e-05,signal,goods,0
2015-03,2015-06,2015-07-09 09:00:00,-0.03328327884542587,signal,goods,0
2015-04,2015-07,2015-08-10 09:00:00,0.033150873803839076,signal,goods,0
2015-05,2015-08,2015-09-09 09:00:00,-0.13290143954474487,signal,goods,0
2015-06,2015-09,2015-10-09 09:00:00,-0.09965116319909334,signal,goods,0
2015-07,2015-10,2015-11-09 09:00:00,0.3319728801917339,signal,goods,0
2015-08,2015-11,2015-12-09 09:00:00,0.36489240703341697,signal,goods,0
2015-09,2015-12,2016-01-12 09:00:00,0.4310956727543973,signal,goods,0
2015-10,2016-01,2016-02-12 09:00:00,0.09932133435023971,signal,goods,0
2015-11,2016-02,2016-03-09 09:00:00,0.033052325554182915,signal,goods,0
2015-12,2016-03,2016-04-11 09:00:00,0.0661047162973506,signal,goods,0
2016-01,2016-04,2016-05-10 09:00:00,-0.03315087497781266,signal,goods,0
2016-02,2016-05,2016-06-09 09:00:00,0.09925565646414802,signal,goods,0
2016-03,2016-06,2016-07-12 09:00:00,-0.19860979716294103,signal,goods,0
2016-04,2016-07,2016-08-09 09:00:00,-0.23156370367146373,signal,goods,0
2016-05,2016-08,2016-09-09 09:00:00,0.06620326572098034,signal,goods,0
2016-06,2016-09,2016-10-10 09:00:00,-0.00013174787935332777,signal,goods,0
2016-07,2016-10,2016-11-09 09:00:00,-0.06633501360033367,signal,goods,0
2016-08,2016-11,2016-12-09 09:00:00,-0.16568915429912667,signal,goods,0
2016-09,2016-12,2017-01-10 09:00:00,-0.00029643346081820177,signal,goods,0
2016-10,2017-01,2017-02-10 09:00:00,0.23182667596944218,signal,goods,0
2016-11,2017-02,2017-03-09 09:00:00,-0.09958502684598652,signal,goods,0
2016-12,2017-03,2017-04-10 09:00:00,-0.2977999063134644,signal,goods,0
2017-01,2017-04,2017-05-10 09:00:00,0.36476092068876687,signal,goods,0
2017-02,2017-05,2017-06-09 09:00:00,0.09915710704051828,signal,goods,0
2017-03,2017-06,2017-07-12 09:00:00,0.29796432957913505,signal,goods,0
2017-04,2017-07,2017-08-09 09:00:00,0.1323737250934074,signal,goods,0
2017-05,2017-08,2017-09-11 09:00:00,-0.23153083213392556,signal,goods,0
2017-06,2017-09,2017-10-09 09:00:00,-0.13227517566977753,signal,goods,0
2017-07,2017-10,2017-11-09 09:00:00,0.19857699081438762,signal,goods,0
2017-08,2017-11,2017-12-11 09:00:00,0.09922278492660985,signal,goods,0
2017-09,2017-12,2018-01-10 09:00:00,-0.03318387708781778,signal,goods,0
2017-10,2018-01,2018-02-14 09:00:00,-0.5973525962416707,signal,goods,0
2017-11,2018-02,2018-03-09 09:00:00,-0.6973992041235579,signal,goods,0
2017-12,2018-03,2018-04-10 09:00:00,-0.731078318780246,signal,goods,0
2018-01,2018-04,2018-05-10 09:00:00,-0.43212079556500516,signal,goods,0
2018-02,2018-05,2018-06-11 09:00:00,0.267034157443554,signal,goods,0
2018-03,2018-06,2018-07-11 09:00:00,-0.20003346678357367,signal,goods,0
2018-04,2018-07,2018-08-09 09:00:00,-0.23338347790302477,signal,goods,0
2018-05,2018-08,2018-09-10 09:00:00,-0.06670002223890223,signal,goods,0
2018-06,2018-09,2018-10-09 09:00:00,0.13350024482840553,signal,goods,0
2018-07,2018-10,2018-11-09 09:00:00,-0.03345027843772182,signal,goods,0
2018-08,2018-11,2018-12-10 09:00:00,-0.13360057911434586,signal,goods,0
2018-09,2018-12,2019-01-10 09:00:00,-0.10045030202663215,signal,goods,0
2018-10,2019-01,2019-02-13 09:00:00,0.33227048988918667,signal,goods,0
2018-11,2019-02,2019-03-11 09:00:00,0.799073042938632,signal,goods,0
2010-01,2010-04,2010-05-10 09:00:00,-0.16897515478269906,core,own,0
2010-02,2010-05,2010-06-09 09:00:00,0.1974151497802018,core,own,0
2010-03,2010-06,2010-07-12 09:00:00,0.24035949305490634,core,own,0
2010-04,2010-07,2010-08-09 09:00:00,0.13419328472625422,core,own,0
2010-05,2010-08,2010-09-09 09:00:00,0.03671100234532941,core,own,0
2010-06,2010-09,2010-10-11 09:00:00,0.02061369179926617,core,own,0
2010-07,2010-10,2010-11-09 09:00:00,0.06974099752555188,core,own,0
2010-08,2010-11,2010-12-09 09:00:00,0.11900012913618702,core,own,0
2010-09,2010-12,2011-01-10 09:00:00,0.09438883223904326,core,own,0
2010-10,2011-01,2011-02-09 09:00:00,0.004408591616056931,core,own,0
2010-11,2011-02,2011-03-09 09:00:00,-0.11493514717303471,core,own,0
2010-12,2011-03,2011-04-11 09:00:00,-0.1124714087463336,core,own,0
2011-01,2011-04,2011-05-10 09:00:00,-0.04445255736320247,core,own,0
2011-02,2011-05,2011-06-09 09:00:00,0.019772634513628037,core,own,0
2011-03,2011-06,2011-07-12 09:00:00,0.10713488846806976,core,own,0
2011-04,2011-07,2011-08-09 09:00:00,0.0597657760748543,core,own,0
2011-05,2011-08,2011-09-09 09:00:00,0.006684812729638209,core,own,0
2011-06,2011-09,2011-10-10 09:00:00,0.07661286748358241,core,own,0
2011-07,2011-10,2011-11-09 09:00:00,0.17028580911326235,core,own,0
2011-08,2011-11,2011-12-09 09:00:00,0.20487924184750828,core,own,0
2011-09,2011-12,2012-01-09 09:00:00,0.16854677071185795,core,own,0
2011-10,2012-01,2012-02-16 09:00:00,0.019207548741954315,core,own,0
2011-11,2012-02,2012-03-09 09:00:00,-0.10427547255693177,core,own,0
2011-12,2012-03,2012-04-10 09:00:00,-0.11496824817876436,core,own,0
2012-01,2012-04,2012-05-10 09:00:00,-0.024972080556016754,core,own,0
2012-02,2012-05,2012-06-11 09:00:00,-0.021987108268455104,core,own,0
2012-03,2012-06,2012-07-11 09:00:00,0.04076977210042076,core,own,0
2012-04,2012-07,2012-08-09 09:00:00,-0.022540488264563063,core,own,0
2012-05,2012-08,2012-09-10 09:00:00,-0.15600933963201014,core,own,0
2012-06,2012-09,2012-10-09 09:00:00,-0.1145556647726258,core,own,0
2012-07,2012-10,2012-11-09 09:00:00,0.01484045082826102,core,own,0
2012-08,2012-11,2012-12-10 09:00:00,0.08649420369144084,core,own,0
2012-09,2012-12,2013-01-09 09:00:00,0.03998412717400246,core,own,0
2012-10,2013-01,2013-02-11 09:00:00,-0.030298625265797893,core,own,0
2012-11,2013-02,2013-03-11 09:00:00,-0.006373527625154293,core,own,0
2012-12,2013-03,2013-04-09 09:00:00,0.06345164873654673,core,own,0
2013-01,2013-04,2013-05-10 09:00:00,0.06495461847672168,core,own,0
2013-02,2013-05,2013-06-10 09:00:00,-0.13421026216621673,core,own,0
2013-03,2013-06,2013-07-09 09:00:00,-0.15249990272361041,core,own,0
