origin,core_acceleration,family,band,services_projection,goods_projection
2017-07,-0.06655408220333425,both,2,-0.03725378839241692,-0.00130828554936768
2017-08,-0.05440627694638764,both,2,-0.041373919845997996,-0.0003617652868854854
2017-09,-0.10301664785661367,both,2,-0.058441825118156064,0.0003993307797011414
2017-10,-0.05680158220451456,both,2,-0.07563772301851651,0.0005609272007574838
2017-11,-0.03669643939371342,both,2,-0.06258922956994491,-4.8379439498913044e-05
2017-12,-0.005094038409726387,both,2,-0.05665249937751315,-0.0005172237467584824
2018-01,-0.04630716929202662,both,2,-0.020660045807898545,-0.0003316476169449424
2018-02,-0.08333162874754471,both,2,-0.032551803473771825,0.0011635181213679859
2018-03,-0.020676189494091113,both,2,-0.026080104028363162,0.0003782621451182985
2018-04,0.04266984645269917,both,2,-0.022978499429617563,0.0001550470007475776
2018-05,0.08689340043827737,both,2,-0.013923825996536828,0.0008830211338696163
2018-06,0.06732067846110559,both,2,-0.0013469654158717159,0.002282594409116858
2018-07,0.044434735022261806,both,2,-0.014129076993449627,0.000716201722958537
2018-08,0.15435957094868877,both,2,-0.012142160584824131,0.0010652411168936696
2018-09,0.12893485718821007,both,2,-0.030788220598010868,-0.00010753109351170847
2018-10,0.05556400160076075,both,2,-0.02796147170010918,0.0002576000560152367
2018-11,-0.07691313266632088,both,2,-0.06810792069187767,0.00024373945991195764
2018-12,-0.07572858009490893,both,2,-0.06543946617486614,0.0008774397608032983
2019-01,-0.0027999372663727873,both,2,-0.06609541042210919,-5.0683238360868006e-05
2019-02,0.02466317424122494,both,2,-0.0823189568375321,-0.0008791006501224674
2019-03,0.004837194979398607,both,2,-0.08876359729494444,-9.233551272891376e-07
2010-01,0.0804723256049808,own,3,,
2010-02,-0.13971734309758443,own,3,,
2010-03,-0.25653519468922537,own,3,,
2010-04,-0.2585329307640696,own,3,,
2010-05,-0.06968771336887185,own,3,,
2010-06,0.02062932658210019,own,3,,
2010-07,0.04436414646667878,own,3,,
2010-08,0.018901952520730528,own,3,,
2010-09,0.0019118309203175615,own,3,,
2010-10,0.014986790595872851,own,3,,
2010-11,0.07012491537706567,own,3,,
2010-12,0.099485034776073,own,3,,
2011-01,0.07704977168218995,own,3,,
2011-02,0.0013353437926719725,own,3,,
2011-03,-0.06503456362478144,own,3,,
2011-04,-0.06985535060429211,own,3,,
2011-05,-0.03553843925773509,own,3,,
2011-06,0.012222757992244898,own,3,,
2011-07,0.028835592174351415,own,3,,
2011-08,0.0028661642277841848,own,3,,
2011-09,0.008741928001254583,own,3,,
2011-10,0.036737482538566596,own,3,,
2011-11,0.10280464262656956,own,3,,
2011-12,0.13804085221051313,own,3,,
2012-01,0.09652343076300218,own,3,,
2012-02,0.015676784330355225,own,3,,
2012-03,-0.021374775183405026,own,3,,
2012-04,-0.04527306307374675,own,3,,
2012-05,-0.01853807647728798,own,3,,
2012-06,-0.02101778378390163,own,3,,
2012-07,0.0184349774467528,own,3,,
2012-08,-0.06408391603182348,own,3,,
2012-09,-0.10849077902783472,own,3,,
2012-10,-0.0824689768007342,own,3,,
2012-11,0.020831791837620496,own,3,,
2012-12,0.04052587732714671,own,3,,
2013-01,-0.01537435582276215,own,3,,
2013-02,-0.026097122564099344,own,3,,
2013-03,0.03308812897863598,own,3,,
2013-04,0.035767962153772814,own,3,,
2013-05,0.016608937516510585,own,3,,
2013-06,-0.06962670282389297,own,3,,
2013-07,-0.05865231418517712,own,3,,
2013-08,-0.09280586041242743,own,3,,
2013-09,-0.05214854688237168,own,3,,
2013-10,-0.02305554929584741,own,3,,
2013-11,0.07039133601197023,own,3,,
2013-12,0.09513164748015118,own,3,,
2014-01,0.11390564534823866,own,3,,
2014-02,0.05851531662645733,own,3,,
2014-03,0.08843069369475806,own,3,,
2014-04,0.07723644793753562,own,3,,
2014-05,0.09738083178267477,own,3,,
2014-06,0.04679706111745721,own,3,,
2014-07,0.07926060278709263,own,3,,
2014-08,0.0011355973517482298,own,3,,
2014-09,0.022539528435792933,own,3,,
2014-10,-0.05297966365693435,own,3,,
2014-11,0.018573975029041706,own,3,,
2014-12,0.010137254505156928,own,3,,
2015-01,0.05463173604340252,own,3,,
2015-02,0.05737947716924505,own,3,,
2015-03,0.053785606881321224,own,3,,
2015-04,-0.045011179043335604,own,3,,
2015-05,-0.04381790374126475,own,3,,
2015-06,-0.030471190407261345,own,3,,
2015-07,0.0632040130704818,own,3,,
2015-08,0.0170096209123608,own,3,,
2015-09,-0.008357456309033826,own,3,,
2015-10,-0.0156504693643474,own,3,,
2015-11,0.03246259468554544,own,3,,
2015-12,0.032660972951976314,own,3,,
