period,a6_11,a6_12,a6_13,a6_14,a6_18,a6_20,a6_22,a6_23,a6_25,a6_26,a6_29,a6_32,a6_36,a6_38,a6_43,a6_44,a6_45,a6_46,a6_47,a6_48,a6_49,a6_53,a6_54,a6_55,a6_56,a6_57,a6_58,a6_59,a6_60,a6_61,a6_64,a6_65,a6_66,a6_69,a6_70,a6_72
2014-08,6.145223004512531,86.23601654,,0.5134805967414463,103.8,1.4,,0.0010035123772400567,1143.0,,0.5,28.8,-2.5999999999999996,-30.2,,0.0,,,,,,1.3828486759440108,0.35,0.05,-0.01187136678088585,-0.011715430192722032,-0.0003695431028241103,0.003446411671692573,103.39571428571428,0.026444735443651446,,24.632380952380952,104.3704761904762,2.09517290109577,1.9663475190219888,20.3
2014-09,6.047306182919408,87.37948156,,0.5654532952525756,102.5,-0.3,,0.0,19086.0,,0.5,28.8,0.9000000000000004,-28.0,,0.0,,,,,,1.213001053376632,0.35,0.05,0.002324994729414165,0.002997171583707825,-0.0005837889187496614,0.005038750541448422,98.57,0.0029290567952835467,,24.704636363636368,100.8659090909091,2.056340047333906,1.9673175427467744,17.2
2014-10,5.972201057222634,86.50441941,,0.4797246626322665,102.4,1.7,,-0.004020105916665351,12171.0,,-0.7,29.9,3.0,-29.8,,-0.319488817891389,,,,,,1.096739946788441,0.35,0.05,-0.0010102031367233977,0.0012184991815020751,0.014583566263308256,0.00412222406951912,88.0495652173913,-0.04286333422904365,,23.668086956521737,90.54695652173912,2.007692307692308,1.907692307692308,15.6
2014-11,5.9070547165694975,87.27963694,,0.4643928268287237,102.3,0.8,,0.0,10249.0,,-0.5,31.0,-5.5,-27.0,,-0.3208556149732589,,,,,,0.8694501357550372,0.34,0.05,-0.0038481060143524815,-0.002327515597708718,0.005508174519938791,0.0031893694513769333,79.62899999999999,-0.018263424209064016,,23.23975,84.25199999999998,2.0363636363636366,1.7272727272727273,9.5
2014-12,5.894294312733461,89.33719806,96.24833997343958,0.4502494647464242,103.0,2.7,,0.0010065426114014286,-5602.0,,1.4000000000000001,32.6,4.0,-24.4,,-1.5923566878980888,,,,,,0.6673461003273412,0.34,0.05,0.0015207586445864507,0.006304981895432604,0.006324516251520862,0.00537719528867342,63.26636363636364,-0.041513437410172216,,22.29473913043478,71.92869565217391,1.977367458931324,1.5181803026378886,14.1
2015-01,5.9318513822243295,87.47603236,102.94979488181286,0.6247266316075677,104.1,3.2,,-0.013164747091210849,20140.717591,-0.2000000000000028,-1.6,31.9,0.3000000000000007,-22.7,,-3.688092729188619,,,,,,0.3498786036464146,0.33,0.05,-0.020676273934340017,-0.01701458894180785,0.004844340061644914,0.0009855680314849735,49.75809523809523,-0.1004566241662026,,20.163904761904764,62.71863636363637,1.975,1.525,9.6
2015-02,5.954360948930341,88.57838333,102.43592074168332,0.9874211717865218,104.6,2.7,,0.009132483563272231,16978.096856,-0.4000000000000057,-0.20000000000000007,29.2,0.1999999999999993,-24.0,-9.200000000000005,-3.5,-0.0009995003330827146,-0.0010025063496259534,0.0,0.0,0.0,0.3964170505676269,0.33,0.05,-0.0027963355179805305,-0.0007854137851159848,0.004766225787982137,0.0011469648237820707,58.795,0.094527862728218,,22.16295,68.47,2.0045736789214343,1.4062016348687685,14.0
2015-03,5.962240772089285,89.11769312,94.87686226816662,1.3720417634296802,106.3,2.0,,0.00704582683320254,15998.411485,0.2999999999999971,3.0,25.6,-0.40000000000000036,-21.7,-8.799999999999997,-3.5999999999999943,0.004987541511038529,-0.008056438339125727,0.0010045204260054064,0.0,0.0,0.3496436131286621,0.31,0.05,-0.0018685773110522774,-0.0023599494011774524,0.0008953404389693276,0.004684688961887673,56.93863636363636,-0.019993873817958807,,21.724227272727276,65.38909090909091,1.9355477012426427,1.4074829417652863,18.4
2015-04,5.828274513818102,90.08551341,104.69483568075115,1.658697520504055,106.6,2.5,,0.005002511682971722,13558.358019,1.0,1.0000000000000004,26.0,4.6,-17.4,-9.900000000000006,-2.9000000000000057,0.003972199860433179,0.0030287756621607542,0.0010035123772400567,0.0,0.0,0.2586504052298409,0.31,0.05,0.005801922616107902,0.003481780346740848,0.00763901300553016,0.003807330841045342,61.13571428571428,0.001530423736771258,,21.7575,67.36454545454545,1.917429961118959,1.4132873017401442,18.9
2015-05,5.639337820158931,89.81551717,105.51814988290398,1.6052168956111474,106.6,5.8,,0.0039840690148746916,7673.18813,-0.4000000000000057,-0.7000000000000002,29.1,0.3999999999999986,-16.0,-10.0,-2.5999999999999943,0.003956483895073859,0.010030174359936694,0.0010025063496259534,0.0,0.0,0.6007492281256783,0.31,0.05,-0.00217177809132707,-0.0037068281703529493,0.01112393191530714,0.005490863726929973,65.60857142857142,-0.009582709131774614,,21.550000000000004,69.8942857142857,1.9549297078953085,1.4720880024973249,21.5
