archive,section,code,description,kind
main_indicators_sa_nace2.zip,Answers,BS,Balance seasonally adjusted (s.a),catalog
main_indicators_sa_nace2.zip,Frequency,M,Monthly,catalog
retail_total_nsa_nace2.zip,Countries,EU,European Union (current composition),catalog
retail_total_nsa_nace2.zip,Countries,EA,Euro area,catalog
retail_total_nsa_nace2.zip,Countries,BE,Belgium,catalog
retail_total_nsa_nace2.zip,Countries,BG,Bulgaria,catalog
retail_total_nsa_nace2.zip,Countries,CZ,Czechia,catalog
retail_total_nsa_nace2.zip,Countries,DK,Denmark,catalog
retail_total_nsa_nace2.zip,Countries,DE,Germany,catalog
retail_total_nsa_nace2.zip,Countries,EE,Estonia,catalog
retail_total_nsa_nace2.zip,Countries,IE,Ireland,catalog
retail_total_nsa_nace2.zip,Countries,EL,Greece,catalog
retail_total_nsa_nace2.zip,Countries,ES,Spain,catalog
retail_total_nsa_nace2.zip,Countries,FR,France,catalog
retail_total_nsa_nace2.zip,Countries,HR,Croatia,catalog
retail_total_nsa_nace2.zip,Countries,IT,Italy,catalog
retail_total_nsa_nace2.zip,Countries,CY,Cyprus,catalog
retail_total_nsa_nace2.zip,Countries,LV,Latvia,catalog
retail_total_nsa_nace2.zip,Countries,LT,Lithuania,catalog
retail_total_nsa_nace2.zip,Countries,LU,Luxembourg,catalog
retail_total_nsa_nace2.zip,Countries,HU,Hungary,catalog
retail_total_nsa_nace2.zip,Countries,MT,Malta,catalog
retail_total_nsa_nace2.zip,Countries,NL,Netherlands,catalog
retail_total_nsa_nace2.zip,Countries,AT,Austria,catalog
retail_total_nsa_nace2.zip,Countries,PL,Poland,catalog
retail_total_nsa_nace2.zip,Countries,PT,Portugal,catalog
retail_total_nsa_nace2.zip,Countries,RO,Romania,catalog
retail_total_nsa_nace2.zip,Countries,SI,Slovenia,catalog
retail_total_nsa_nace2.zip,Countries,SK,Slovak Republic,catalog
retail_total_nsa_nace2.zip,Countries,FI,Finland,catalog
retail_total_nsa_nace2.zip,Countries,SE,Sweden,catalog
retail_total_nsa_nace2.zip,Countries,UK,United Kingdom,catalog
retail_total_nsa_nace2.zip,Countries,ME,Montenegro,catalog
retail_total_nsa_nace2.zip,Countries,MK,North Macedonia,catalog
retail_total_nsa_nace2.zip,Countries,AL,Albania,catalog
retail_total_nsa_nace2.zip,Countries,RS,Serbia,catalog
retail_total_nsa_nace2.zip,Countries,TR,Türkiye,catalog
retail_total_nsa_nace2.zip,Retail trade sub-sectors,TOT,TOTAL of retail trade,catalog
retail_total_nsa_nace2.zip,Retail trade sub-sectors,The exact wording of the questions can be found in the User Guide available on our main web page ▬►,User Guide,catalog
retail_total_nsa_nace2.zip,Monthly Questions,COF,Confidence Indicator (Q1 - Q2 + Q4) / 3,catalog
retail_total_nsa_nace2.zip,Monthly Questions,1,Business activity (sales) development over the past 3 months,catalog
retail_total_nsa_nace2.zip,Monthly Questions,2,Volume of stock currently hold,catalog
retail_total_nsa_nace2.zip,Monthly Questions,3,Orders expectations over the next 3 months,catalog
retail_total_nsa_nace2.zip,Monthly Questions,4,Business activity expectations over the next 3 months,catalog
retail_total_nsa_nace2.zip,Monthly Questions,5,Employment expectations over the next 3 months,catalog
retail_total_nsa_nace2.zip,Monthly Questions,6,Prices expectations over the next 3 months,catalog
retail_total_nsa_nace2.zip,Answers,B,Balance not seasonally adjusted (not s.a),catalog
retail_total_nsa_nace2.zip,Frequency,M,Monthly,catalog
retail_total_nsa_nace2.zip,Frequency,Q,Quarterly,catalog
retail_total_sa_nace2.zip,Countries,EU,European Union (current composition),catalog
retail_total_sa_nace2.zip,Countries,EA,Euro area,catalog
retail_total_sa_nace2.zip,Countries,BE,Belgium,catalog
retail_total_sa_nace2.zip,Countries,BG,Bulgaria,catalog
retail_total_sa_nace2.zip,Countries,CZ,Czechia,catalog
retail_total_sa_nace2.zip,Countries,DK,Denmark,catalog
retail_total_sa_nace2.zip,Countries,DE,Germany,catalog
retail_total_sa_nace2.zip,Countries,EE,Estonia,catalog
retail_total_sa_nace2.zip,Countries,IE,Ireland,catalog
retail_total_sa_nace2.zip,Countries,EL,Greece,catalog
retail_total_sa_nace2.zip,Countries,ES,Spain,catalog
retail_total_sa_nace2.zip,Countries,FR,France,catalog
retail_total_sa_nace2.zip,Countries,HR,Croatia,catalog
retail_total_sa_nace2.zip,Countries,IT,Italy,catalog
retail_total_sa_nace2.zip,Countries,CY,Cyprus,catalog
retail_total_sa_nace2.zip,Countries,LV,Latvia,catalog
retail_total_sa_nace2.zip,Countries,LT,Lithuania,catalog
retail_total_sa_nace2.zip,Countries,LU,Luxembourg,catalog
retail_total_sa_nace2.zip,Countries,HU,Hungary,catalog
retail_total_sa_nace2.zip,Countries,MT,Malta,catalog
retail_total_sa_nace2.zip,Countries,NL,Netherlands,catalog
retail_total_sa_nace2.zip,Countries,AT,Austria,catalog
retail_total_sa_nace2.zip,Countries,PL,Poland,catalog
retail_total_sa_nace2.zip,Countries,PT,Portugal,catalog
retail_total_sa_nace2.zip,Countries,RO,Romania,catalog
retail_total_sa_nace2.zip,Countries,SI,Slovenia,catalog
retail_total_sa_nace2.zip,Countries,SK,Slovak Republic,catalog
retail_total_sa_nace2.zip,Countries,FI,Finland,catalog
retail_total_sa_nace2.zip,Countries,SE,Sweden,catalog
retail_total_sa_nace2.zip,Countries,UK,United Kingdom,catalog
retail_total_sa_nace2.zip,Countries,ME,Montenegro,catalog
retail_total_sa_nace2.zip,Countries,MK,North Macedonia,catalog
retail_total_sa_nace2.zip,Countries,AL,Albania,catalog
retail_total_sa_nace2.zip,Countries,RS,Serbia,catalog
retail_total_sa_nace2.zip,Countries,TR,Türkiye,catalog
retail_total_sa_nace2.zip,Countries,EU_2019,European Union without United Kingdom,catalog
retail_total_sa_nace2.zip,Countries,EU28,European Union with United Kingdom,catalog
retail_total_sa_nace2.zip,Retail trade sub-sectors,TOT,TOTAL of retail trade,catalog
retail_total_sa_nace2.zip,Retail trade sub-sectors,The exact wording of the questions can be found in the User Guide available on our main web page ▬►,User Guide,catalog
retail_total_sa_nace2.zip,Monthly Questions,COF,Confidence Indicator (Q1 - Q2 + Q4) / 3,catalog
retail_total_sa_nace2.zip,Monthly Questions,1,Business activity (sales) development over the past 3 months,catalog
retail_total_sa_nace2.zip,Monthly Questions,2,Volume of stock currently hold,catalog
retail_total_sa_nace2.zip,Monthly Questions,3,Orders expectations over the next 3 months,catalog
retail_total_sa_nace2.zip,Monthly Questions,4,Business activity expectations over the next 3 months,catalog
retail_total_sa_nace2.zip,Monthly Questions,5,Employment expectations over the next 3 months,catalog
retail_total_sa_nace2.zip,Monthly Questions,6,Prices expectations over the next 3 months,catalog
retail_total_sa_nace2.zip,Answers,BS,Balance seasonally adjusted (s.a),catalog
retail_total_sa_nace2.zip,Frequency,M,Monthly,catalog
services_total_nsa_nace2.zip,Countries,EU,European Union (current composition),catalog
services_total_nsa_nace2.zip,Countries,EA,Euro area,catalog
services_total_nsa_nace2.zip,Countries,BE,Belgium,catalog
services_total_nsa_nace2.zip,Countries,BG,Bulgaria,catalog
services_total_nsa_nace2.zip,Countries,CZ,Czechia,catalog
services_total_nsa_nace2.zip,Countries,DK,Denmark,catalog
services_total_nsa_nace2.zip,Countries,DE,Germany,catalog
services_total_nsa_nace2.zip,Countries,EE,Estonia,catalog
services_total_nsa_nace2.zip,Countries,IE,Ireland,catalog
services_total_nsa_nace2.zip,Countries,EL,Greece,catalog
services_total_nsa_nace2.zip,Countries,ES,Spain,catalog
services_total_nsa_nace2.zip,Countries,FR,France,catalog
services_total_nsa_nace2.zip,Countries,HR,Croatia,catalog
services_total_nsa_nace2.zip,Countries,IT,Italy,catalog
services_total_nsa_nace2.zip,Countries,CY,Cyprus,catalog
services_total_nsa_nace2.zip,Countries,LV,Latvia,catalog
services_total_nsa_nace2.zip,Countries,LT,Lithuania,catalog
services_total_nsa_nace2.zip,Countries,LU,Luxembourg,catalog
services_total_nsa_nace2.zip,Countries,HU,Hungary,catalog
services_total_nsa_nace2.zip,Countries,MT,Malta,catalog
services_total_nsa_nace2.zip,Countries,NL,Netherlands,catalog
services_total_nsa_nace2.zip,Countries,AT,Austria,catalog
services_total_nsa_nace2.zip,Countries,PL,Poland,catalog
services_total_nsa_nace2.zip,Countries,PT,Portugal,catalog
services_total_nsa_nace2.zip,Countries,RO,Romania,catalog
services_total_nsa_nace2.zip,Countries,SI,Slovenia,catalog
services_total_nsa_nace2.zip,Countries,SK,Slovak Republic,catalog
services_total_nsa_nace2.zip,Countries,FI,Finland,catalog
services_total_nsa_nace2.zip,Countries,SE,Sweden,catalog
services_total_nsa_nace2.zip,Countries,UK,United Kingdom,catalog
services_total_nsa_nace2.zip,Countries,ME,Montenegro,catalog
services_total_nsa_nace2.zip,Countries,MK,North Macedonia,catalog
services_total_nsa_nace2.zip,Countries,AL,Albania,catalog
services_total_nsa_nace2.zip,Countries,RS,Serbia,catalog
services_total_nsa_nace2.zip,Countries,TR,Türkiye,catalog
services_total_nsa_nace2.zip,Services sub-sectors,TOT,TOTAL Services,catalog
services_total_nsa_nace2.zip,Services sub-sectors,The exact wording of the questions can be found in the User Guide available on our main web page ▬►,User Guide,catalog
services_total_nsa_nace2.zip,Monthly Questions,COF,Confidence Indicator (Q1 + Q2 + Q3) / 3,catalog
services_total_nsa_nace2.zip,Monthly Questions,1,Business situation development over the past 3 months,catalog
services_total_nsa_nace2.zip,Monthly Questions,2,Evolution of the demand over the past 3 months,catalog
services_total_nsa_nace2.zip,Monthly Questions,3,Expectation of the demand over the next 3 months,catalog
services_total_nsa_nace2.zip,Monthly Questions,5,Expectations of the employment over the next 3 months,catalog
services_total_nsa_nace2.zip,Monthly Questions,6,Expectations of the prices over the next 3 months,catalog
services_total_nsa_nace2.zip,Quarterly Questions,7,Factors limiting the business,catalog
services_total_nsa_nace2.zip,Quarterly Questions,8,Current level of capacity utilization,catalog
services_total_nsa_nace2.zip,Answers,B,Balance not seasonally adjusted (n.s.a),catalog
services_total_nsa_nace2.zip,Answers,F1,None (% n.s.a - quarterly question 7),catalog
services_total_nsa_nace2.zip,Answers,F2,Demand (% n.s.a - quarterly question 7),catalog
services_total_nsa_nace2.zip,Answers,F3,Labour (% n.s.a - quarterly question 7),catalog
services_total_nsa_nace2.zip,Answers,F4,Equipment (% n.s.a - quarterly question 7),catalog
services_total_nsa_nace2.zip,Answers,F5,Financial (% n.s.a - quarterly question 7),catalog
services_total_nsa_nace2.zip,Answers,F6,Other (% n.s.a - quarterly question 7),catalog
services_total_nsa_nace2.zip,Answers,QP,% (n.s.a - quarterly question 8),catalog
services_total_nsa_nace2.zip,Frequency,M,Monthly,catalog
services_total_nsa_nace2.zip,Frequency,Q,Quarterly,catalog
services_total_sa_nace2.zip,Countries,EU,European Union (current composition),catalog
services_total_sa_nace2.zip,Countries,EA,Euro area,catalog
services_total_sa_nace2.zip,Countries,BE,Belgium,catalog
services_total_sa_nace2.zip,Countries,BG,Bulgaria,catalog
services_total_sa_nace2.zip,Countries,CZ,Czechia,catalog
services_total_sa_nace2.zip,Countries,DK,Denmark,catalog
services_total_sa_nace2.zip,Countries,DE,Germany,catalog
services_total_sa_nace2.zip,Countries,EE,Estonia,catalog
services_total_sa_nace2.zip,Countries,IE,Ireland,catalog
services_total_sa_nace2.zip,Countries,EL,Greece,catalog
services_total_sa_nace2.zip,Countries,ES,Spain,catalog
services_total_sa_nace2.zip,Countries,FR,France,catalog
services_total_sa_nace2.zip,Countries,HR,Croatia,catalog
services_total_sa_nace2.zip,Countries,IT,Italy,catalog
services_total_sa_nace2.zip,Countries,CY,Cyprus,catalog
services_total_sa_nace2.zip,Countries,LV,Latvia,catalog
services_total_sa_nace2.zip,Countries,LT,Lithuania,catalog
services_total_sa_nace2.zip,Countries,LU,Luxembourg,catalog
services_total_sa_nace2.zip,Countries,HU,Hungary,catalog
services_total_sa_nace2.zip,Countries,MT,Malta,catalog
services_total_sa_nace2.zip,Countries,NL,Netherlands,catalog
services_total_sa_nace2.zip,Countries,AT,Austria,catalog
services_total_sa_nace2.zip,Countries,PL,Poland,catalog
services_total_sa_nace2.zip,Countries,PT,Portugal,catalog
services_total_sa_nace2.zip,Countries,RO,Romania,catalog
services_total_sa_nace2.zip,Countries,SI,Slovenia,catalog
services_total_sa_nace2.zip,Countries,SK,Slovak Republic,catalog
services_total_sa_nace2.zip,Countries,FI,Finland,catalog
services_total_sa_nace2.zip,Countries,SE,Sweden,catalog
services_total_sa_nace2.zip,Countries,UK,United Kingdom,catalog
services_total_sa_nace2.zip,Countries,ME,Montenegro,catalog
services_total_sa_nace2.zip,Countries,MK,North Macedonia,catalog
services_total_sa_nace2.zip,Countries,AL,Albania,catalog
services_total_sa_nace2.zip,Countries,RS,Serbia,catalog
services_total_sa_nace2.zip,Countries,TR,Türkiye,catalog
services_total_sa_nace2.zip,Services sub-sectors,TOT,TOTAL Services,catalog
services_total_sa_nace2.zip,Services sub-sectors,The exact wording of the questions can be found in the User Guide available on our main web page ▬►,User Guide,catalog
services_total_sa_nace2.zip,Monthly Questions,COF,Confidence Indicator (Q1 + Q2 + Q3) / 3,catalog
services_total_sa_nace2.zip,Monthly Questions,1,Business situation development over the past 3 months,catalog
services_total_sa_nace2.zip,Monthly Questions,2,Evolution of the demand over the past 3 months,catalog
services_total_sa_nace2.zip,Monthly Questions,3,Expectation of the demand over the next 3 months,catalog
services_total_sa_nace2.zip,Monthly Questions,5,Expectations of the employment over the next 3 months,catalog
services_total_sa_nace2.zip,Monthly Questions,6,Expectations of the prices over the next 3 months,catalog
services_total_sa_nace2.zip,Quarterly Questions,7,Factors limiting the business,catalog
services_total_sa_nace2.zip,Quarterly Questions,8,Current level of capacity utilization,catalog
services_total_sa_nace2.zip,Answers,BS,Balance seasonally adjusted (s.a),catalog
services_total_sa_nace2.zip,Answers,F1S,None (% s.a. - quarterly question 7),catalog
services_total_sa_nace2.zip,Answers,F2S,Demand (% s.a. - quarterly question 7),catalog
services_total_sa_nace2.zip,Answers,F3S,Labour forces (% s.a. - quarterly question 7),catalog
services_total_sa_nace2.zip,Answers,F4S,Equipment and/or Space (% s.a. - quarterly question 7),catalog
services_total_sa_nace2.zip,Answers,F5S,Financial (% s.a. - quarterly question 7),catalog
services_total_sa_nace2.zip,Answers,F6S,Other (% s.a. - quarterly question 7),catalog
services_total_sa_nace2.zip,Answers,QPS,% (s.a - quarterly question 8),catalog
services_total_sa_nace2.zip,Frequency,M,Monthly,catalog
services_total_sa_nace2.zip,Frequency,Q,Quarterly,catalog
