origin,as_of,model,status,n_train
2021-11,2021-12-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,73
2021-11,2021-12-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,73
2021-11,2021-12-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,73
2021-11,2021-12-09T22:59:00+00:00,JOINT_ENET_R22,estimated,73
2021-11,2021-12-09T22:59:00+00:00,JOINT_RF_R22,estimated,73
2021-11,2021-12-09T22:59:00+00:00,JOINT_HALF_R22,estimated,73
2021-12,2022-01-11T22:59:00+00:00,JOINT_OWN_R22,estimated,75
2021-12,2022-01-11T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,75
2021-12,2022-01-11T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,75
2021-12,2022-01-11T22:59:00+00:00,JOINT_LINEAR_R22,estimated,75
2021-12,2022-01-11T22:59:00+00:00,JOINT_ENET_R22,estimated,75
2021-12,2022-01-11T22:59:00+00:00,JOINT_RF_R22,estimated,75
2021-12,2022-01-11T22:59:00+00:00,JOINT_HALF_R22,estimated,75
2022-01,2022-02-13T22:59:00+00:00,JOINT_OWN_R22,estimated,76
2022-01,2022-02-13T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,76
2022-01,2022-02-13T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,76
2022-01,2022-02-13T22:59:00+00:00,JOINT_LINEAR_R22,estimated,76
2022-01,2022-02-13T22:59:00+00:00,JOINT_ENET_R22,estimated,76
2022-01,2022-02-13T22:59:00+00:00,JOINT_RF_R22,estimated,76
2022-01,2022-02-13T22:59:00+00:00,JOINT_HALF_R22,estimated,76
2022-02,2022-03-09T22:59:00+00:00,JOINT_OWN_R22,estimated,76
2022-02,2022-03-09T22:59:00+00:00,JOINT_DOMESTIC_R22,estimated,76
2022-02,2022-03-09T22:59:00+00:00,JOINT_IMPORTED_R22,estimated,76
2022-02,2022-03-09T22:59:00+00:00,JOINT_LINEAR_R22,estimated,76
2022-02,2022-03-09T22:59:00+00:00,JOINT_ENET_R22,estimated,76
2022-02,2022-03-09T22:59:00+00:00,JOINT_RF_R22,estimated,76
2022-02,2022-03-09T22:59:00+00:00,JOINT_HALF_R22,estimated,76
2022-03,2022-04-10T21:59:00+00:00,JOINT_OWN_R22,estimated,78
2022-03,2022-04-10T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,78
2022-03,2022-04-10T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,78
2022-03,2022-04-10T21:59:00+00:00,JOINT_LINEAR_R22,estimated,78
2022-03,2022-04-10T21:59:00+00:00,JOINT_ENET_R22,estimated,78
2022-03,2022-04-10T21:59:00+00:00,JOINT_RF_R22,estimated,78
2022-03,2022-04-10T21:59:00+00:00,JOINT_HALF_R22,estimated,78
2022-04,2022-05-09T21:59:00+00:00,JOINT_OWN_R22,estimated,79
2022-04,2022-05-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,79
2022-04,2022-05-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,79
2022-04,2022-05-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,79
2022-04,2022-05-09T21:59:00+00:00,JOINT_ENET_R22,estimated,79
2022-04,2022-05-09T21:59:00+00:00,JOINT_RF_R22,estimated,79
2022-04,2022-05-09T21:59:00+00:00,JOINT_HALF_R22,estimated,79
2022-05,2022-06-09T21:59:00+00:00,JOINT_OWN_R22,estimated,79
2022-05,2022-06-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,79
2022-05,2022-06-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,79
2022-05,2022-06-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,79
2022-05,2022-06-09T21:59:00+00:00,JOINT_ENET_R22,estimated,79
2022-05,2022-06-09T21:59:00+00:00,JOINT_RF_R22,estimated,79
2022-05,2022-06-09T21:59:00+00:00,JOINT_HALF_R22,estimated,79
2022-06,2022-07-12T21:59:00+00:00,JOINT_OWN_R22,estimated,81
2022-06,2022-07-12T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,81
2022-06,2022-07-12T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,81
2022-06,2022-07-12T21:59:00+00:00,JOINT_LINEAR_R22,estimated,81
2022-06,2022-07-12T21:59:00+00:00,JOINT_ENET_R22,estimated,81
2022-06,2022-07-12T21:59:00+00:00,JOINT_RF_R22,estimated,81
2022-06,2022-07-12T21:59:00+00:00,JOINT_HALF_R22,estimated,81
2022-07,2022-08-09T21:59:00+00:00,JOINT_OWN_R22,estimated,82
2022-07,2022-08-09T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,82
2022-07,2022-08-09T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,82
2022-07,2022-08-09T21:59:00+00:00,JOINT_LINEAR_R22,estimated,82
2022-07,2022-08-09T21:59:00+00:00,JOINT_ENET_R22,estimated,82
2022-07,2022-08-09T21:59:00+00:00,JOINT_RF_R22,estimated,82
2022-07,2022-08-09T21:59:00+00:00,JOINT_HALF_R22,estimated,82
2022-08,2022-09-11T21:59:00+00:00,JOINT_OWN_R22,estimated,82
2022-08,2022-09-11T21:59:00+00:00,JOINT_DOMESTIC_R22,estimated,82
2022-08,2022-09-11T21:59:00+00:00,JOINT_IMPORTED_R22,estimated,82
2022-08,2022-09-11T21:59:00+00:00,JOINT_LINEAR_R22,estimated,82
2022-08,2022-09-11T21:59:00+00:00,JOINT_ENET_R22,estimated,82
2022-08,2022-09-11T21:59:00+00:00,JOINT_RF_R22,estimated,82
