origin,model,status,n_pool
2023-01,FUEL_ANNUAL_R17,estimated,35
2023-02,FUEL_ANNUAL_R17,estimated,36
2023-03,FUEL_ANNUAL_R17,estimated,37
2023-04,FUEL_ANNUAL_R17,estimated,38
2023-05,FUEL_ANNUAL_R17,estimated,39
2023-06,FUEL_ANNUAL_R17,estimated,40
2023-07,FUEL_ANNUAL_R17,estimated,41
2023-08,FUEL_ANNUAL_R17,estimated,42
2023-09,FUEL_ANNUAL_R17,estimated,43
2023-10,FUEL_ANNUAL_R17,estimated,44
2023-11,FUEL_ANNUAL_R17,estimated,45
2023-12,FUEL_ANNUAL_R17,estimated,46
2024-01,FUEL_ANNUAL_R17,estimated,47
2024-02,FUEL_ANNUAL_R17,estimated,48
2024-03,FUEL_ANNUAL_R17,estimated,49
2024-04,FUEL_ANNUAL_R17,estimated,50
2024-05,FUEL_ANNUAL_R17,estimated,51
2024-06,FUEL_ANNUAL_R17,estimated,52
2024-07,FUEL_ANNUAL_R17,estimated,53
2024-08,FUEL_ANNUAL_R17,estimated,54
2024-09,FUEL_ANNUAL_R17,estimated,55
2024-10,FUEL_ANNUAL_R17,estimated,56
2024-11,FUEL_ANNUAL_R17,estimated,57
2024-12,FUEL_ANNUAL_R17,estimated,58
2025-01,FUEL_ANNUAL_R17,estimated,59
2025-02,FUEL_ANNUAL_R17,estimated,60
2025-03,FUEL_ANNUAL_R17,estimated,60
2025-04,FUEL_ANNUAL_R17,estimated,60
2025-05,FUEL_ANNUAL_R17,estimated,60
2025-06,FUEL_ANNUAL_R17,estimated,60
2025-07,FUEL_ANNUAL_R17,estimated,60
2025-08,FUEL_ANNUAL_R17,estimated,60
2025-09,FUEL_ANNUAL_R17,estimated,60
2025-10,FUEL_ANNUAL_R17,estimated,60
2025-11,FUEL_ANNUAL_R17,estimated,60
2025-12,FUEL_ANNUAL_R17,estimated,60
2026-01,FUEL_ANNUAL_R17,estimated,60
2026-02,FUEL_ANNUAL_R17,estimated,60
2026-03,FUEL_ANNUAL_R17,estimated,60
2026-04,FUEL_ANNUAL_R17,estimated,60
2026-05,FUEL_ANNUAL_R17,estimated,60
2026-06,FUEL_ANNUAL_R17,estimated,60
2026-07,FUEL_ANNUAL_R17,estimated,60
2019-02,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-03,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-04,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-05,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-06,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-07,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-08,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-09,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-10,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-11,INDEPENDENT_BRIDGE,insufficient_pool,0
2019-12,INDEPENDENT_BRIDGE,insufficient_pool,0
2020-01,INDEPENDENT_BRIDGE,insufficient_pool,0
2020-02,INDEPENDENT_BRIDGE,insufficient_pool,0
2020-03,INDEPENDENT_BRIDGE,insufficient_pool,0
2020-04,INDEPENDENT_BRIDGE,insufficient_pool,0
2020-05,INDEPENDENT_BRIDGE,insufficient_pool,0
2020-06,INDEPENDENT_BRIDGE,insufficient_pool,1
2020-07,INDEPENDENT_BRIDGE,insufficient_pool,2
2020-08,INDEPENDENT_BRIDGE,insufficient_pool,3
2020-09,INDEPENDENT_BRIDGE,insufficient_pool,4
2020-10,INDEPENDENT_BRIDGE,insufficient_pool,5
2020-11,INDEPENDENT_BRIDGE,insufficient_pool,6
2020-12,INDEPENDENT_BRIDGE,insufficient_pool,7
2021-01,INDEPENDENT_BRIDGE,insufficient_pool,8
2021-02,INDEPENDENT_BRIDGE,insufficient_pool,9
2021-03,INDEPENDENT_BRIDGE,insufficient_pool,10
2021-04,INDEPENDENT_BRIDGE,insufficient_pool,11
2021-05,INDEPENDENT_BRIDGE,insufficient_pool,12
2021-06,INDEPENDENT_BRIDGE,insufficient_pool,13
2021-07,INDEPENDENT_BRIDGE,insufficient_pool,14
2021-08,INDEPENDENT_BRIDGE,insufficient_pool,15
2021-09,INDEPENDENT_BRIDGE,insufficient_pool,16
2021-10,INDEPENDENT_BRIDGE,insufficient_pool,17
2021-11,INDEPENDENT_BRIDGE,insufficient_pool,18
2021-12,INDEPENDENT_BRIDGE,insufficient_pool,19
2022-01,INDEPENDENT_BRIDGE,insufficient_pool,20
2022-02,INDEPENDENT_BRIDGE,insufficient_pool,21
2022-03,INDEPENDENT_BRIDGE,insufficient_pool,22
2022-04,INDEPENDENT_BRIDGE,insufficient_pool,23
2022-05,INDEPENDENT_BRIDGE,estimated,24
