"Ukazatel","IndicatorType","Týdny","CasT2","Území","Uz0","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena bez daní (Kč/tis. l)","7401"," 23. týden 2019","2019-W23","Česko","CZ","14105.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 24. týden 2019","2019-W24","Česko","CZ","13299.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 25. týden 2019","2019-W25","Česko","CZ","12997.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 26. týden 2019","2019-W26","Česko","CZ","13115.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 27. týden 2019","2019-W27","Česko","CZ","13346.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 28. týden 2019","2019-W28","Česko","CZ","13127.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 29. týden 2019","2019-W29","Česko","CZ","13259.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 30. týden 2019","2019-W30","Česko","CZ","13169.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 31. týden 2019","2019-W31","Česko","CZ","13209.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 32. týden 2019","2019-W32","Česko","CZ","13415.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 33. týden 2019","2019-W33","Česko","CZ","12960.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 34. týden 2019","2019-W34","Česko","CZ","12980.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 35. týden 2019","2019-W35","Česko","CZ","13220.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 36. týden 2019","2019-W36","Česko","CZ","13277.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 37. týden 2019","2019-W37","Česko","CZ","13392.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 38. týden 2019","2019-W38","Česko","CZ","13665.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 39. týden 2019","2019-W39","Česko","CZ","14207.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 40. týden 2019","2019-W40","Česko","CZ","14062.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 41. týden 2019","2019-W41","Česko","CZ","13840.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 42. týden 2019","2019-W42","Česko","CZ","13528.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 43. týden 2019","2019-W43","Česko","CZ","13522.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 44. týden 2019","2019-W44","Česko","CZ","13549.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 45. týden 2019","2019-W45","Česko","CZ","13669.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 46. týden 2019","2019-W46","Česko","CZ","13784.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 47. týden 2019","2019-W47","Česko","CZ","13735.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 48. týden 2019","2019-W48","Česko","CZ","13618.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 49. týden 2019","2019-W49","Česko","CZ","13641.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 50. týden 2019","2019-W50","Česko","CZ","13329.0","Kč/tis. l",""
"Průměrná cena bez daní (Kč/tis. l)","7401"," 51. týden 2019","2019-W51","Česko","CZ","13385.0","Kč/tis. l",""
