period,as_of_eve,as_of_utc,BASE,CATEGORY,HARD_HALF,HARD_FULL,STRICT_ALL_MONTH_ADDITIONS,candidate_effect_pp,applied_adjustment_pp,strict_eligible,status,reasons,event_ids,admin_forecast,admin_weight
2020-12,2021-01-12T23:59:00,2021-01-12T22:59:00+00:00,0.17439862975000198,0.14583699821241103,0.19002614785821642,0.20565366596643089,0.17439862975000198,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.15307903498289596
2021-01,2021-02-11T23:59:00,2021-02-11T22:59:00+00:00,0.82857905226955975,0.85647827641590435,0.89127325584519423,0.95396745942082883,0.82857905226955975,,0,False,baseline_january_preserved,Existing January overlap retained; baseline is not strict-vintage certified.,,1.3999999999999999,0.15318586644965609
2021-02,2021-03-09T23:59:00,2021-03-09T22:59:00+00:00,0.42877385474405422,0.36233460600092904,0.50982636146478566,0.59087886818551716,0.42877385474405422,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15185753754080361
2021-03,2021-04-12T23:59:00,2021-04-12T21:59:00+00:00,0.15191007441957335,0.13178900558100076,0.1480979520457448,0.14428582967191625,0.15191007441957335,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15273064954123231
2021-04,2021-05-10T23:59:00,2021-05-10T21:59:00+00:00,0.256026468736474,0.29993688652407546,0.28598810394052204,0.31594973914457003,0.256026468736474,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.15249019393693736
2021-05,2021-06-09T23:59:00,2021-06-09T21:59:00+00:00,0.5680138323904842,0.44912363071466627,0.58794204344228718,0.60787025449409027,0.5680138323904842,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.1531906035433637
2021-06,2021-07-12T23:59:00,2021-07-12T21:59:00+00:00,0.32966791792919869,0.29754769699430472,0.34652233787972408,0.36337675783024947,0.32966791792919869,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.050000000000000003,0.15349474685109149
2021-07,2021-08-09T23:59:00,2021-08-09T21:59:00+00:00,0.64455196788631364,0.67598817680073586,0.66972187830642149,0.69489178872652924,0.64455196788631364,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.050000000000000003,0.15343802395351799
2021-08,2021-09-09T23:59:00,2021-09-09T21:59:00+00:00,0.22450335235865432,0.18417642120718786,0.16642410398316554,0.10834485560767679,0.22450335235865432,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.14601685019714192
2021-09,2021-10-10T23:59:00,2021-10-10T21:59:00+00:00,-0.12400009742970602,-0.20383096704896131,-0.11789991145199891,-0.11179972547429179,-0.12400009742970602,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.14767642185138702
2021-10,2021-11-09T23:59:00,2021-11-09T22:59:00+00:00,0.72370522744179677,0.87749499825050048,0.79273889342264237,0.86177255940348796,0.72370522744179677,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.14892644889550521
2021-11,2021-12-09T23:59:00,2021-12-09T22:59:00+00:00,0.68234845142842038,0.67171783482414593,0.69825767559065932,0.71416689975289827,0.68234845142842038,,0,False,mapping_unavailable,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,vat_waiver_2021,0,0.14954570635123138
2021-12,2022-01-11T23:59:00,2022-01-11T22:59:00+00:00,0.77093896741703016,0.5278450690785419,0.87344160664528703,0.97594424587354389,0.77093896741703016,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.13756068406745325
2022-01,2022-02-13T23:59:00,2022-02-13T22:59:00+00:00,4.3781372269715337,4.2690056639061877,4.4201085255030099,4.462079824034487,4.3781372269715337,,0,False,baseline_january_preserved,Existing January overlap retained; baseline is not strict-vintage certified.,vat_waiver_2021;supplier_repricing_2022,23.576384747725886,0.13799561492131665
2022-02,2022-03-09T23:59:00,2022-03-09T22:59:00+00:00,0.86642540702841275,0.80936395327976274,0.94725536635804142,1.0280853256876701,0.86642540702841275,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.13799561492131665
2022-03,2022-04-10T23:59:00,2022-04-10T21:59:00+00:00,0.97407177738956485,1.1366007143931571,0.95993515362550708,0.9457985298614493,0.97407177738956485,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.13799561492131665
2022-04,2022-05-09T23:59:00,2022-05-09T21:59:00+00:00,0.74185855591334138,0.65045737218229494,0.81024809024068301,0.87863762456802463,0.74185855591334138,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.13799561492131665
2022-05,2022-06-09T23:59:00,2022-06-09T21:59:00+00:00,1.8273429935590184,1.4388336791718304,1.9288494818079149,2.0303559700568115,1.8273429935590184,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.14410179858308125
2022-06,2022-07-12T23:59:00,2022-07-12T21:59:00+00:00,1.3932606931984495,1.4022197523111859,1.5073680528003011,1.6214754124021524,1.3932606931984495,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.050000000000000003,0.14410441658110648
2022-07,2022-08-09T23:59:00,2022-08-09T21:59:00+00:00,1.4018402902822626,1.2429956530746749,1.5144143355557442,1.6269883808292258,1.4018402902822626,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.050000000000000003,0.14411443802689985
2022-08,2022-09-11T23:59:00,2022-09-11T21:59:00+00:00,0.63085265646772037,0.25437640168796055,0.67208210291776793,0.71331154936781549,0.63085265646772037,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.14399476049344909
2022-09,2022-10-10T23:59:00,2022-10-10T21:59:00+00:00,0.16209244464284336,-0.154337358603645,0.11496016188846969,0.06782787913409602,0.16209244464284336,,0,False,mapping_unavailable,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,unknown_supplier_repricing_2022-09,0.10000000000000001,0.14400276353404382
2022-10,2022-11-09T23:59:00,2022-11-09T22:59:00+00:00,1.1729476113272232,0.99464416331353711,1.1241974351095643,1.0754472588919051,1.1729476113272232,,0,False,mapping_unavailable,missing_cpi_total_expenditure_and_credit_spreading_base;missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline,saving_tariff;poze_waiver,0,0.14414963968798639
2022-11,2022-12-11T23:59:00,2022-12-11T22:59:00+00:00,0.7585158740889214,0.65108102026697245,0.78825283305288274,0.81798979201684396,0.7585158740889214,,0,False,mapping_unavailable,missing_dated_bills;missing_dated_household_exposure;missing_embedded_energy_baseline;missing_supplier_event,unknown_supplier_repricing_2022-11,0,0.15642523738539582
2022-12,2023-01-10T23:59:00,2023-01-10T22:59:00+00:00,0.047475065722731635,0.067349671906951458,0.090941422167735847,0.13440777861274006,0.047475065722731635,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0,0.15570622854288566
2023-01,2023-02-09T23:59:00,2023-02-09T22:59:00+00:00,4.8731484312435551,4.7391423077727453,4.8557166576029465,4.8382848839623369,4.8731484312435551,,0,False,baseline_january_preserved,Existing January overlap retained; baseline is not strict-vintage certified.,saving_tariff;poze_waiver;price_caps_2023,24.427931365355281,0.1557272756942511
2023-02,2023-03-09T23:59:00,2023-03-09T22:59:00+00:00,0.5313152061494304,0.39101288105754173,0.50397039233271868,0.47662557851600684,0.5313152061494304,,0,False,no_evidenced_event,No complete independent incremental event payload; retain baseline.,,0.10000000000000001,0.1513061168518951
