"Ukazatel","IndicatorType","Reprezentant","REPRCENZEM","Měsíce, jejich kumulace, čtvrtletí, roky","CASMKMQR","ČR a kraje-Stát","UZ02HU.STAT","ČR a kraje-Kraj","UZ02HU.KRAJ","Hodnota","MJ_TEXT","MJ_SYMBOL"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","září 2025","2025-09","Česko","CZ","Jihomoravský kraj","CZ064","4138.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","září 2025","2025-09","Česko","CZ","Olomoucký kraj","CZ071","4175.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","září 2025","2025-09","Česko","CZ","Moravskoslezský kraj","CZ080","3733.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - září 2025","2025-09K","Česko","CZ","","","4232.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","říjen 2025","2025-10","Česko","CZ","","","3805.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","říjen 2025","2025-10","Česko","CZ","Středočeský kraj","CZ020","3555.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","říjen 2025","2025-10","Česko","CZ","Jihočeský kraj","CZ031","3865.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","říjen 2025","2025-10","Česko","CZ","Kraj Vysočina","CZ063","3967.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - říjen 2025","2025-10K","Česko","CZ","","","4189.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","listopad 2025","2025-11","Česko","CZ","","","3743.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","listopad 2025","2025-11","Česko","CZ","Středočeský kraj","CZ020","3814.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - listopad 2025","2025-11K","Česko","CZ","","","4149.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","prosinec 2025","2025-12","Česko","CZ","","","3848.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","prosinec 2025","2025-12","Česko","CZ","Středočeský kraj","CZ020","4083.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","prosinec 2025","2025-12","Česko","CZ","Jihočeský kraj","CZ031","3940.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","prosinec 2025","2025-12","Česko","CZ","Královéhradecký kraj","CZ052","3842.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","prosinec 2025","2025-12","Česko","CZ","Pardubický kraj","CZ053","3783.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","prosinec 2025","2025-12","Česko","CZ","Kraj Vysočina","CZ063","3799.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","prosinec 2025","2025-12","Česko","CZ","Jihomoravský kraj","CZ064","3905.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - prosinec 2025","2025-12K","Česko","CZ","","","4124.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","2025","2025","Česko","CZ","","","4124.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01","Česko","CZ","","","3715.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01","Česko","CZ","Středočeský kraj","CZ020","3789.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01","Česko","CZ","Královéhradecký kraj","CZ052","3868.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01","Česko","CZ","Pardubický kraj","CZ053","3783.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01","Česko","CZ","Kraj Vysočina","CZ063","3639.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01","Česko","CZ","Jihomoravský kraj","CZ064","3640.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01","Česko","CZ","Olomoucký kraj","CZ071","3625.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01K","Česko","CZ","","","3715.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01K","Česko","CZ","Středočeský kraj","CZ020","3789.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01K","Česko","CZ","Královéhradecký kraj","CZ052","3868.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01K","Česko","CZ","Pardubický kraj","CZ053","3783.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01K","Česko","CZ","Kraj Vysočina","CZ063","3639.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01K","Česko","CZ","Jihomoravský kraj","CZ064","3640.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden 2026","2026-01K","Česko","CZ","Olomoucký kraj","CZ071","3625.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","","","3792.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Středočeský kraj","CZ020","3799.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Jihočeský kraj","CZ031","3754.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Ústecký kraj","CZ042","3738.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Královéhradecký kraj","CZ052","3700.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Kraj Vysočina","CZ063","3598.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Jihomoravský kraj","CZ064","3885.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Olomoucký kraj","CZ071","3772.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Zlínský kraj","CZ072","4027.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","únor 2026","2026-02","Česko","CZ","Moravskoslezský kraj","CZ080","3904.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - únor 2026","2026-02K","Česko","CZ","","","3754.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","","","3837.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Středočeský kraj","CZ020","3926.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Jihočeský kraj","CZ031","3731.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Plzeňský kraj","CZ032","3773.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Ústecký kraj","CZ042","3767.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Královéhradecký kraj","CZ052","4125.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Kraj Vysočina","CZ063","3695.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Jihomoravský kraj","CZ064","3840.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Olomoucký kraj","CZ071","3910.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","březen 2026","2026-03","Česko","CZ","Moravskoslezský kraj","CZ080","3690.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - březen 2026","2026-03K","Česko","CZ","","","3781.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","","","3857.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Středočeský kraj","CZ020","3854.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Jihočeský kraj","CZ031","3763.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Plzeňský kraj","CZ032","3740.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Ústecký kraj","CZ042","4068.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Královéhradecký kraj","CZ052","3752.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Pardubický kraj","CZ053","3820.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Kraj Vysočina","CZ063","3746.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Jihomoravský kraj","CZ064","4061.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Olomoucký kraj","CZ071","3784.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","duben 2026","2026-04","Česko","CZ","Moravskoslezský kraj","CZ080","3933.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - duben 2026","2026-04K","Česko","CZ","","","3803.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","","","3910.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","Středočeský kraj","CZ020","3944.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","Jihočeský kraj","CZ031","3831.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","Ústecký kraj","CZ042","3849.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","Pardubický kraj","CZ053","3937.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","Kraj Vysočina","CZ063","3663.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","Olomoucký kraj","CZ071","3828.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","květen 2026","2026-05","Česko","CZ","Moravskoslezský kraj","CZ080","3769.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - květen 2026","2026-05K","Česko","CZ","","","3824.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červen 2026","2026-06","Česko","CZ","","","3860.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červen 2026","2026-06","Česko","CZ","Středočeský kraj","CZ020","3804.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červen 2026","2026-06","Česko","CZ","Jihočeský kraj","CZ031","3748.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červen 2026","2026-06","Česko","CZ","Pardubický kraj","CZ053","3950.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červen 2026","2026-06","Česko","CZ","Kraj Vysočina","CZ063","3798.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červen 2026","2026-06","Česko","CZ","Jihomoravský kraj","CZ064","4084.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červen 2026","2026-06","Česko","CZ","Moravskoslezský kraj","CZ080","3724.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - červen 2026","2026-06K","Česko","CZ","","","3830.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","","","3776.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Středočeský kraj","CZ020","3742.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Jihočeský kraj","CZ031","3820.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Plzeňský kraj","CZ032","3765.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Královéhradecký kraj","CZ052","3995.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Pardubický kraj","CZ053","3767.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Kraj Vysočina","CZ063","3720.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Jihomoravský kraj","CZ064","4064.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","červenec 2026","2026-07","Česko","CZ","Moravskoslezský kraj","CZ080","3713.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - červenec 2026","2026-07K","Česko","CZ","","","3822.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","","","3777.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Středočeský kraj","CZ020","3724.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Jihočeský kraj","CZ031","3744.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Plzeňský kraj","CZ032","3665.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Liberecký kraj","CZ051","3500.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Královéhradecký kraj","CZ052","4217.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Pardubický kraj","CZ053","3878.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Kraj Vysočina","CZ063","3939.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Olomoucký kraj","CZ071","3460.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","srpen 2026","2026-08","Česko","CZ","Moravskoslezský kraj","CZ080","3870.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Ječmen krmný [t]","1023","leden - srpen 2026","2026-08K","Česko","CZ","","","3817.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden 2010","2010-01","Česko","CZ","","","2245.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden 2010","2010-01K","Česko","CZ","","","2245.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","únor 2010","2010-02","Česko","CZ","","","2299.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - únor 2010","2010-02K","Česko","CZ","","","2272.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","březen 2010","2010-03","Česko","CZ","","","2282.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - březen 2010","2010-03K","Česko","CZ","","","2275.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","duben 2010","2010-04","Česko","CZ","","","2369.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - duben 2010","2010-04K","Česko","CZ","","","2299.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","květen 2010","2010-05","Česko","CZ","","","2294.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - květen 2010","2010-05K","Česko","CZ","","","2298.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","červen 2010","2010-06","Česko","CZ","","","2299.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - červen 2010","2010-06K","Česko","CZ","","","2298.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","červenec 2010","2010-07","Česko","CZ","","","2355.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - červenec 2010","2010-07K","Česko","CZ","","","2306.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","srpen 2010","2010-08","Česko","CZ","","","2643.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - srpen 2010","2010-08K","Česko","CZ","","","2348.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","září 2010","2010-09","Česko","CZ","","","3315.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - září 2010","2010-09K","Česko","CZ","","","2456.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","říjen 2010","2010-10","Česko","CZ","","","3794.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - říjen 2010","2010-10K","Česko","CZ","","","2590.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","listopad 2010","2010-11","Česko","CZ","","","3820.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - listopad 2010","2010-11K","Česko","CZ","","","2701.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","prosinec 2010","2010-12","Česko","CZ","","","4506.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - prosinec 2010","2010-12K","Česko","CZ","","","2852.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","2010","2010","Česko","CZ","","","2852.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden 2011","2011-01","Česko","CZ","","","4296.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden 2011","2011-01K","Česko","CZ","","","4296.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","únor 2011","2011-02","Česko","CZ","","","4519.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - únor 2011","2011-02K","Česko","CZ","","","4408.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","březen 2011","2011-03","Česko","CZ","","","5583.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - březen 2011","2011-03K","Česko","CZ","","","4799.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","duben 2011","2011-04","Česko","CZ","","","5408.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - duben 2011","2011-04K","Česko","CZ","","","4952.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","květen 2011","2011-05","Česko","CZ","","","5099.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - květen 2011","2011-05K","Česko","CZ","","","4981.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","červen 2011","2011-06","Česko","CZ","","","4960.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - červen 2011","2011-06K","Česko","CZ","","","4978.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","červenec 2011","2011-07","Česko","CZ","","","4705.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - červenec 2011","2011-07K","Česko","CZ","","","4939.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","srpen 2011","2011-08","Česko","CZ","","","4245.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - srpen 2011","2011-08K","Česko","CZ","","","4852.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","září 2011","2011-09","Česko","CZ","","","4170.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - září 2011","2011-09K","Česko","CZ","","","4776.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","říjen 2011","2011-10","Česko","CZ","","","4689.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - říjen 2011","2011-10K","Česko","CZ","","","4767.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","listopad 2011","2011-11","Česko","CZ","","","4556.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - listopad 2011","2011-11K","Česko","CZ","","","4748.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","prosinec 2011","2011-12","Česko","CZ","","","4482.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - prosinec 2011","2011-12K","Česko","CZ","","","4726.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","2011","2011","Česko","CZ","","","4726.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden 2012","2012-01","Česko","CZ","","","4680.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden 2012","2012-01K","Česko","CZ","","","4680.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","únor 2012","2012-02","Česko","CZ","","","4943.0","koruna česká","Kč"
"Průměrná cena zemědělských výrobků (Kč)","6277","Žito potravinářské [t]","1031","leden - únor 2012","2012-02K","Česko","CZ","","","4812.0","koruna česká","Kč"
