origin,model,band,target,predicted_turn,actual_turn,eligible,exact_hit,missed_turn,false_turn
2019-10,DUAL_FEEDBACK_R21,2,2020-04,none,trough,True,False,True,False
2019-10,DUAL_FEEDBACK_R21,3,2020-07,none,peak,True,False,True,False
2019-10,FOOD_FEEDBACK_R21,2,2020-04,none,trough,True,False,True,False
2019-10,FOOD_FEEDBACK_R21,3,2020-07,none,peak,True,False,True,False
2019-10,POOL_COMPLETE_R21,2,2020-04,none,trough,True,False,True,False
2019-10,POOL_COMPLETE_R21,3,2020-07,none,peak,True,False,True,False
2019-10,POOL_PARTIAL_R21,2,2020-04,none,trough,True,False,True,False
2019-10,POOL_PARTIAL_R21,3,2020-07,none,peak,True,False,True,False
2019-10,POOL_PRIOR_R21,2,2020-04,none,trough,True,False,True,False
2019-10,POOL_PRIOR_R21,3,2020-07,none,peak,True,False,True,False
2019-10,STABLE_LOCAL_CORE_R14B,2,2020-04,none,trough,True,False,True,False
2019-10,STABLE_LOCAL_CORE_R14B,3,2020-07,none,peak,True,False,True,False
2019-10,STATE_FAST_R15,2,2020-04,none,trough,True,False,True,False
2019-10,STATE_FAST_R15,3,2020-07,none,peak,True,False,True,False
2019-11,ANCHOR_HL12_R21,2,2020-05,none,trough,True,False,True,False
2019-11,ANCHOR_HL12_R21,3,2020-08,none,peak,True,False,True,False
2019-11,ANCHOR_HL24_R21,2,2020-05,none,trough,True,False,True,False
2019-11,ANCHOR_HL24_R21,3,2020-08,none,peak,True,False,True,False
2019-11,CORE_FEEDBACK_R21,2,2020-05,none,trough,True,False,True,False
2019-11,CORE_FEEDBACK_R21,3,2020-08,none,peak,True,False,True,False
2019-11,DAMPED_P95_Q001_R16,2,2020-05,none,trough,True,False,True,False
2019-11,DAMPED_P95_Q001_R16,3,2020-08,none,peak,True,False,True,False
2019-11,DUAL_FEEDBACK_R21,2,2020-05,none,trough,True,False,True,False
2019-11,DUAL_FEEDBACK_R21,3,2020-08,none,peak,True,False,True,False
2019-11,FOOD_FEEDBACK_R21,2,2020-05,none,trough,True,False,True,False
2019-11,FOOD_FEEDBACK_R21,3,2020-08,none,peak,True,False,True,False
2019-11,POOL_COMPLETE_R21,2,2020-05,none,trough,True,False,True,False
2019-11,POOL_COMPLETE_R21,3,2020-08,none,peak,True,False,True,False
2019-11,POOL_PARTIAL_R21,2,2020-05,none,trough,True,False,True,False
2019-11,POOL_PARTIAL_R21,3,2020-08,none,peak,True,False,True,False
2019-11,POOL_PRIOR_R21,2,2020-05,none,trough,True,False,True,False
2019-11,POOL_PRIOR_R21,3,2020-08,none,peak,True,False,True,False
