source_month,import_mm,available_from,availability_policy
2020-05,-1.0999999999999943,2020-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2020-06,-2.200000000000003,2020-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2020-07,-0.29999999999999716,2020-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2020-08,-1.0999999999999943,2020-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2020-09,1.9000000000000057,2020-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2020-10,1.5999999999999943,2021-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2020-11,-1.7999999999999972,2021-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2020-12,-0.09999999999999432,2021-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2021-01,0.29999999999999716,2021-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2021-02,0.4000000000000057,2021-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2021-03,2.299999999999997,2021-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2021-04,0.4000000000000057,2021-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2021-05,0.09999999999999432,2021-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2021-06,1.2000000000000028,2021-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2021-07,2.4000000000000057,2021-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2021-08,0.29999999999999716,2021-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2021-09,1.4000000000000057,2021-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2021-10,2.5999999999999943,2022-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2021-11,0.7999999999999972,2022-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2021-12,0.7999999999999972,2022-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2022-01,-0.5999999999999943,2022-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2022-02,1.5,2022-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2022-03,7.0,2022-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2022-04,-0.29999999999999716,2022-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2022-05,2.0999999999999943,2022-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2022-06,1.4000000000000057,2022-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2022-07,2.700000000000003,2022-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2022-08,2.5999999999999943,2022-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2022-09,-2.0,2022-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2022-10,-2.200000000000003,2023-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2022-11,-1.7999999999999972,2023-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2022-12,-0.7999999999999972,2023-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2023-01,-2.0,2023-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2023-02,-1.5,2023-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2023-03,-0.9000000000000057,2023-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2023-04,-2.9000000000000057,2023-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2023-05,-0.7000000000000028,2023-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2023-06,-0.09999999999999432,2023-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2023-07,0.09999999999999432,2023-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2023-08,1.2999999999999972,2023-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2023-09,2.0,2023-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2023-10,0.7999999999999972,2024-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2023-11,-1.0,2024-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2023-12,-1.2000000000000028,2024-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2024-01,0.29999999999999716,2024-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2024-02,1.2999999999999972,2024-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2024-03,0.4000000000000057,2024-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2024-04,0.4000000000000057,2024-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2024-05,-1.4000000000000057,2024-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2024-06,0.09999999999999432,2024-09-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2024-07,1.7999999999999972,2024-10-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2024-08,-0.29999999999999716,2024-11-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2024-09,-0.5999999999999943,2024-12-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2024-10,1.0,2025-01-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2024-11,0.7999999999999972,2025-02-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2024-12,-0.20000000000000284,2025-03-01T00:00:00+01:00,conservative_source_plus3_month_start_not_observed_release
2025-01,0.5999999999999943,2025-04-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2025-02,-0.29999999999999716,2025-05-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2025-03,-1.0999999999999943,2025-06-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2025-04,-1.0999999999999943,2025-07-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
2025-05,-0.7000000000000028,2025-08-01T00:00:00+02:00,conservative_source_plus3_month_start_not_observed_release
