origin,clock,latest_food_month_published,own_mu_window,own_mu_robust,own_mu_long,audit_mu_window,audit_mu_robust,audit_mu_long,own_n_train,audit_n_train,own_train_start,own_train_end,audit_train_start,audit_train_end,n_windows_robust,n_windows_long,plain_window_mean,diff_mu_window,diff_mu_robust,diff_mu_long
2021-03,2021-04-12 21:59:00+00:00,2021-02,0.19011910751401087,0.2484305930008277,0.22047141280691088,0.1901191075140108,0.2484305930008277,0.2204714128069108,67,67,2015-08,2021-02,2015-08,2021-02,56,291,0.204162884524414,8.326672684688674e-17,0.0,8.326672684688674e-17
2021-04,2021-05-10 21:59:00+00:00,2021-03,0.1897919942832459,0.23300679164702753,0.22042538000578085,0.1897919942832459,0.2330067916470275,0.2204253800057808,68,68,2015-08,2021-03,2015-08,2021-03,57,292,0.20116048916376086,0.0,2.7755575615628914e-17,5.551115123125783e-17
2021-05,2021-06-09 21:59:00+00:00,2021-04,0.20290264067274855,0.23279001297799992,0.22037934720465083,0.2029026406727485,0.2327900129779999,0.2203793472046508,69,69,2015-08,2021-04,2015-08,2021-04,58,293,0.2096219581699775,5.551115123125783e-17,2.7755575615628914e-17,2.7755575615628914e-17
2021-06,2021-07-12 21:59:00+00:00,2021-05,0.18503419017278966,0.23257323430897228,0.2199211250098377,0.1850341901727896,0.2325732343089722,0.2199211250098377,70,70,2015-08,2021-05,2015-08,2021-05,59,294,0.19791273479306445,5.551115123125783e-17,8.326672684688674e-17,0.0
2021-07,2021-08-09 21:59:00+00:00,2021-06,0.18165665057071434,0.22822788731449117,0.21946290281502456,0.1816566505707143,0.2282278873144911,0.2194629028150245,71,71,2015-08,2021-06,2015-08,2021-06,60,295,0.1914268905316584,2.7755575615628914e-17,8.326672684688674e-17,5.551115123125783e-17
2021-08,2021-09-09 21:59:00+00:00,2021-07,0.19362869222741916,0.22388254032001006,0.21855779782881748,0.1936286922274191,0.22388254032001,0.2185577978288174,72,72,2015-08,2021-07,2015-08,2021-07,61,296,0.19362869222741919,5.551115123125783e-17,5.551115123125783e-17,8.326672684688674e-17
2021-09,2021-10-10 21:59:00+00:00,2021-08,0.20286312923747987,0.2229532281349972,0.21765269284261043,0.2028631292374798,0.2229532281349972,0.2176526928426104,73,73,2015-08,2021-08,2015-08,2021-08,62,297,0.19456071136289518,8.326672684688674e-17,0.0,2.7755575615628914e-17
2021-10,2021-11-09 22:59:00+00:00,2021-09,0.1916799665851369,0.22202391594998439,0.21677711666573884,0.1916799665851369,0.2220239159499843,0.2167771166657388,74,74,2015-08,2021-09,2015-08,2021-09,63,298,0.1789205894134295,0.0,8.326672684688674e-17,5.551115123125783e-17
2021-11,2021-12-09 22:59:00+00:00,2021-10,0.18164126313571263,0.21264301265898966,0.21590154048886726,0.1816412631357126,0.2126430126589896,0.2159015404888672,75,75,2015-08,2021-10,2015-08,2021-10,64,299,0.17183600459121073,2.7755575615628914e-17,5.551115123125783e-17,5.551115123125783e-17
2021-12,2022-01-11 22:59:00+00:00,2021-11,0.1912796852469207,0.20326210936799494,0.213228393586211,0.1912796852469207,0.2032621093679949,0.213228393586211,76,76,2015-08,2021-11,2015-08,2021-11,65,300,0.18343770842597612,0.0,2.7755575615628914e-17,0.0
