ticker,name,transformation,n,first,last,level_n,level_first,level_last,level_exact_share,level_within_tol_share,level_max_abs_gap,level_mean_abs_gap,level_corr,mm_n,mm_first,mm_last,mm_exact_share,mm_within_tol_share,mm_max_abs_gap,mm_mean_abs_gap,mm_corr,mom6_n,mom6_first,mom6_last,mom6_exact_share,mom6_within_tol_share,mom6_max_abs_gap,mom6_mean_abs_gap,mom6_corr,phase_n,phase_agree_share,phase_max_momentum_gap,phase_vs_recorded,yy_n,yy_first,yy_last,yy_exact_share,yy_within_tol_share,yy_max_abs_gap,yy_mean_abs_gap,yy_corr
CZPPCY Index,Czech Republic PPI Services &,YoY% NSA,318,2000-02,2026-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.0,2000-02,2026-07,0.025236593059936908,0.5362776025236593,0.2412060301507628,0.05677364372073651,0.9998977458958631
CZPPCYOY Index,Czech Republic PPI Constructio,YoY% NSA,267,1995-01,2017-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,267.0,1995-01,2017-03,0.0,0.011235955056179775,107.08765432098762,12.336209958108938,0.4367274257184908
EPA00CCZ Index,Eurostat PPI Manufacturing Cze,MoM% NSA,318,2000-02,2026-07,,,,,,,,,318.0,2000-02,2026-07,0.018867924528301886,0.09119496855345911,3.054310344827591,0.39590214599516016,0.7267092651909285,,,,,,,,,,,,,,,,,,,,
EPA0BCCZ Index,Eurostat PPI Manufacturing Min,MoM% NSA,318,2000-02,2026-07,,,,,,,,,318.0,2000-02,2026-07,0.02830188679245283,0.08490566037735849,6.681589958159,0.42653850746487965,0.6284766989702353,,,,,,,,,,,,,,,,,,,,
EPB00CCZ Index,Eurostat PPI Manufacturing Cze,YoY% NSA,307,2001-01,2026-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,2001-01,2026-07,0.0,0.019543973941368076,8.837125129265758,2.015239340034754,0.8885725419347034
EPC00CCZ Index,Eurostat Non Domestic PPI Manu,MoM% NSA,318,2000-02,2026-07,,,,,,,,,318.0,2000-02,2026-07,0.009433962264150943,0.040880503144654086,4.954310344827592,0.7064549246428069,0.3943866026784099,,,,,,,,,,,,,,,,,,,,
EPD00CCZ Index,Eurostat Non Domestic PPI Manu,YoY% NSA,307,2001-01,2026-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.0,2001-01,2026-07,0.0,0.003257328990228013,14.241807909604534,3.629953951448602,0.5447818644034433
EPENBCZ Index,Eurostat Domestic PPI Other En,Index NSA,196,1999-01,2015-04,196.0,1999-01,2015-04,0.00510204081632653,0.00510204081632653,34.90736323798127,18.43890501859773,0.9573957266485265,195.0,1999-02,2015-04,0.0,0.015384615384615385,11.022130045490153,2.174853229301436,0.7607326676944334,190.0,1999-07,2015-04,0.0,0.005263157894736842,37.37263694436746,7.221448151416201,0.7810147734455689,90.0,0.6888888888888889,31.556914954648008,0.6888888888888889,,,,,,,,
EPM0BCCZ Index,Eurostat Domestic PPI Manufact,MoM% NSA,331,1999-02,2026-08,,,,,,,,,330.0,1999-02,2026-07,0.0696969696969697,0.4575757575757576,1.0232365145228273,0.09301126800405322,0.9819015814264149,,,,,,,,,,,,,,,,,,,,
EPM0BDCZ Index,Eurostat Domestic PPI Mining a,MoM% NSA,331,1999-02,2026-08,,,,,,,,,330.0,1999-02,2026-07,0.048484848484848485,0.26666666666666666,5.0096408317580385,0.24973062525184406,0.7875694260012097,,,,,,,,,,,,,,,,,,,,
EPN00CCZ Index,Eurostat Non Domestic PPI Manu,Index NSA,319,2000-01,2026-07,319.0,2000-01,2026-07,0.003134796238244514,0.003134796238244514,32.24061729299439,12.572838486690946,0.6653105648931043,318.0,2000-02,2026-07,0.006289308176100629,0.03773584905660377,4.965973411782231,0.7101023303335948,0.39516503940323083,313.0,2000-07,2026-07,0.003194888178913738,0.038338658146964855,14.963553093911969,2.2360053937031132,0.42987508743274067,90.0,0.7555555555555555,9.35409180607989,0.7555555555555555,,,,,,,,
EPNBC2CZ Index,Eurostat Non Domestic PPI Manu,Index NSA,319,2000-01,2026-07,319.0,2000-01,2026-07,0.003134796238244514,0.003134796238244514,33.565568428700935,12.860740856851072,0.6136620960037913,318.0,2000-02,2026-07,0.015723270440251572,0.06918238993710692,5.17717981624074,0.7331685122665179,0.3431272972190288,313.0,2000-07,2026-07,0.003194888178913738,0.038338658146964855,15.406521703070837,2.3444789551881833,0.3688958699433397,90.0,0.7111111111111111,10.43614214917401,0.7111111111111111,,,,,,,,
EPP00BCZ Index,Eurostat Domestic PPI Mining &,Index NSA,440,1990-01,2026-08,439.0,1990-01,2026-07,0.002277904328018223,0.00683371298405467,34.537742542768115,22.51607739572768,0.9086285298716892,438.0,1990-02,2026-07,0.0410958904109589,0.06621004566210045,42.22280130293159,1.1458390424634557,0.12275264065620027,433.0,1990-07,2026-07,0.009237875288683603,0.046189376443418015,39.05733747765652,3.327219899477141,0.5884026868218616,90.0,0.8,37.485893628937376,0.8,,,,,,,,
EPP00DCZ Index,Eurostat Domestic PPI Electric,Index NSA,440,1990-01,2026-08,439.0,1990-01,2026-07,0.002277904328018223,0.002277904328018223,33.31699577161751,21.36265407484153,0.9261281482860353,438.0,1990-02,2026-07,0.08447488584474885,0.09817351598173515,57.473505528283724,1.5967876369222276,0.027430020074409766,433.0,1990-07,2026-07,0.009237875288683603,0.025404157043879907,45.97427969374729,4.676244628104347,0.7000013835015453,90.0,0.5,29.792103358185695,0.5,,,,,,,,
EPP036CZ Index,Eurostat Domestic PPI Water Co,Index NSA,440,1990-01,2026-08,439.0,1990-01,2026-07,0.004555808656036446,0.00683371298405467,38.47940465469024,25.497505124124032,0.9429425573224379,438.0,1990-02,2026-07,0.1050228310502283,0.11187214611872145,85.52011095700414,1.3265908221644451,0.33549767217971804,433.0,1990-07,2026-07,0.023094688221709007,0.04387990762124711,84.28469908972954,4.924362983362798,0.4295796342366857,90.0,0.5333333333333333,17.57574698786275,0.5333333333333333,,,,,,,,
EPP0BCCZ Index,Eurostat Domestic PPI Manufact,Index NSA,332,1999-01,2026-08,331.0,1999-01,2026-07,0.0030211480362537764,0.030211480362537766,1.9039871481989366,1.054836735050038,0.9996913154119477,330.0,1999-02,2026-07,0.09393939393939393,0.45454545454545453,1.0678646136963899,0.08174601994278236,0.9831194302464464,325.0,1999-07,2026-07,0.03076923076923077,0.4707692307692308,1.3811192277447617,0.16846854765966696,0.9958178795511232,90.0,0.9777777777777777,1.381119227744776,0.9777777777777777,,,,,,,,
EPP0BDCZ Index,Eurostat Domestic PPI Mining a,Index NSA,332,1999-01,2026-08,331.0,1999-01,2026-07,0.0030211480362537764,0.0030211480362537764,7.709835550409075,4.831124980716069,0.995801726204916,330.0,1999-02,2026-07,0.051515151515151514,0.2696969696969697,5.022519619636845,0.24243814924605078,0.789169279620223,325.0,1999-07,2026-07,0.006153846153846154,0.13538461538461538,6.25096552228257,0.7730627741776638,0.9214210332241695,90.0,0.8,6.25096552228257,0.8,,,,,,,,
EPP0CGCZ Index,Eurostat Domestic PPI Consumer,Index NSA,332,1999-01,2026-08,331.0,1999-01,2026-07,0.0030211480362537764,0.03323262839879154,8.672653880775314,2.149216929894657,0.9778193135167563,330.0,1999-02,2026-07,0.021212121212121213,0.05757575757575758,3.1395148292862496,0.48789890932229785,0.47472258713372206,325.0,1999-07,2026-07,0.0,0.036923076923076927,9.862629991376025,1.6850871140327246,0.6118063692852552,90.0,0.5444444444444444,9.862629991375993,0.5444444444444444,,,,,,,,
EPPBC3CZ Index,Eurostat Dom PPI Mining & Quar,Index NSA,332,1999-01,2026-08,331.0,1999-01,2026-07,0.0030211480362537764,0.027190332326283987,3.523118710664292,1.3538781467769034,0.9948746879950972,330.0,1999-02,2026-07,0.015151515151515152,0.09393939393939393,2.1485808212744484,0.3024959440230716,0.8136748494809252,325.0,1999-07,2026-07,0.003076923076923077,0.07384615384615385,5.082580625367598,0.8632815578127704,0.9251727461874154,90.0,0.8777777777777778,5.082580625367594,0.8777777777777778,,,,,,,,
EPPBE4CZ Index,Eurostat Domestic PPI Industry,Index NSA,332,1999-01,2026-08,331.0,1999-01,2026-07,0.006042296072507553,0.006042296072507553,9.854453189939754,5.853655920618289,0.9955059398315639,330.0,1999-02,2026-07,0.051515151515151514,0.2515151515151515,5.758366044222618,0.27422687084092123,0.7580128561166527,325.0,1999-07,2026-07,0.006153846153846154,0.12,6.309614523571781,0.8568537500906107,0.9124859393101291,90.0,0.8,6.309614523571749,0.8,,,,,,,,
EPPCG1CZ Index,Eurostat Dom PPI Consumer Good,Index NSA,332,1999-01,2026-08,331.0,1999-01,2026-07,0.0030211480362537764,0.021148036253776436,12.627061632746617,2.843877155390578,0.9567037660188974,330.0,1999-02,2026-07,0.03333333333333333,0.10909090909090909,3.3510577797998042,0.4766049088536564,0.3759583827293964,325.0,1999-07,2026-07,0.003076923076923077,0.05846153846153846,8.702127365277704,1.728817231735232,0.5729390520000573,90.0,0.7,8.70212736527769,0.7,,,,,,,,
EPPIGKCZ Index,Eurostat Domestic PPI Intermed,Index NSA,201,1999-01,2015-09,201.0,1999-01,2015-09,0.004975124378109453,0.05472636815920398,4.378091456643887,1.2697766592857567,0.9885384146183234,200.0,1999-02,2015-09,0.025,0.12,1.127630973718019,0.2684034849672257,0.7677647101917052,195.0,1999-07,2015-09,0.0,0.10256410256410256,3.876297299902774,0.7439027849255118,0.8825948556302755,90.0,0.6888888888888889,16.76388800014692,0.6888888888888889,,,,,,,,
EPT00CCZ Index,Eurostat PPI Manufacturing Cze,Index NSA,319,2000-01,2026-07,319.0,2000-01,2026-07,0.003134796238244514,0.009404388714733543,16.1535017941142,6.713020293280926,0.9643379282953669,318.0,2000-02,2026-07,0.015723270440251572,0.07861635220125786,3.019682513112365,0.3952549134075463,0.7297070618076361,313.0,2000-07,2026-07,0.003194888178913738,0.0670926517571885,7.848567736856523,1.2320775403665731,0.8236539725795119,90.0,0.8333333333333334,5.5439071362908265,0.8333333333333334,,,,,,,,
OECZPEBQ Index,OECD Czech Rep Producer Prices,,322,1996-02,2022-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECZPEBR Index,OECD Czech Rep Producer Prices,,311,1997-01,2022-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECZPEBS Index,OECD Czech Rep Producer Prices,,323,1996-01,2022-11,323.0,1996-01,2022-11,0.0030959752321981426,0.006191950464396285,16.682485924455847,8.748396480244082,0.9362252178036073,322.0,1996-02,2022-11,0.027950310559006212,0.10869565217391304,5.6662730501430225,0.4306870078875568,0.5967596166005112,317.0,1996-07,2022-11,0.0031545741324921135,0.06624605678233439,9.707215762199837,1.3897085531238116,0.7410887935447421,90.0,0.8777777777777778,5.439575465961788,0.8777777777777778,,,,,,,,
OECZPEBU Index,OECD Czech Rep Producer Prices,,381,1991-01,2022-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OECZPEBV Index,OECD Czech Rep Producer Prices,,396,1990-01,2022-12,396.0,1990-01,2022-12,0.005050505050505051,0.7651515151515151,0.09147491512636918,0.03255870664395769,0.9999981873834894,395.0,1990-02,2022-12,0.10379746835443038,0.6455696202531646,0.272091263175378,0.04809657629410519,0.9993619732812246,390.0,1990-07,2022-12,0.03076923076923077,0.9025641025641026,0.38802418775640035,0.05354396755757948,0.999938223534762,90.0,0.9555555555555556,7.395187652389179,0.9555555555555556,,,,,,,,
PPCGCZ Index,Eurostat PPI Czech Republic Ca,Index NSA,392,1994-01,2026-08,391.0,1994-01,2026-07,0.0025575447570332483,0.0025575447570332483,14.62640224634432,8.26591737035728,0.9691690363019885,390.0,1994-02,2026-07,0.035897435897435895,0.11538461538461539,2.8923835738325243,0.44220094395343246,0.4387488985912749,385.0,1994-07,2026-07,0.0025974025974025974,0.04155844155844156,10.840158292253761,1.7995963140346278,0.441214425628203,90.0,0.5222222222222223,10.840158292253754,0.5222222222222223,,,,,,,,
PPDGCZ Index,Eurostat PPI Czech Republic Du,Index NSA,392,1994-01,2026-08,391.0,1994-01,2026-07,0.0025575447570332483,0.023017902813299233,11.361614348863881,2.328037983430925,0.9840098951993738,390.0,1994-02,2026-07,0.05384615384615385,0.11282051282051282,3.8146566808987092,0.46027562064133687,0.4168368160000968,385.0,1994-07,2026-07,0.0,0.04415584415584416,8.678645178361194,1.6281589369769707,0.6061390783294099,90.0,0.5888888888888889,7.775956966053155,0.5888888888888889,,,,,,,,
PPENCZ Index,Eurostat PPI Czech Republic En,Index NSA,392,1994-01,2026-08,391.0,1994-01,2026-07,0.0025575447570332483,0.0025575447570332483,30.976205440606236,20.132075077903274,0.9772781542400408,390.0,1994-02,2026-07,0.01282051282051282,0.046153846153846156,20.383638967825135,1.002164558953598,0.5311069927308892,385.0,1994-07,2026-07,0.0,0.03116883116883117,27.69544615767427,3.061226876200418,0.7035610783067066,90.0,0.6555555555555556,27.695446157674212,0.6555555555555556,,,,,,,,
PPIGCZ Index,Eurostat PPI Czech Republic In,Index NSA,392,1994-01,2026-08,391.0,1994-01,2026-07,0.0025575447570332483,0.0025575447570332483,4.93615420364263,3.127280559865515,0.9947887075901249,390.0,1994-02,2026-07,0.015384615384615385,0.15897435897435896,2.574968551858947,0.3209526826686046,0.8148346130205578,385.0,1994-07,2026-07,0.005194805194805195,0.07532467532467532,5.473977576368952,0.9450493483092446,0.939283601952586,90.0,0.9666666666666667,5.473977576368938,0.9666666666666667,,,,,,,,
PPNGCZ Index,Eurostat PPI Czech Republic No,Index NSA,392,1994-01,2026-08,391.0,1994-01,2026-07,0.0025575447570332483,0.03324808184143223,8.497192245224824,2.046251523289314,0.984834829409697,390.0,1994-02,2026-07,0.005128205128205128,0.07692307692307693,3.044398901295131,0.47866152192112804,0.4920238394552416,385.0,1994-07,2026-07,0.0,0.05454545454545454,10.073210626399714,1.6729492362773686,0.6202598823403054,90.0,0.5444444444444444,10.073210626399653,0.5444444444444444,,,,,,,,
PPTXCZ Index,Eurostat PPI Czech Republic In,Index NSA,440,1990-01,2026-08,439.0,1990-01,2026-07,0.002277904328018223,0.002277904328018223,8.407747906136315,5.363477672916568,0.9926164121916721,438.0,1990-02,2026-07,0.05707762557077625,0.24885844748858446,6.2691781145258085,0.28218624305278595,0.9370468204147857,433.0,1990-07,2026-07,0.013856812933025405,0.12933025404157045,6.337247157178865,0.7506823500867704,0.9833302685158435,90.0,0.7666666666666667,6.3372471571788935,0.7666666666666667,,,,,,,,
PPXECZ Index,Eurostat PPI Czech Republic Al,Index NSA,332,1999-01,2026-08,331.0,1999-01,2026-07,0.0030211480362537764,0.01812688821752266,3.664723416914754,1.1385267147174785,0.9947174980329533,330.0,1999-02,2026-07,0.03333333333333333,0.1484848484848485,2.2358107807231686,0.2968775545913271,0.8236078770845298,325.0,1999-07,2026-07,0.003076923076923077,0.08,4.134605072719808,0.8847623213529675,0.9305805094027467,90.0,0.8666666666666667,4.099905046321695,0.8666666666666667,,,,,,,,
