target_month,release_dt,actual,survey_median,survey_mean,era
2022-09,2022-10-11 00:00:00,0.8,0.2,0.3,regular
2022-10,2022-11-10 00:00:00,-1.4,0.9,1.0,regular
2022-11,2022-12-12 00:00:00,1.2,0.7,0.7,regular
2022-12,2023-01-11 00:00:00,0.0,0.4,0.4,regular
2023-01,2023-02-10 00:00:00,6.0,5.8,5.7,regular
2023-02,2023-03-10 00:00:00,0.6,0.5,0.5,regular
2023-03,2023-04-13 00:00:00,0.1,0.1,0.1,regular
2023-04,2023-05-11 00:00:00,-0.2,0.4,0.3,regular
2023-05,2023-06-12 00:00:00,0.3,0.1,0.1,regular
2023-06,2023-07-13 00:00:00,0.3,0.3,0.3,regular
2023-07,2023-08-10 00:00:00,0.5,0.4,0.4,regular
2023-08,2023-09-11 00:00:00,0.2,0.1,0.2,regular
2023-09,2023-10-10 00:00:00,-0.7,-0.2,-0.2,regular
2023-10,2023-11-10 00:00:00,0.1,0.0,0.1,regular
2023-11,2023-12-11 00:00:00,0.1,-0.1,-0.1,regular
2023-12,2024-01-11 00:00:00,-0.4,0.0,0.0,regular
2024-01,2024-02-15 00:00:00,1.5,2.0,2.1,regular
2024-02,2024-03-11 00:00:00,0.3,0.4,0.4,regular
2024-03,2024-04-10 00:00:00,0.1,0.1,0.1,regular
2024-04,2024-05-13 00:00:00,0.7,0.2,0.2,regular
2024-05,2024-06-11 00:00:00,0.0,0.1,0.1,regular
2024-06,2024-07-10 00:00:00,-0.3,0.2,0.2,regular
2024-07,2024-08-12 00:00:00,0.7,0.5,0.4,regular
2024-08,2024-09-10 00:00:00,0.3,0.0,0.0,regular
2024-09,2024-10-10 00:00:00,-0.4,-0.5,-0.5,regular
2024-10,2024-11-11 00:00:00,0.3,0.3,0.3,regular
2024-11,2024-12-10 00:00:00,0.1,0.2,0.2,regular
2024-12,2025-01-13 00:00:00,-0.3,0.1,0.1,regular
2025-01,2025-02-06,1.3,1.1,1.1,flash
2025-02,2025-03-05,0.2,0.2,0.2,flash
2025-03,2025-04-04,0.1,0.0,0.0,flash
