report_date,report_clock_utc,origin,as_of_utc,quarter,quarters_ahead,realised,cnb,known_months,forecast_months,model,forecast,complete
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,TVWQRF_TVW3_FULLM_OWNH0,6.598151774052556,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,TVWQRF_TVW3_INDEPM,6.794926162045932,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,TVWQRF_TVW3_INDEPM_OWNH0,6.305597245700995,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q3,3,17.578003612072624,8.17038043,0,3,CNB,8.17038043,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,INDEPENDENT_BRIDGE,10.124566290262727,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,STABLE_PIPELINE_R14B,9.787442283759098,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,STABLE_LOCAL_CORE_R14B,8.87911240826681,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,STABLE_LONG_CORE_R14B,8.700543129427109,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,STABLE_LONG_GAP_R14B,9.018239409905567,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,TVWQRF_QRF_MEAN_FULLM,5.157678476621956,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,TVWQRF_QRF_MEAN_FULLM_OWNH0,4.834482836501593,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,TVWQRF_QRF_MEAN_INDEPM,4.809717868248899,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,TVWQRF_QRF_MEAN_INDEPM_OWNH0,4.4385683950861665,True
2022-02-10,2022-02-09T23:00:00+00:00,2021-12,2022-01-11T22:59:00+00:00,2022Q4,4,15.699043922150247,6.62746481,0,3,TVWQRF_QRF_MEDIAN_FULLM,3.750367049039365,True
