scope,sample,quarters_ahead,model,n_report_quarter_pairs,n_unique_quarters,n_reports,rmse,mae,bias
all_common,all_reports,8,CNB,0,0,0,,,
all_common,all_reports,9,INDEPENDENT_BRIDGE,0,0,0,,,
all_common,all_reports,9,STABLE_PIPELINE_R14B,0,0,0,,,
all_common,all_reports,9,STABLE_LOCAL_CORE_R14B,0,0,0,,,
all_common,all_reports,9,STABLE_LONG_CORE_R14B,0,0,0,,,
all_common,all_reports,9,STABLE_LONG_GAP_R14B,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEAN_INDEPM,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEDIAN_FULLM,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEDIAN_INDEPM,0,0,0,,,
all_common,all_reports,9,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,9,TVWQRF_TVW3_FULLM,0,0,0,,,
all_common,all_reports,9,TVWQRF_TVW3_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,9,TVWQRF_TVW3_INDEPM,0,0,0,,,
all_common,all_reports,9,TVWQRF_TVW3_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,9,CNB,0,0,0,,,
all_common,all_reports,10,INDEPENDENT_BRIDGE,0,0,0,,,
all_common,all_reports,10,STABLE_PIPELINE_R14B,0,0,0,,,
all_common,all_reports,10,STABLE_LOCAL_CORE_R14B,0,0,0,,,
all_common,all_reports,10,STABLE_LONG_CORE_R14B,0,0,0,,,
all_common,all_reports,10,STABLE_LONG_GAP_R14B,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEAN_INDEPM,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEDIAN_FULLM,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEDIAN_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEDIAN_INDEPM,0,0,0,,,
all_common,all_reports,10,TVWQRF_QRF_MEDIAN_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,10,TVWQRF_TVW3_FULLM,0,0,0,,,
all_common,all_reports,10,TVWQRF_TVW3_FULLM_OWNH0,0,0,0,,,
all_common,all_reports,10,TVWQRF_TVW3_INDEPM,0,0,0,,,
all_common,all_reports,10,TVWQRF_TVW3_INDEPM_OWNH0,0,0,0,,,
all_common,all_reports,10,CNB,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,all,INDEPENDENT_BRIDGE,66,18,18,2.3623967015417384,1.5280287492622204,-0.04472285437386021
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,all,TVWQRF_QRF_MEAN_FULLM,66,18,18,2.989738230862286,1.7448299833665781,-0.09826540197541192
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,all,CNB,66,18,18,2.2954532595060195,1.0605492231877778,-0.49906748985091737
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,1,INDEPENDENT_BRIDGE,18,18,18,1.542361051585929,0.8561549384541672,-0.12263847320135457
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,1,TVWQRF_QRF_MEAN_FULLM,18,18,18,1.997499360329189,1.18034884133101,-0.23267494408779754
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,1,CNB,18,18,18,0.9474636327304489,0.555461062093155,0.16478353356270228
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,2,INDEPENDENT_BRIDGE,17,17,17,1.9550799989592513,1.3245505492142235,-0.2416342921928435
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,2,TVWQRF_QRF_MEAN_FULLM,17,17,17,2.827672172305861,1.6806502340812646,-0.2605086414917538
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,2,CNB,17,17,17,2.0747355620744687,1.1758911766503248,-0.3511216184204253
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,3,INDEPENDENT_BRIDGE,16,16,16,2.2360733185967483,1.5953936967099105,-0.07658255902275357
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,3,TVWQRF_QRF_MEAN_FULLM,16,16,16,3.2853990247286364,1.7844208132307668,-0.037777001301833646
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,3,CNB,16,16,16,2.5063104397716818,1.1088691841257812,-0.7537429704129559
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,4,INDEPENDENT_BRIDGE,15,15,15,3.4693003878793705,2.4930300050087437,0.30592586937280025
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,4,TVWQRF_QRF_MEAN_FULLM,15,15,15,3.737149238054813,2.452714184477482,0.1823807592928216
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,4,CNB,15,15,15,3.2446896054586505,1.4843928442432337,-1.1917068596356442
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,5,INDEPENDENT_BRIDGE,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,5,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,5,CNB,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,6,INDEPENDENT_BRIDGE,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,6,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,6,CNB,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,7,INDEPENDENT_BRIDGE,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,7,TVWQRF_QRF_MEAN_FULLM,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,7,CNB,0,0,0,,,
paired_TVWQRF_QRF_MEAN_FULLM,all_reports,8,INDEPENDENT_BRIDGE,0,0,0,,,
