edge,horizon,n_train,n_features,seconds
2022-03,12,227,70,15.679789299989352
2022-04,3,237,70,17.71057880000444
2022-04,6,234,70,15.988420899986522
2022-04,9,231,70,17.159844400011934
2022-04,12,228,70,15.612391900009243
2022-05,3,238,70,16.75987619999796
2022-05,6,235,70,16.26684909997857
2022-05,9,232,70,16.563909399992554
2022-05,12,229,70,17.149977499997476
2022-06,3,239,70,17.55483120001736
2022-06,6,236,70,16.65767769998638
2022-06,9,233,70,16.6359197999991
2022-06,12,230,70,17.754667300003348
2022-07,3,240,70,18.798759500001324
2022-07,6,237,70,15.983131499990122
2022-07,9,234,70,17.462370699999155
2022-07,12,231,70,18.047232500015525
2022-08,3,241,70,19.506769300001906
2022-08,6,238,70,18.452429299999494
2022-08,9,235,70,18.100881699996535
2022-08,12,232,70,19.219360900024185
2022-09,3,242,70,20.685337300004903
2022-09,6,239,70,18.749066399992444
2022-09,9,236,70,18.259870499983663
2022-09,12,233,70,19.113837599987164
2022-10,3,243,70,19.27296290002414
2022-10,6,240,70,19.94972790000611
2022-10,9,237,70,20.305873000004794
2022-10,12,234,70,18.072610700008227
2022-11,3,244,70,18.992271700000856
2022-11,6,241,70,20.654790200002026
2022-11,9,238,70,18.864804799988633
2022-11,12,235,70,18.496997699985513
2022-12,3,245,70,17.93688250001287
2022-12,6,242,70,18.473444000002928
2022-12,9,239,70,22.89461439999286
2022-12,12,236,70,21.51244309998583
2023-01,3,246,70,22.199084099993343
2023-01,6,243,70,20.86182240000926
2023-01,9,240,70,20.153842800005805
2023-01,12,237,70,20.52358809998259
2023-02,3,247,70,21.893643400020665
2023-02,6,244,70,19.857527599990135
2023-02,9,241,70,22.988914799992926
2023-02,12,238,70,20.3129608000163
2023-03,3,248,70,19.497224699996877
2023-03,6,245,70,18.796657900005812
2023-03,9,242,70,17.158330300007947
2023-03,12,239,70,15.98902549999184
2023-04,3,249,70,16.91909779998241
2023-04,6,246,70,17.977659099997254
2023-04,9,243,70,17.346273799979826
2023-04,12,240,70,16.968654900003457
2023-05,3,250,70,16.80907709998428
2023-05,6,247,70,17.21251129999291
2023-05,9,244,70,16.714185500022722
2023-05,12,241,70,15.890409599989653
2023-06,3,251,70,17.147579500015127
2023-06,6,248,70,16.72706800000742
2023-06,9,245,70,18.186356899997918
2023-06,12,242,70,16.208976699999766
2023-07,3,252,70,15.823411999997916
2023-07,6,249,70,18.0799396999937
2023-07,9,246,70,17.0877667000168
2023-07,12,243,70,16.974868399993284
2023-08,3,253,70,17.41439890000038
2023-08,6,250,70,15.022067300014896
2023-08,9,247,70,16.59394330001669
2023-08,12,244,70,14.56034520000685
2023-09,3,254,70,15.772428600001149
2023-09,6,251,70,16.47092250001151
2023-09,9,248,70,18.682230000005802
2023-09,12,245,70,16.110031899996102
2023-10,3,255,70,14.90123630000744
2023-10,6,252,70,16.787046099983854
2023-10,9,249,70,17.530578000005335
2023-10,12,246,70,17.857720300002256
2023-11,3,256,70,15.357719300023746
2023-11,6,253,70,16.510920200002147
2023-11,9,250,70,17.769094299990684
2023-11,12,247,70,18.08869340000092
2023-12,3,257,70,16.92965629999526
2023-12,6,254,70,16.554736000020057
2023-12,9,251,70,17.75399529997958
2023-12,12,248,70,18.59741409998969
2024-01,3,258,70,17.493826899997657
2024-01,6,255,70,16.78475019999314
2024-01,9,252,70,17.110405699990224
2024-01,12,249,70,18.07628370000748
2024-02,3,259,70,17.229870200011646
2024-02,6,256,70,17.26998160002404
2024-02,9,253,70,18.732015199988382
2024-02,12,250,70,17.28167170000961
2024-03,3,260,70,15.221696300024632
2024-03,6,257,70,15.73802279998199
2024-03,9,254,70,16.90692219999619
2024-03,12,251,70,18.33498519999557
2024-04,3,261,70,16.4047423999873
2024-04,6,258,70,16.232479500002228
2024-04,9,255,70,18.192539900017437
2024-04,12,252,70,17.661383300001035
2024-05,3,262,70,16.701386200002162
2024-05,6,259,70,15.68681749998359
2024-05,9,256,70,17.76679380002315
2024-05,12,253,70,18.596997400018154
2024-06,3,263,70,17.322910199989565
2024-06,6,260,70,17.01847050001379
2024-06,9,257,70,20.299627300002612
2024-06,12,254,70,17.121758799999952
2024-07,3,264,70,17.294850100006443
2024-07,6,261,70,16.486357999994652
2024-07,9,258,70,16.63762530000531
2024-07,12,255,70,17.546607199998107
2024-08,3,265,70,17.090365899988683
2024-08,6,262,70,16.16016640001908
2024-08,9,259,70,17.03185250001843
2024-08,12,256,70,16.09386349999113
2024-09,3,266,70,16.87668349998421
2024-09,6,263,70,16.604713199980324
2024-09,9,260,70,17.570570999989286
2024-09,12,257,70,16.750822500005597
2024-10,3,267,70,16.053001399995992
2024-10,6,264,70,14.914545100007672
2024-10,9,261,70,17.365306799998507
2024-11,3,268,70,17.373850699979812
2024-11,6,265,70,15.24336389999371
2024-11,9,262,70,16.829202900000382
2024-12,3,269,70,14.667544399999315
2024-12,6,266,70,12.929086699994514
2024-12,9,263,70,14.036316600017017
2025-01,3,270,70,12.282820099993842
2025-01,6,267,70,12.94948799998383
2025-02,3,271,70,12.801477099972544
2025-02,6,268,70,10.352748000004794
2025-03,3,272,70,10.13055629999144
2025-03,6,269,70,10.046192000008887
2025-04,3,273,70,9.416736499988474
2025-05,3,274,70,9.615719299996272
2025-06,3,275,70,9.02175869999337
