edge,horizon,quantile,value
2022-09,6,0.6666666666666666,1.3404825737265424
2022-09,6,0.75,1.5801354401805856
2022-09,6,0.9,1.7926734216679563
2022-09,6,0.95,4.442581726739303
2022-09,9,0.05,-0.35118605677350906
2022-09,9,0.1,-0.2010050251256334
2022-09,9,0.25,0.0
2022-09,9,0.3333333333333333,0.1763668430335041
2022-09,9,0.5,0.4118837906875727
2022-09,9,0.6666666666666666,0.6872852233676952
2022-09,9,0.75,1.041666666666674
2022-09,9,0.9,1.6640253565768592
2022-09,9,0.95,1.7926734216679563
2022-09,12,0.05,-0.3208556149732589
2022-09,12,0.1,-0.19866907741427736
2022-09,12,0.25,0.100401606425704
2022-09,12,0.3333333333333333,0.1760563380281743
2022-09,12,0.5,0.5523595589242758
2022-09,12,0.6666666666666666,1.2841091492777013
2022-09,12,0.75,1.4625228519195457
2022-09,12,0.9,1.7611026033690802
2022-09,12,0.95,1.7926734216679563
2022-10,3,0.05,-0.5482456140350922
2022-10,3,0.1,-0.21898725931788207
2022-10,3,0.25,0.0
2022-10,3,0.3333333333333333,0.17615983969661755
2022-10,3,0.5,0.4208754208754106
2022-10,3,0.6666666666666666,0.6505576208178487
2022-10,3,0.75,1.2841091492777013
2022-10,3,0.9,1.6737330812560836
2022-10,3,0.95,1.7926734216679563
2022-10,6,0.05,-0.5483562691131538
2022-10,6,0.1,-0.2205071664829083
2022-10,6,0.25,0.0
2022-10,6,0.3333333333333333,0.1257861635220125
2022-10,6,0.5,0.3910068426197455
2022-10,6,0.6666666666666666,1.0221465076660996
2022-10,6,0.75,1.333333333333342
2022-10,6,0.9,1.6640253565768592
2022-10,6,0.95,1.7926734216679563
2022-10,9,0.05,-0.2580645161290307
2022-10,9,0.1,-0.2010050251256334
2022-10,9,0.25,0.1706484641638139
2022-10,9,0.3333333333333333,0.27243806905807777
2022-10,9,0.5,0.6872852233676952
2022-10,9,0.6666666666666666,1.3123901245891674
2022-10,9,0.75,1.474201474201453
2022-10,9,0.9,1.7926734216679563
2022-10,9,0.95,2.978235967926701
2022-10,12,0.05,-0.5482456140350922
2022-10,12,0.1,-0.32626514611545976
2022-10,12,0.25,-0.10928961748633
2022-10,12,0.3333333333333333,0.0
2022-10,12,0.5,0.1706484641638139
2022-10,12,0.6666666666666666,0.4385964912280604
2022-10,12,0.75,0.6872852233676952
2022-10,12,0.9,1.5801354401805856
2022-10,12,0.95,1.7611026033690802
2022-11,3,0.05,-0.38869340232858424
2022-11,3,0.1,-0.19974122107544234
2022-11,3,0.25,0.09407734369852863
2022-11,3,0.3333333333333333,0.1863932898415576
2022-11,3,0.5,0.4214963119072656
2022-11,3,0.6666666666666666,0.6872852233676952
2022-11,3,0.75,1.172161172161168
