period,EUI6CZ Index,EUI1CZ Index,EUS1CZ Index,EUS2CZ Index,EUR1CZ Index,EUB1CZ Index,EUB5F4CZ Index,EUB5F5CZ Index,EUB5F6CZ Index,EUB5F7CZ Index,EUCCCZ Index,UMRTCZ Index,CZRUSHIN Index
2020-04,-33.9,-57.4,24.5,-19.2,32.5,37.2,52.8,4.3,14.8,10.8,-19.2,2.2,-6.7
2020-05,-62.9,-30.9,11.8,-49.8,22.0,38.1,46.1,3.4,16.0,7.7,-9.8,2.5,-10.91
2020-06,-62.7,-13.8,19.3,-46.6,18.5,39.7,43.0,2.7,12.7,8.6,-8.6,2.6,-9.21
2020-07,-28.0,20.2,17.1,-23.1,21.8,41.8,43.8,2.8,11.8,8.8,-8.1,3.0,0.14
2020-08,-6.1,17.3,19.7,-17.2,20.3,43.4,36.5,1.3,16.6,2.3,-10.5,2.7,8.44
2020-09,9.1,21.3,30.7,9.8,23.6,27.9,44.2,2.1,12.2,8.8,-8.0,2.8,9.82
2020-10,3.2,14.9,18.9,-1.8,24.7,33.8,37.8,1.5,12.2,7.0,-16.7,3.2,5.54
2020-11,9.2,1.9,11.7,-2.9,21.7,33.7,32.5,0.8,14.0,3.6,-18.5,3.0,2.23
2020-12,2.5,5.6,29.0,2.5,20.2,23.6,37.6,0.0,7.1,17.8,-9.7,3.0,1.14
2021-01,8.7,-3.2,20.4,-5.9,14.0,35.1,46.8,1.0,12.8,6.7,-12.3,3.3,0.68
2021-02,-4.4,7.2,29.8,-2.3,21.9,33.2,46.3,1.3,11.5,6.2,-14.3,3.2,0.85
2021-03,-7.2,2.9,21.0,-11.7,18.1,34.9,41.1,1.3,9.6,6.4,-15.8,3.3,0.8
2021-04,3.2,8.5,22.8,-1.3,26.3,37.4,33.4,1.8,14.9,3.0,-9.4,3.3,1.58
2021-05,5.5,7.3,32.8,4.9,29.6,37.6,31.7,4.3,16.5,2.6,-5.2,3.1,2.45
2021-06,8.0,18.2,33.7,19.9,36.0,36.5,44.5,10.6,12.6,6.6,-3.1,2.7,3.07
2021-07,-0.5,15.2,34.9,22.4,36.3,38.9,43.3,13.8,13.3,7.2,-7.0,2.6,2.95
2021-08,-0.2,9.9,29.1,19.9,37.3,27.1,42.1,16.3,13.0,8.2,-4.9,2.8,2.0
2021-09,-8.1,-3.4,44.3,26.6,34.1,42.2,45.5,18.6,12.1,5.5,-4.9,2.5,0.93
2021-10,-11.3,-9.9,35.6,33.6,37.7,39.1,45.0,23.4,12.5,5.7,-8.9,2.5,-0.02
2021-11,-18.2,18.5,49.5,22.7,38.9,43.7,43.1,22.8,13.4,6.0,-20.4,2.2,0.11
2021-12,9.4,17.0,38.5,27.4,34.7,45.1,47.2,22.4,12.2,6.6,-16.1,2.2,0.7
2022-01,7.3,21.3,42.8,18.6,41.9,46.1,48.5,27.7,14.0,4.2,-16.5,2.3,1.06
2022-02,3.0,18.9,44.5,22.1,31.1,45.1,55.2,24.7,12.0,2.3,-15.1,2.5,0.58
2022-03,4.3,-1.0,44.3,18.2,31.5,43.3,50.8,25.7,12.5,2.0,-28.5,2.2,-0.04
2022-04,2.0,13.2,43.7,34.9,27.5,40.3,50.4,38.8,10.4,3.5,-27.5,2.5,-0.47
2022-05,2.4,23.3,46.4,21.2,30.1,39.8,44.4,41.3,11.2,3.3,-28.7,2.4,-0.4
2022-06,13.0,17.2,46.1,13.3,37.0,39.3,40.4,39.2,12.0,2.5,-29.9,2.4,-0.26
2022-07,17.4,14.1,53.1,15.1,31.2,30.4,44.6,38.5,12.8,2.6,-32.6,2.3,-0.28
2022-08,10.8,9.7,45.3,11.7,30.8,37.6,40.2,38.6,15.0,2.7,-28.0,2.4,-0.6
2022-09,-2.0,-0.3,41.1,11.9,30.8,28.0,42.4,36.0,14.4,2.9,-30.4,2.3,-0.95
2022-10,4.6,-2.7,47.9,13.4,26.5,29.1,40.3,36.0,15.5,2.4,-31.7,2.1,-1.01
2022-11,-1.2,-3.7,43.5,14.8,25.6,25.8,48.0,23.4,11.9,7.3,-29.6,2.9,-0.91
2022-12,-8.9,10.0,45.8,9.8,27.6,27.8,51.9,23.6,13.0,7.5,-28.2,2.3,-0.25
2023-01,-7.7,19.4,46.6,8.2,35.8,23.7,39.0,21.4,25.5,1.7,-21.4,2.5,0.25
2023-02,-7.5,1.9,52.0,16.5,36.0,22.9,38.1,19.5,26.0,2.5,-17.5,2.5,0.55
2023-03,5.3,20.4,48.2,10.0,38.7,22.0,36.4,19.1,24.2,2.7,-21.8,2.6,0.18
2023-04,8.2,14.6,45.1,2.9,34.7,27.4,36.3,17.2,20.3,2.5,-19.5,2.7,0.01
2023-05,-9.8,2.0,44.0,5.2,35.9,26.4,35.5,17.0,23.6,1.7,-19.5,2.5,-0.2
2023-06,-14.4,-3.4,45.1,3.5,34.9,25.8,32.6,13.7,20.3,2.2,-20.4,2.6,-0.13
2023-07,-0.3,-2.0,44.1,7.4,38.3,26.2,33.3,14.3,23.8,1.7,-16.0,2.7,-0.2
2023-08,-12.3,-1.1,47.4,17.4,35.2,26.3,30.9,13.0,23.1,1.7,-15.8,2.5,-0.31
2023-09,0.2,-11.7,44.6,20.8,32.7,25.2,31.1,21.4,23.0,1.6,-19.3,2.7,-0.35
2023-10,-8.4,9.2,43.9,20.4,31.6,26.1,39.4,14.2,11.3,1.5,-17.6,2.9,-0.2
2023-11,-1.3,12.7,44.4,5.1,35.4,28.3,31.4,13.9,21.9,1.8,-22.1,2.6,-0.47
2023-12,-3.1,11.6,46.0,16.8,38.7,27.0,44.9,13.6,23.3,1.3,-24.5,2.8,-0.24
2024-01,1.3,3.4,47.5,10.5,26.8,27.4,53.0,22.6,9.5,2.4,-16.8,3.0,-0.22
2024-02,-3.4,-2.0,46.7,16.5,23.4,28.5,52.3,22.5,10.1,2.4,-13.7,2.7,0.78
2024-03,-2.5,0.5,49.2,17.5,25.7,29.3,50.8,21.9,9.5,2.5,-12.6,2.9,0.84
2024-04,-3.9,-2.3,47.3,9.5,26.8,26.8,49.4,25.3,7.4,2.4,-10.4,2.7,1.22
2024-05,4.6,-10.2,47.1,12.3,27.0,28.4,46.7,22.2,7.5,2.4,-10.3,2.9,0.78
2024-06,-3.8,1.9,46.9,14.9,19.6,28.3,47.0,15.0,8.2,6.6,-10.0,2.6,0.65
2024-07,-9.4,-0.3,46.7,15.1,25.9,30.3,34.3,22.4,8.9,2.4,-12.5,2.6,0.16
2024-08,-3.6,6.8,44.8,9.7,38.4,29.4,43.0,22.2,8.7,2.4,-11.8,2.7,0.08
2024-09,6.1,7.8,47.4,24.9,34.9,33.6,41.4,19.1,7.7,2.8,-11.9,2.8,0.44
2024-10,3.7,3.2,39.1,24.1,27.9,30.9,40.9,7.0,9.3,2.7,-10.9,2.6,0.78
2024-11,4.7,-0.2,45.5,24.6,26.6,33.0,42.5,18.0,9.3,3.2,-13.4,2.8,0.92
2024-12,7.5,-1.9,49.4,33.1,32.8,35.4,47.6,19.3,10.1,2.4,-12.1,2.6,0.37
2025-01,8.8,12.1,45.1,30.8,43.0,34.9,52.6,16.9,8.2,2.6,-11.9,2.5,0.27
2025-02,10.4,10.6,47.9,30.2,43.4,34.1,53.3,15.5,9.2,3.1,-10.7,2.8,0.41
2025-03,0.3,11.8,46.5,18.0,44.2,36.8,53.1,16.4,8.1,2.9,-12.3,2.7,1.09
2025-04,3.8,-1.6,49.6,15.0,34.9,36.7,55.6,16.6,7.8,4.2,-14.6,2.7,1.36
2025-05,9.3,7.2,48.2,30.5,36.5,38.8,49.4,5.3,6.8,3.2,-9.2,2.9,1.36
2025-06,15.1,2.5,52.9,24.2,22.2,37.6,47.9,5.4,8.0,4.2,-8.9,2.9,1.09
2025-07,6.3,0.5,48.9,27.8,26.8,36.6,48.7,5.6,7.7,3.1,-6.0,2.8,0.91
2025-08,9.7,4.8,52.3,35.0,18.9,38.6,47.0,5.8,7.1,3.5,-9.3,3.1,0.84
2025-09,-5.6,6.6,49.2,35.5,20.0,39.7,45.6,4.9,7.3,3.2,-7.3,3.0,0.62
2025-10,5.0,18.6,53.2,28.6,18.4,39.6,42.0,5.9,7.0,3.3,-3.6,3.2,0.44
2025-11,14.3,6.1,49.4,32.3,18.2,34.8,43.6,4.3,8.4,2.8,-2.6,3.1,0.28
2025-12,8.8,3.1,48.1,32.6,20.3,34.3,47.3,4.0,9.3,2.6,-2.5,3.2,0.29
2026-01,-0.9,-2.2,50.7,31.9,18.8,31.8,52.1,3.8,7.8,3.3,1.1,3.2,0.37
2026-02,9.2,6.1,54.2,31.2,18.1,32.2,56.1,3.8,6.4,3.0,-0.8,3.2,0.63
2026-03,15.5,10.6,55.5,12.9,29.7,30.4,44.3,3.3,18.0,3.3,-1.1,3.2,0.95
2026-04,13.3,5.7,49.7,14.3,29.7,31.9,42.7,7.1,20.4,2.2,-6.6,3.1,1.03
2026-05,11.6,6.1,53.5,18.3,15.2,29.2,43.3,4.6,21.0,2.8,-7.6,2.9,0.77
2026-06,11.8,3.5,51.4,26.2,26.9,30.7,39.2,5.9,21.7,3.0,-4.3,3.2,0.51
2026-07,19.0,2.6,58.1,25.5,26.3,32.0,41.1,5.7,18.5,3.0,-4.5,3.3,0.47
2026-08,15.6,3.0,57.6,18.8,27.8,30.5,37.9,4.2,19.3,2.4,-8.1,,0.64
