origin,model,status,n_train
2025-02,GAP_IMPORTED_R23,estimated,40
2025-02,GAP_JOINT_R23,estimated,40
2025-02,GAP_FREE_R23,estimated,40
2025-02,GAP_ENET_R23,estimated,40
2025-02,GAP_HALF_R23,estimated,40
2025-03,GAP_CALIBRATION_R23,estimated,40
2025-03,GAP_DOMESTIC_R23,estimated,40
2025-03,GAP_IMPORTED_R23,estimated,40
2025-03,GAP_JOINT_R23,estimated,40
2025-03,GAP_FREE_R23,estimated,40
2025-03,GAP_ENET_R23,estimated,40
2025-03,GAP_HALF_R23,estimated,40
2025-04,GAP_CALIBRATION_R23,estimated,40
2025-04,GAP_DOMESTIC_R23,estimated,40
2025-04,GAP_IMPORTED_R23,estimated,40
2025-04,GAP_JOINT_R23,estimated,40
2025-04,GAP_FREE_R23,estimated,40
2025-04,GAP_ENET_R23,estimated,40
2025-04,GAP_HALF_R23,estimated,40
2025-05,GAP_CALIBRATION_R23,estimated,40
2025-05,GAP_DOMESTIC_R23,estimated,40
2025-05,GAP_IMPORTED_R23,estimated,40
2025-05,GAP_JOINT_R23,estimated,40
2025-05,GAP_FREE_R23,estimated,40
2025-05,GAP_ENET_R23,estimated,40
2025-05,GAP_HALF_R23,estimated,40
2025-06,GAP_CALIBRATION_R23,estimated,40
2025-06,GAP_DOMESTIC_R23,estimated,40
2025-06,GAP_IMPORTED_R23,estimated,40
2025-06,GAP_JOINT_R23,estimated,40
2025-06,GAP_FREE_R23,estimated,40
2025-06,GAP_ENET_R23,estimated,40
2025-06,GAP_HALF_R23,estimated,40
2025-07,GAP_CALIBRATION_R23,estimated,40
2025-07,GAP_DOMESTIC_R23,estimated,40
2025-07,GAP_IMPORTED_R23,estimated,40
2025-07,GAP_JOINT_R23,estimated,40
2025-07,GAP_FREE_R23,estimated,40
2025-07,GAP_ENET_R23,estimated,40
2025-07,GAP_HALF_R23,estimated,40
2025-08,GAP_CALIBRATION_R23,estimated,40
2025-08,GAP_DOMESTIC_R23,estimated,40
2025-08,GAP_IMPORTED_R23,estimated,40
2025-08,GAP_JOINT_R23,estimated,40
2025-08,GAP_FREE_R23,estimated,40
2025-08,GAP_ENET_R23,estimated,40
2025-08,GAP_HALF_R23,estimated,40
2025-09,GAP_CALIBRATION_R23,estimated,40
2025-09,GAP_DOMESTIC_R23,estimated,40
2025-09,GAP_IMPORTED_R23,estimated,40
2025-09,GAP_JOINT_R23,estimated,40
2025-09,GAP_FREE_R23,estimated,40
2025-09,GAP_ENET_R23,estimated,40
2025-09,GAP_HALF_R23,estimated,40
2025-10,GAP_CALIBRATION_R23,estimated,40
2025-10,GAP_DOMESTIC_R23,estimated,40
2025-10,GAP_IMPORTED_R23,estimated,40
2025-10,GAP_JOINT_R23,estimated,40
2025-10,GAP_FREE_R23,estimated,40
2025-10,GAP_ENET_R23,estimated,40
2025-10,GAP_HALF_R23,estimated,40
2025-11,GAP_CALIBRATION_R23,estimated,40
2025-11,GAP_DOMESTIC_R23,estimated,40
2025-11,GAP_IMPORTED_R23,estimated,40
2025-11,GAP_JOINT_R23,estimated,40
2025-11,GAP_FREE_R23,estimated,40
2025-11,GAP_ENET_R23,estimated,40
2025-11,GAP_HALF_R23,estimated,40
2025-12,GAP_CALIBRATION_R23,estimated,40
2025-12,GAP_DOMESTIC_R23,estimated,40
2025-12,GAP_IMPORTED_R23,estimated,40
2025-12,GAP_JOINT_R23,estimated,40
2025-12,GAP_FREE_R23,estimated,40
2025-12,GAP_ENET_R23,estimated,40
2025-12,GAP_HALF_R23,estimated,40
2026-01,GAP_CALIBRATION_R23,estimated,40
2026-01,GAP_DOMESTIC_R23,estimated,40
2026-01,GAP_IMPORTED_R23,estimated,40
2026-01,GAP_JOINT_R23,estimated,40
2026-01,GAP_FREE_R23,estimated,40
2026-01,GAP_ENET_R23,estimated,40
2026-01,GAP_HALF_R23,estimated,40
