threshold,clock,report_date,origin,as_of_utc,model,quarter,actual_turn,model_turn,cnb_turn,model_hit,cnb_hit,model_false_call,fully_future,actual_before,actual_centre,actual_after,model_before,model_centre,model_after,cnb_before,cnb_centre,cnb_after
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,STABLE_PIPELINE_R14B,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.324498751060002,3.0204709822377147,2.7597451049527515,2.11409498,2.51517686,2.35125799
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,STATE_FAST_R15,2024Q3,0,0,0,False,False,False,True,2.4619743363836157,2.3104616266815143,2.8836531940027847,2.478361513052893,2.418176802744412,3.190628593126707,2.43930764498391,2.11409498,2.51517686
0.5,report,2024-05-09,2024-03,2024-04-09 21:59:00+00:00,STATE_FAST_R15,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.418176802744412,3.190628593126707,3.056746261578066,2.11409498,2.51517686,2.35125799
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,COMBO_ALL_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.183689843674062,2.65196909253272,2.2237476974718926,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,COMBO_ALL_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.65196909253272,2.2237476974718926,1.7955832230798414,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,COMBO_CORE_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.1126773333315296,2.618785264423016,2.231233757314849,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,COMBO_CORE_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.618785264423016,2.231233757314849,1.8541628197627569,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,COMBO_FOOD_FUEL_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.2156706367654437,2.7711455925799977,2.4569680340506728,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,COMBO_FOOD_FUEL_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.7711455925799977,2.4569680340506728,2.1598641332339983,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_FAST_H0_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.1460600991901733,2.741311429057891,2.4696677462941223,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_FAST_H0_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.741311429057891,2.4696677462941223,2.225569915849967,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_NEWS_H0_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.0803593040530584,2.5175128255891326,2.0281583573406925,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_NEWS_H0_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.5175128255891326,2.0281583573406925,1.517361847116991,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_NEWS_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.0653597056416806,2.4804806662512022,1.9693239397145152,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_NEWS_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.4804806662512022,1.9693239397145152,1.4361770237182896,2.31618987,2.18682304,1.74934064
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_ROBUST_R17,2024Q4,0,0,0,False,False,False,True,2.3104616266815143,2.8836531940027847,2.731002175839953,2.0954972396360225,2.570054490216134,2.130040613262448,2.03928603786943,2.31618987,2.18682304
0.5,report,2024-08-08,2024-06,2024-07-09 21:59:00+00:00,CORE_ROBUST_R17,2025Q1,0,0,0,False,False,False,True,2.8836531940027847,2.731002175839953,2.380373322135417,2.570054490216134,2.130040613262448,1.676355549257619,2.31618987,2.18682304,1.74934064
