threshold,clock,model,frame,n,actual_turns,calls,hits,false_calls,cnb_calls,cnb_hits,correct_model_cnb_not,distinct_actual_turns,distinct_model_hits
0.25,cutoff,MONTHLY_OWN_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_COMPONENT_HALF_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_COMPONENT_HALF_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_COMPONENT_SELECT_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_COMPONENT_SELECT_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_FAST_CURRENT_HALF_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_FAST_CURRENT_HALF_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_POOL_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,PATH_POOL_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,RF_RESIDUAL_R15,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,RF_RESIDUAL_R15,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,STABLE_LOCAL_CORE_R14B,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,STABLE_LOCAL_CORE_R14B,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,cutoff,STABLE_PIPELINE_R14B,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,STABLE_PIPELINE_R14B,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,STATE_FAST_R15,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,cutoff,STATE_FAST_R15,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,COMBO_ALL_R17,unfinished_or_future_quarter,31,10,11,2,9,2,0,2,5,1
0.25,report,COMBO_ALL_R17,fully_future_centre,31,10,11,2,9,2,0,2,5,1
0.25,report,COMBO_CORE_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,COMBO_CORE_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,COMBO_FOOD_FUEL_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,report,COMBO_FOOD_FUEL_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
0.25,report,CORE_FAST_H0_R17,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,report,CORE_FAST_H0_R17,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,report,CORE_NEWS_H0_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,report,CORE_NEWS_H0_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
0.25,report,CORE_NEWS_R17,unfinished_or_future_quarter,31,10,11,2,9,2,0,2,5,1
0.25,report,CORE_NEWS_R17,fully_future_centre,31,10,11,2,9,2,0,2,5,1
0.25,report,CORE_ROBUST_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,CORE_ROBUST_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,DAMPED_P95_Q001_R16,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,DAMPED_P95_Q001_R16,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,FOOD_ASYMMETRIC_R17,unfinished_or_future_quarter,31,10,9,2,7,2,0,2,5,1
0.25,report,FOOD_ASYMMETRIC_R17,fully_future_centre,31,10,9,2,7,2,0,2,5,1
0.25,report,FOOD_HALF_CORRECTION_R17,unfinished_or_future_quarter,31,10,13,2,11,2,0,2,5,1
0.25,report,FOOD_HALF_CORRECTION_R17,fully_future_centre,31,10,13,2,11,2,0,2,5,1
0.25,report,FOOD_OWN_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,report,FOOD_OWN_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
0.25,report,FOOD_PERSISTENCE_R17,unfinished_or_future_quarter,31,10,10,1,9,2,0,1,5,1
0.25,report,FOOD_PERSISTENCE_R17,fully_future_centre,31,10,10,1,9,2,0,1,5,1
0.25,report,FOOD_SEASONAL_R17,unfinished_or_future_quarter,31,10,8,2,6,2,0,2,5,1
0.25,report,FOOD_SEASONAL_R17,fully_future_centre,31,10,8,2,6,2,0,2,5,1
0.25,report,FOOD_SYMMETRIC_R17,unfinished_or_future_quarter,31,10,10,2,8,2,0,2,5,1
0.25,report,FOOD_SYMMETRIC_R17,fully_future_centre,31,10,10,2,8,2,0,2,5,1
