geo,origin,band,label_end,f,r,mu
CZ,2019-09,2,2020-03,0.31214007410065264,0.37916746408736907,0.07471248952000284
CZ,2019-09,3,2020-06,0.30899483427070357,0.3970632612776271,0.07471248952000284
CZ,2019-09,4,2020-09,0.30738447147776954,0.21860630051267227,0.07471248952000284
CZ,2019-10,1,2020-01,0.07167054320438652,0.31850352543401367,0.07885209914135867
CZ,2019-10,2,2020-04,0.08547490720942731,0.12994221692166397,0.07885209914135867
CZ,2019-10,3,2020-07,0.0925427415800082,0.69033659941993,0.07885209914135867
CZ,2019-10,4,2020-10,0.09616147277774563,0.05401343447682285,0.07885209914135867
CZ,2019-11,1,2020-02,0.20641760555426059,0.45961499795309474,0.08299170876271451
CZ,2019-11,2,2020-05,0.2075824891840887,0.1903513380394922,0.08299170876271451
CZ,2019-11,3,2020-08,0.20817890960256066,0.4541024504421903,0.08299170876271451
CZ,2019-11,4,2020-11,0.20848427685681828,0.0887269898176533,0.08299170876271451
CZ,2019-12,1,2020-03,0.1970709984326212,0.37645033191198635,0.08299170876271451
CZ,2019-12,2,2020-06,0.1987219744376372,0.3943461291022443,0.08299170876271451
CZ,2019-12,3,2020-09,0.19956727415220535,0.23454497052941017,0.08299170876271451
CZ,2019-12,4,2020-12,0.20000006760606429,0.15413766693933856,0.08299170876271451
CZ,2020-01,1,2020-04,0.16134244442792856,0.13168918595760068,0.08299170876271451
CZ,2020-01,2,2020-07,0.16547513613308973,0.6920835684558667,0.08299170876271451
CZ,2020-01,3,2020-10,0.1675910742861322,0.043842064898382306,0.08299170876271451
CZ,2020-01,4,2021-01,0.16867443462049,0.25877908207940853,0.08299170876271451
CZ,2020-02,1,2020-05,0.3416257157443214,0.1974446985861519,0.08303345086444769
CZ,2020-02,2,2020-08,0.33143589702050485,0.46119581098884993,0.08303345086444769
CZ,2020-02,3,2020-11,0.3262187098339107,0.09995141548810071,0.08303345086444769
CZ,2020-02,4,2021-02,0.32354750999437454,0.23513181777393033,0.08303345086444769
CZ,2020-03,1,2020-06,0.41718991447082776,0.4062124491597347,0.08307519296618086
CZ,2020-03,2,2020-09,0.4030130176642078,0.24641129058690056,0.08307519296618086
CZ,2020-03,3,2020-12,0.39575444649921837,0.1668033843436716,0.08307519296618086
CZ,2020-03,4,2021-03,0.39203805806274367,0.20771349706758083,0.08307519296618086
CZ,2020-04,1,2020-07,0.20555670275894578,0.6996428501960935,0.08307519296618086
CZ,2020-04,2,2020-10,0.2099757370007895,0.0514013466386091,0.08307519296618086
CZ,2020-04,3,2021-01,0.21223828253261345,0.23303445916236623,0.08307519296618086
CZ,2020-04,4,2021-04,0.21339670584490733,0.07631217573166628,0.08307519296618086
CZ,2020-05,1,2020-08,0.12170806298583152,0.4585627949387381,0.08307519296618086
CZ,2020-05,2,2020-11,0.13180291972564975,0.09731839943798877,0.08307519296618086
CZ,2020-05,3,2021-02,0.13697148637643672,0.2175380288042833,0.08307519296618086
CZ,2020-05,4,2021-05,0.1396177925016396,0.18751852631813204,0.08307519296618086
CZ,2020-06,1,2020-09,0.3717501494899067,0.24273767797801446,0.0830876431467832
CZ,2020-06,2,2020-12,0.36088730020679227,0.16312977173478552,0.0830876431467832
CZ,2020-06,3,2021-03,0.3553255213738377,0.2220674350745918,0.0830876431467832
CZ,2020-06,4,2021-06,0.352477890611365,0.46540952672617814,0.0830876431467832
CZ,2020-07,1,2020-10,0.40086974219470095,0.05313915590787114,0.08310009332738552
CZ,2020-07,2,2021-01,0.389615652133849,0.23477226843162832,0.08310009332738552
CZ,2020-07,3,2021-04,0.3838535580226927,0.08551527150501403,0.08310009332738552
CZ,2020-07,4,2021-07,0.3809033658377808,0.8185857699516181,0.08310009332738552
CZ,2020-08,1,2020-11,0.5537247996189724,0.10580887568846241,0.087222826847552
CZ,2020-08,2,2021-02,0.5327221070858176,0.22602850505475694,0.087222826847552
CZ,2020-08,3,2021-05,0.5219687285088422,0.18521061588416723,0.087222826847552
CZ,2020-08,4,2021-08,0.5164629986774307,1.006642164274348,0.087222826847552
CZ,2020-09,1,2020-12,0.3512083497542558,0.1656008636067272,0.09134556036771847
CZ,2020-09,2,2021-03,0.3492920313713707,0.22453852694653353,0.09134556036771847
CZ,2020-09,3,2021-06,0.3483108763593335,0.46426248170142426,0.09134556036771847
CZ,2020-09,4,2021-09,0.34780852499317044,1.0036274339782933,0.09134556036771847
CZ,2020-10,1,2021-01,0.16162055289537527,0.2312705824403558,0.09134569435497335
CZ,2020-10,2,2021-04,0.17450681343454086,0.08201358551374151,0.09134569435497335
CZ,2020-10,3,2021-07,0.1811045788305936,0.7955387025395849,0.09134569435497335
CZ,2020-10,4,2021-10,0.18448263471337265,1.0134958942562047,0.09134569435497335
CZ,2020-11,1,2021-02,0.2151785300180502,0.21924026648792136,0.09134582834222821
CZ,2020-11,2,2021-05,0.2218128569434036,0.17842237731733168,0.09134582834222821
CZ,2020-11,3,2021-08,0.22520963232918453,1.0131330765372015,0.09134582834222821
CZ,2020-11,4,2021-11,0.2269487813267044,1.076187712351911,0.09134582834222821
CZ,2020-12,1,2021-03,0.21719967119408365,0.21927862078171376,0.09135417002558659
CZ,2020-12,2,2021-06,0.22248847370841365,0.4590025755366045,0.09135417002558659
CZ,2020-12,3,2021-09,0.22519634059575064,1.0186405023696345,0.09135417002558659
