origin,h,target,as_of_utc,model,mm_forecast,contribution_core,contribution_food,contribution_alcohol_tobacco,contribution_administered,contribution_fuel,contribution_wedge,yy_exante,status,value_core,value_food,value_fuel,value_administered,value_alcohol_tobacco,value_wedge,weight_food,weight_fuel,weight_alc,weight_administered,weight_core
2026-07,7,2027-02,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.1785374962691783,0.21405152090397017,-0.03258365454304331,-0.03259694268202019,0.008948809780134336,0.0,0.02071776281013727,2.599581374770384,estimated,0.3971727047566251,-0.1932783017580896,0.0,0.05,-0.39334647163805725,0.02071776281013727,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,8,2027-03,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.010660146813324722,-0.029532056753177972,-0.007281303663047706,0.05068234157316755,0.017897619560268672,0.0,-0.02110645390388581,2.0234273071657856,estimated,-0.05479674616723688,-0.043190919690108354,0.0,0.1,0.6115825163921406,-0.02110645390388581,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,9,2027-04,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.22457297935151385,0.1528918412686752,0.04290360943613729,0.011196495739878465,0.017897619560268672,0.0,-0.00031658665344573767,1.7995267559221362,estimated,0.2836908884153321,0.25449376036548355,0.0,0.1,0.13510782704234856,-0.00031658665344573767,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,10,2027-05,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.34310137815573444,0.12017272454915469,0.138223841710636,0.05944188058388438,0.035795239120537344,0.0,-0.010532307808477949,1.9552164810996826,estimated,0.22298055087669025,0.8199101593413678,0.0,0.2,0.7172836490613056,-0.010532307808477949,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,11,2027-06,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.1919264639168211,0.18341982703760737,-0.02553283148076078,0.020803321576680946,0.017897619560268672,0.0,-0.004661472776975082,2.474567561916446,estimated,0.34033558137249226,-0.15145453684938343,0.0,0.1,0.2510331481195273,-0.004661472776975082,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,12,2027-07,2026-08-04T21:59:00+00:00,STATE_FAST_R15+FOOD_NORM_SHIFT_R24,0.40262466182904866,0.48546616539097825,-0.09421842065511173,0.016390202777001293,0.0,0.0,-0.0050132856838191915,2.428610692663209,estimated,0.900782714189001,-0.5588807208379045,0.0,0.0,0.19778015670536478,-0.0050132856838191915,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,0,2026-07,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.44767252748945857,0.4172707359470312,-0.09207647901712651,0.016390202777001293,0.0,0.11110135346637179,-0.0050132856838191915,1.541593368596006,estimated,,,,,,,,,,,
2026-07,1,2026-08,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.2582792162443425,0.10011966503445503,-0.08696197671311283,0.018522421906986303,0.008948809780134336,0.20994129776670903,0.007708998469170667,1.7386788773190658,estimated,0.1857720888556614,-0.515837262957525,6.853947466606769,0.05,0.22350959028201067,0.007708998469170667,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,2,2026-09,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,-0.4110419543779782,-0.30776820649499353,-0.13824320382945238,0.036596633233260144,0.02684642934040301,0.0,-0.028473606627195412,1.907666277398509,estimated,-0.571064062032763,-0.8200250107138043,0.0,0.15000000000000002,0.441610634977587,-0.028473606627195412,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,3,2026-10,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.3368226507781142,0.26793287677047084,0.09376477512424121,0.011494558542197678,-0.008948809780134336,0.0,-0.0274207498786612,1.7268866320346985,estimated,0.49714958768217593,0.5561898060514439,0.0,-0.05,0.1387045432363333,-0.0274207498786612,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,4,2026-11,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.024133098320043546,0.020271572911637756,-0.003973430206682568,-0.005139468970304256,0.008948809780134336,0.0,0.004025614805258276,2.0784012517886223,estimated,0.037613913739012204,-0.023569420105635966,0.0,0.05,-0.062017840301247865,0.004025614805258276,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,5,2026-12,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,-0.07224249466933078,0.053157869212685255,-0.06468839733025711,-0.059562173762270416,0.0,0.0,-0.0011497927894885101,2.267555869412479,estimated,0.09863445307530883,-0.38371581563781415,0.0,0.0,-0.7187352237608671,-0.0011497927894885101,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,6,2027-01,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,1.0700684942264205,0.2830295075449063,0.4076709313600121,0.2795888306661416,0.11633452714174637,0.0,-0.016555302486385832,2.503291605519615,estimated,0.5251613936813708,2.4182046610307117,0.0,0.65,3.3737912516745685,-0.016555302486385832,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,7,2027-02,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.2027205817173463,0.21743548744460225,-0.011784535635507363,-0.03259694268202019,0.008948809780134336,0.0,0.02071776281013727,2.7767589249730387,estimated,0.40345165637571556,-0.06990299481691645,0.0,0.05,-0.39334647163805725,0.02071776281013727,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,8,2027-03,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.03477772380217388,-0.02624487597717082,0.013549092549794296,0.05068234157316755,0.017897619560268672,0.0,-0.02110645390388581,2.2242553486306305,estimated,-0.04869738058311443,0.08036991660736025,0.0,0.1,0.6115825163921406,-0.02110645390388581,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,9,2027-04,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.24869826254741012,0.15612469255962297,0.06379604134108574,0.011196495739878465,0.017897619560268672,0.0,-0.00031658665344573767,2.0244666898447803,estimated,0.2896894456125861,0.37842257727736983,0.0,0.1,0.13510782704234856,-0.00031658665344573767,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,10,2027-05,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.36729019552889386,0.12335128064961895,0.15923410298333115,0.05944188058388438,0.035795239120537344,0.0,-0.010532307808477949,2.205132175488825,estimated,0.22887836332067857,0.9445379113608928,0.0,0.2,0.7172836490613056,-0.010532307808477949,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
2026-07,11,2027-06,2026-08-04T21:59:00+00:00,STABLE_LOCAL_CORE_R14B,0.21587465719618953,0.18656018558905524,-0.004724996752840251,0.020803321576680946,0.017897619560268672,0.0,-0.004661472776975082,2.750310142657638,estimated,0.34616251824505817,-0.028027529784759225,0.0,0.1,0.2510331481195273,-0.004661472776975082,0.168584131,0.030630713,0.082870815,0.1789761956026867,0.5389381453973132
