a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage,frequency,seasonal_adjustment
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2010-06,9407.0,level,t_plus_41d,2010-08-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2010-07,8679.0,level,t_plus_41d,2010-09-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2010-08,10087.0,level,t_plus_41d,2010-10-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2010-09,9054.0,level,t_plus_41d,2010-11-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2010-10,9380.0,level,t_plus_41d,2010-12-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2010-11,8635.0,level,t_plus_41d,2011-01-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2010-12,8456.0,level,t_plus_41d,2011-02-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-01,6369.0,level,t_plus_41d,2011-03-13,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-02,7120.0,level,t_plus_41d,2011-04-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-03,8550.0,level,t_plus_41d,2011-05-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-04,9210.0,level,t_plus_41d,2011-06-10,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-05,10568.0,level,t_plus_41d,2011-07-11,"current, downloaded 2026-09-12",M,
13,,czso:bvzcr_tab6:building_permits_granted,data\paper_replication\official_czso_20260912_permits\raw\bvzcr090726_06.xlsx,2011-06,10147.0,level,t_plus_41d,2011-08-10,"current, downloaded 2026-09-12",M,
