H,sample,name,n_own,rmse_own,bias_own,n_theirs,rmse_theirs,bias_theirs,ratio_to_baseline,rmse_diff,n_diff
12,origins_2019_2021,FOOD_ECM_PPI_R27,32,8.418145786365553,-4.202575572839961,32,8.418145786365553,-4.202575572839961,0.9667891177451212,0.0,0
12,origins_2019_2021,FOOD_ECM_A002_R27,32,8.650984711721946,-4.287511556913481,32,8.650984711721946,-4.287511556913481,0.993529702303139,0.0,0
12,origins_2019_2021,FOOD_ECM_A005_R27,32,8.582712549894865,-4.34376046894573,32,8.582712549894865,-4.343760468945731,0.9856889277698372,0.0,0
12,origins_2019_2021,FOOD_ECM_A010_R27,32,8.50292281525794,-4.412182444046109,32,8.50292281525794,-4.412182444046109,0.9765254077842734,0.0,0
12,origins_2019_2021,FOOD_ECM_A015_R27,32,8.454269364769857,-4.455527451729894,32,8.454269364769857,-4.455527451729894,0.9709377608527112,0.0,0
12,origins_2022_2023,STATE_FAST_R15,24,8.834515872395777,0.851396414255826,24,8.834515872395777,0.8513964142558258,1.1035793108420724,0.0,0
12,origins_2022_2023,FOOD_NORM_SHIFT_R24,24,8.005329372888214,-0.9848953565030131,24,8.005329372888216,-0.9848953565030132,1.0,1.7763568394002505e-15,0
12,origins_2022_2023,FOOD_ECM_R27,24,7.564233071708692,-1.5202376039558676,24,7.564233071708692,-1.5202376039558676,0.944899668629077,0.0,0
12,origins_2022_2023,FOOD_ECM_PPI_R27,24,7.471294669126744,-1.5871837918803975,24,7.471294669126744,-1.5871837918803977,0.9332901022698584,0.0,0
12,origins_2022_2023,FOOD_ECM_A002_R27,24,7.920543319557552,-1.0820398222746141,24,7.920543319557552,-1.0820398222746137,0.9894087988911724,0.0,0
12,origins_2022_2023,FOOD_ECM_A005_R27,24,7.8174580567273795,-1.2034227795612544,24,7.8174580567273795,-1.2034227795612542,0.9765317193822026,0.0,0
12,origins_2022_2023,FOOD_ECM_A010_R27,24,7.696512565181728,-1.3510747319459515,24,7.696512565181728,-1.3510747319459515,0.9614235975408628,0.0,0
12,origins_2022_2023,FOOD_ECM_A015_R27,24,7.622519421482294,-1.4446115671696023,24,7.622519421482294,-1.444611567169602,0.9521806119930069,0.0,0
12,origins_2024plus,STATE_FAST_R15,19,4.129167990823488,2.305213785291189,19,4.129167990823488,2.305213785291189,1.2241393797582862,0.0,0
12,origins_2024plus,FOOD_NORM_SHIFT_R24,19,3.3731191554664446,0.18656149801187352,19,3.3731191554664446,0.1865614980118736,1.0,0.0,0
12,origins_2024plus,FOOD_ECM_R27,19,2.960516907618535,0.5000568077044788,19,2.960516907618535,0.5000568077044787,0.8776793143582698,0.0,0
12,origins_2024plus,FOOD_ECM_PPI_R27,19,3.1022233305888998,0.2377718300952749,19,3.1022233305889,0.2377718300952749,0.919689814562722,4.440892098500626e-16,0
12,origins_2024plus,FOOD_ECM_A002_R27,19,3.289956951588013,0.2434490956690575,19,3.2899569515880125,0.2434490956690572,0.9753456074198684,4.440892098500626e-16,0
12,origins_2024plus,FOOD_ECM_A005_R27,19,3.190804668230647,0.3145307036815668,19,3.190804668230647,0.3145307036815669,0.9459507717240464,0.0,0
12,origins_2024plus,FOOD_ECM_A010_R27,19,3.0780112748888864,0.4009953807359123,19,3.0780112748888864,0.4009953807359121,0.9125118719570552,0.0,0
12,origins_2024plus,FOOD_ECM_A015_R27,19,3.0114063774813036,0.4557703574272241,19,3.011406377481304,0.4557703574272241,0.8927660834634458,4.440892098500626e-16,0
