a6_number,component,source_id,source_file,period,value,value_kind,availability_rule,available_from_assumed,vintage
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-01,-0.2,balance,ec_bcs_next_month,2003-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-02,8.3,balance,ec_bcs_next_month,2003-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-03,7.5,balance,ec_bcs_next_month,2003-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-04,21.7,balance,ec_bcs_next_month,2003-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-05,12.8,balance,ec_bcs_next_month,2003-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-06,7.2,balance,ec_bcs_next_month,2003-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-07,9.0,balance,ec_bcs_next_month,2003-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-08,9.3,balance,ec_bcs_next_month,2003-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-09,8.8,balance,ec_bcs_next_month,2003-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-10,34.7,balance,ec_bcs_next_month,2003-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-11,11.0,balance,ec_bcs_next_month,2003-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2003-12,31.5,balance,ec_bcs_next_month,2004-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-01,25.3,balance,ec_bcs_next_month,2004-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-02,21.5,balance,ec_bcs_next_month,2004-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-03,13.7,balance,ec_bcs_next_month,2004-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-04,15.5,balance,ec_bcs_next_month,2004-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-05,19.8,balance,ec_bcs_next_month,2004-06-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-06,24.3,balance,ec_bcs_next_month,2004-07-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-07,20.8,balance,ec_bcs_next_month,2004-08-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-08,16.1,balance,ec_bcs_next_month,2004-09-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-09,6.8,balance,ec_bcs_next_month,2004-10-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-10,12.3,balance,ec_bcs_next_month,2004-11-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-11,24.5,balance,ec_bcs_next_month,2004-12-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2004-12,24.7,balance,ec_bcs_next_month,2005-01-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-01,20.5,balance,ec_bcs_next_month,2005-02-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-02,21.2,balance,ec_bcs_next_month,2005-03-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-03,12.6,balance,ec_bcs_next_month,2005-04-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-04,4.5,balance,ec_bcs_next_month,2005-05-01,current
1,,eurostat:ei_bsin_m_r2:BS-IPT:SA:CZ,official_eurostat_20260912/tidy/ei_bsin_m_r2.csv,2005-05,19.8,balance,ec_bcs_next_month,2005-06-01,current
