model,clock,threshold,sample,scope,considered_pairs,all_calls,calls_without_eligible_revision,n_pairs,n_reports,n_target_quarters,calls,revision_direction_matches,revision_confirmations,mature_calls,material_gains,material_losses,joint_successes,unconfirmed_calls,mean_abs_error_gain
DAMPED_P95_Q001_R16,report,0.5,reports_2024plus,first_call_episodes,4,4,2,2,1,2,2,2,1,2,0,2,0,1,-0.832678154073062
PREV_CNB,cutoff,0.3,full,all_pairs,161,57,23,93,17,21,34,22,13,25,4,20,1,21,-1.6480197516508497
PREV_CNB,cutoff,0.3,full,first_call_episodes,46,46,18,28,10,19,28,19,11,19,3,15,1,17,-1.1270791002217142
PREV_CNB,cutoff,0.3,reports_2024plus,all_pairs,93,26,12,55,10,14,14,12,8,5,1,3,0,6,-0.24119030618395465
PREV_CNB,cutoff,0.3,reports_2024plus,first_call_episodes,25,25,11,14,4,11,14,12,8,5,1,3,0,6,-0.24119030618395465
PREV_CNB,cutoff,0.5,full,all_pairs,161,37,16,93,17,21,21,13,10,17,2,15,1,11,-2.3552290605008817
PREV_CNB,cutoff,0.5,full,first_call_episodes,28,28,13,15,9,12,15,10,8,11,1,10,1,7,-1.8411730128596646
PREV_CNB,cutoff,0.5,reports_2024plus,all_pairs,93,13,6,55,10,14,7,7,7,3,0,3,0,0,-0.5033620715138821
PREV_CNB,cutoff,0.5,reports_2024plus,first_call_episodes,13,13,6,7,4,6,7,7,7,3,0,3,0,0,-0.5033620715138821
PREV_CNB,report,0.3,full,all_pairs,161,57,23,93,17,21,34,22,13,25,4,20,1,21,-1.6480197516508497
PREV_CNB,report,0.3,full,first_call_episodes,46,46,18,28,10,19,28,19,11,19,3,15,1,17,-1.1270791002217142
PREV_CNB,report,0.3,reports_2024plus,all_pairs,93,26,12,55,10,14,14,12,8,5,1,3,0,6,-0.24119030618395465
PREV_CNB,report,0.3,reports_2024plus,first_call_episodes,25,25,11,14,4,11,14,12,8,5,1,3,0,6,-0.24119030618395465
PREV_CNB,report,0.5,full,all_pairs,161,37,16,93,17,21,21,13,10,17,2,15,1,11,-2.3552290605008817
PREV_CNB,report,0.5,full,first_call_episodes,28,28,13,15,9,12,15,10,8,11,1,10,1,7,-1.8411730128596646
PREV_CNB,report,0.5,reports_2024plus,all_pairs,93,13,6,55,10,14,7,7,7,3,0,3,0,0,-0.5033620715138821
PREV_CNB,report,0.5,reports_2024plus,first_call_episodes,13,13,6,7,4,6,7,7,7,3,0,3,0,0,-0.5033620715138821
RW_YY,cutoff,0.3,full,all_pairs,161,120,32,115,18,22,88,57,40,74,11,61,9,48,-5.2575457794578115
RW_YY,cutoff,0.3,full,first_call_episodes,53,53,14,39,10,22,39,30,19,28,7,19,6,20,-2.6923473419646724
RW_YY,cutoff,0.3,reports_2024plus,all_pairs,93,54,17,63,10,14,37,27,16,23,3,18,2,21,-1.3393260204057156
RW_YY,cutoff,0.3,reports_2024plus,first_call_episodes,36,36,11,25,7,13,25,20,11,14,3,9,2,14,-0.20751302742659666
RW_YY,cutoff,0.5,full,all_pairs,161,102,26,115,18,22,76,47,35,66,10,55,9,41,-5.871815332795774
RW_YY,cutoff,0.5,full,first_call_episodes,41,41,11,30,8,22,30,23,17,22,6,15,6,13,-3.390813888318604
RW_YY,cutoff,0.5,reports_2024plus,all_pairs,93,36,11,63,10,14,25,17,11,15,2,12,2,14,-1.9523948502649597
RW_YY,cutoff,0.5,reports_2024plus,first_call_episodes,24,24,8,16,5,12,16,13,9,8,2,5,2,7,-0.26467029399635267
RW_YY,report,0.3,full,all_pairs,161,130,37,115,18,22,93,57,38,74,11,62,10,55,-5.185374225996354
RW_YY,report,0.3,full,first_call_episodes,55,55,19,36,9,22,36,28,18,25,7,17,6,18,-2.9819719039542547
RW_YY,report,0.3,reports_2024plus,all_pairs,93,64,22,63,10,14,42,27,13,23,3,19,2,29,-1.2749768482546404
RW_YY,report,0.3,reports_2024plus,first_call_episodes,38,38,16,22,6,13,22,18,10,11,3,7,2,12,-0.2383706788907081
RW_YY,report,0.5,full,all_pairs,161,106,29,115,18,22,77,49,35,67,10,56,10,42,-5.698529985834635
RW_YY,report,0.5,full,first_call_episodes,43,43,13,30,8,20,30,25,17,24,6,17,6,13,-3.1372869716507927
RW_YY,report,0.5,reports_2024plus,all_pairs,93,41,15,63,10,14,26,19,10,16,2,13,2,16,-1.71301773981544
