scope,metric,origin,target,h,model,benchmark,forecast,baseline,actual,loss_difference,absolute_loss_difference,block
all_models_common,monthly,2025-07,2025-08,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.05,0.05,-0.1,0.0,0.0,administered
all_models_common,monthly,2025-08,2025-09,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.15000000000000002,0.15000000000000002,-0.1,0.0,0.0,administered
all_models_common,monthly,2025-09,2025-10,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.0,0.0,-0.1,0.0,0.0,administered
all_models_common,monthly,2025-10,2025-11,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.05,0.05,-0.4,0.0,0.0,administered
all_models_common,monthly,2025-11,2025-12,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.0,0.0,-0.1,0.0,0.0,administered
all_models_common,monthly,2025-12,2026-01,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.65,0.65,-0.9,0.0,0.0,administered
all_models_common,monthly,2026-01,2026-02,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.05,0.05,-0.1,0.0,0.0,administered
all_models_common,monthly,2026-02,2026-03,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.1,0.1,0.1,0.0,0.0,administered
all_models_common,monthly,2026-03,2026-04,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.1,0.1,0.2,0.0,0.0,administered
all_models_common,monthly,2026-04,2026-05,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.2,0.2,0.1,0.0,0.0,administered
all_models_common,monthly,2026-05,2026-06,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.1,0.1,0.0,0.0,0.0,administered
all_models_common,monthly,2026-06,2026-07,1,DAMPED_P95_Q001_R16,STATE_FAST_R15,0.0,0.0,0.2,0.0,0.0,administered
all_models_common,monthly,2019-02,2019-03,1,CORE_PANEL_SHRINK_R25,STATE_FAST_R15,0.1,0.1,0.9,0.0,0.0,administered
all_models_common,monthly,2019-03,2019-04,1,CORE_PANEL_SHRINK_R25,STATE_FAST_R15,0.1,0.1,0.1,0.0,0.0,administered
all_models_common,monthly,2019-04,2019-05,1,CORE_PANEL_SHRINK_R25,STATE_FAST_R15,0.1,0.1,0.3,0.0,0.0,administered
all_models_common,monthly,2019-05,2019-06,1,CORE_PANEL_SHRINK_R25,STATE_FAST_R15,0.0,0.0,0.2,0.0,0.0,administered
