model,H,sample,block,n,rms,bias
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,administered,24,1.8785714845885884,-0.7030377806586383
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,alcohol_tobacco,24,0.06975091203136588,-0.015765166823283175
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,wedge,24,0.1929960972587583,0.022657406019485297
CORE_PANEL_SHRINK_R25,3,origins_2022_2023,total,24,2.4506627495636275,-1.1050956334247346
CORE_PANEL_STATE_R25,3,origins_2022_2023,h0,24,0.6988558259517414,0.0020075545629474286
CORE_PANEL_STATE_R25,3,origins_2022_2023,core,24,0.669560852183529,-0.29045458895713666
CORE_PANEL_STATE_R25,3,origins_2022_2023,food,24,0.594812962646173,-0.1146669248053991
CORE_PANEL_STATE_R25,3,origins_2022_2023,fuel,24,0.30192932605619044,-0.006270476633649695
CORE_PANEL_STATE_R25,3,origins_2022_2023,administered,24,1.8785714845885884,-0.7030377806586383
CORE_PANEL_STATE_R25,3,origins_2022_2023,alcohol_tobacco,24,0.06975091203136588,-0.015765166823283175
CORE_PANEL_STATE_R25,3,origins_2022_2023,wedge,24,0.19299609725875821,0.022657406019485345
CORE_PANEL_STATE_R25,3,origins_2022_2023,total,24,2.4506873787893158,-1.1055299772956741
DAMPED_P95_Q001_R16,3,origins_2022_2023,h0,24,0.6988558259517414,0.0020075545629474286
DAMPED_P95_Q001_R16,3,origins_2022_2023,core,24,0.5845295658704792,0.36141030730158324
DAMPED_P95_Q001_R16,3,origins_2022_2023,food,24,0.594812962646173,-0.1146669248053991
DAMPED_P95_Q001_R16,3,origins_2022_2023,fuel,24,0.30192932605619044,-0.006270476633649695
DAMPED_P95_Q001_R16,3,origins_2022_2023,administered,24,1.8785714845885884,-0.7030377806586383
DAMPED_P95_Q001_R16,3,origins_2022_2023,alcohol_tobacco,24,0.06975091203136588,-0.015765166823283175
DAMPED_P95_Q001_R16,3,origins_2022_2023,wedge,24,0.19299609725875827,0.022657406019485377
DAMPED_P95_Q001_R16,3,origins_2022_2023,total,24,2.0812348036998056,-0.4536650810369542
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,h0,24,0.6988558259517414,0.0020075545629474286
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,core,24,0.7831534037357798,0.42504914888118317
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,food,24,0.594812962646173,-0.1146669248053991
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,fuel,24,0.30192932605619044,-0.006270476633649695
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,administered,24,1.8785714845885884,-0.7030377806586383
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,alcohol_tobacco,24,0.06975091203136588,-0.015765166823283175
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,wedge,24,0.19299609725875838,0.02265740601948536
STABLE_LOCAL_CORE_R14B,3,origins_2022_2023,total,24,2.2191429810123746,-0.3900262394573543
STATE_FAST_R15,3,origins_2022_2023,h0,24,0.6988558259517414,0.0020075545629474286
STATE_FAST_R15,3,origins_2022_2023,core,24,0.5309922561208628,0.2879460324711544
STATE_FAST_R15,3,origins_2022_2023,food,24,0.594812962646173,-0.1146669248053991
STATE_FAST_R15,3,origins_2022_2023,fuel,24,0.30192932605619044,-0.006270476633649695
STATE_FAST_R15,3,origins_2022_2023,administered,24,1.8785714845885884,-0.7030377806586383
STATE_FAST_R15,3,origins_2022_2023,alcohol_tobacco,24,0.06975091203136588,-0.015765166823283175
STATE_FAST_R15,3,origins_2022_2023,wedge,24,0.1929960972587583,0.022657406019485418
STATE_FAST_R15,3,origins_2022_2023,total,24,2.1190765812735113,-0.5271293558673831
CORE_OWN_SHRINK_R25,3,origins_2024plus,h0,31,0.21178431503588868,-0.0012461065683434095
CORE_OWN_SHRINK_R25,3,origins_2024plus,core,28,0.15277306754963849,-0.01691837168647183
CORE_OWN_SHRINK_R25,3,origins_2024plus,food,28,0.23057132965830376,0.07164701107301637
CORE_OWN_SHRINK_R25,3,origins_2024plus,fuel,28,0.3102880104068193,-0.025265204511752282
CORE_OWN_SHRINK_R25,3,origins_2024plus,administered,28,0.12404883510152363,0.059950607882269864
CORE_OWN_SHRINK_R25,3,origins_2024plus,alcohol_tobacco,28,0.07005130535984236,0.016410006690121017
CORE_OWN_SHRINK_R25,3,origins_2024plus,wedge,28,0.06453804609485793,-0.036591229122229604
CORE_OWN_SHRINK_R25,3,origins_2024plus,total,28,0.5032184392380644,0.05895336033616679
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,h0,31,0.21178431503588868,-0.0012461065683434095
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,core,28,0.14427770912817037,-0.059677531361337015
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,food,28,0.22278653960874392,-0.018086311010258416
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,fuel,28,0.3102880104068193,-0.025265204511752282
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,administered,28,0.12404883510152363,0.059950607882269864
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,alcohol_tobacco,28,0.07005130535984236,0.016410006690121017
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,wedge,28,0.06453804609485791,-0.03659122912222957
CORE_PANEL_SHRINK_FOODNORM_R25,3,origins_2024plus,total,28,0.4933336023162245,-0.07353912142197316
CORE_PANEL_SHRINK_R25,3,origins_2024plus,h0,31,0.21178431503588868,-0.0012461065683434095
CORE_PANEL_SHRINK_R25,3,origins_2024plus,core,28,0.14427770912817037,-0.059677531361337015
CORE_PANEL_SHRINK_R25,3,origins_2024plus,food,28,0.23057132965830376,0.07164701107301637
CORE_PANEL_SHRINK_R25,3,origins_2024plus,fuel,28,0.3102880104068193,-0.025265204511752282
CORE_PANEL_SHRINK_R25,3,origins_2024plus,administered,28,0.12404883510152363,0.059950607882269864
CORE_PANEL_SHRINK_R25,3,origins_2024plus,alcohol_tobacco,28,0.07005130535984236,0.016410006690121017
CORE_PANEL_SHRINK_R25,3,origins_2024plus,wedge,28,0.0645380460948579,-0.0365912291222296
CORE_PANEL_SHRINK_R25,3,origins_2024plus,total,28,0.48816506034777146,0.016194200661301648
CORE_PANEL_STATE_R25,3,origins_2024plus,h0,31,0.21178431503588868,-0.0012461065683434095
CORE_PANEL_STATE_R25,3,origins_2024plus,core,28,0.14440107352241502,-0.05988619523276621
CORE_PANEL_STATE_R25,3,origins_2024plus,food,28,0.23057132965830376,0.07164701107301637
CORE_PANEL_STATE_R25,3,origins_2024plus,fuel,28,0.3102880104068193,-0.025265204511752282
CORE_PANEL_STATE_R25,3,origins_2024plus,administered,28,0.12404883510152363,0.059950607882269864
CORE_PANEL_STATE_R25,3,origins_2024plus,alcohol_tobacco,28,0.07005130535984236,0.016410006690121017
CORE_PANEL_STATE_R25,3,origins_2024plus,wedge,28,0.06453804609485791,-0.0365912291222296
CORE_PANEL_STATE_R25,3,origins_2024plus,total,28,0.48830654420627756,0.01598553678987245
DAMPED_P95_Q001_R16,3,origins_2024plus,h0,31,0.21178431503588868,-0.0012461065683434095
DAMPED_P95_Q001_R16,3,origins_2024plus,core,28,0.16283285984219315,-0.0679623256815355
DAMPED_P95_Q001_R16,3,origins_2024plus,food,28,0.23057132965830376,0.07164701107301637
DAMPED_P95_Q001_R16,3,origins_2024plus,fuel,28,0.3102880104068193,-0.025265204511752282
DAMPED_P95_Q001_R16,3,origins_2024plus,administered,28,0.12404883510152363,0.059950607882269864
DAMPED_P95_Q001_R16,3,origins_2024plus,alcohol_tobacco,28,0.07005130535984236,0.016410006690121017
DAMPED_P95_Q001_R16,3,origins_2024plus,wedge,28,0.06453804609485791,-0.03659122912222958
DAMPED_P95_Q001_R16,3,origins_2024plus,total,28,0.5040995213623841,0.007909406341103164
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,h0,31,0.21178431503588868,-0.0012461065683434095
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,core,28,0.1240533807603678,-0.018371578736589098
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,food,28,0.23057132965830376,0.07164701107301637
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,fuel,28,0.3102880104068193,-0.025265204511752282
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,administered,28,0.12404883510152363,0.059950607882269864
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,alcohol_tobacco,28,0.07005130535984236,0.016410006690121017
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,wedge,28,0.06453804609485793,-0.0365912291222296
STABLE_LOCAL_CORE_R14B,3,origins_2024plus,total,28,0.4623597942970215,0.05750015328604952
STATE_FAST_R15,3,origins_2024plus,h0,31,0.21178431503588868,-0.0012461065683434095
STATE_FAST_R15,3,origins_2024plus,core,28,0.15734033022398333,-0.006896479380265982
STATE_FAST_R15,3,origins_2024plus,food,28,0.23057132965830376,0.07164701107301637
STATE_FAST_R15,3,origins_2024plus,fuel,28,0.3102880104068193,-0.025265204511752282
STATE_FAST_R15,3,origins_2024plus,administered,28,0.12404883510152363,0.059950607882269864
STATE_FAST_R15,3,origins_2024plus,alcohol_tobacco,28,0.07005130535984236,0.016410006690121017
STATE_FAST_R15,3,origins_2024plus,wedge,28,0.06453804609485793,-0.03659122912222956
STATE_FAST_R15,3,origins_2024plus,total,28,0.5075609015314881,0.06897525264237268
CORE_OWN_SHRINK_R25,6,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_OWN_SHRINK_R25,6,full,core,84,0.9687208771202495,-0.05087097807963271
CORE_OWN_SHRINK_R25,6,full,food,84,0.7521705084578962,-0.08038509688254576
CORE_OWN_SHRINK_R25,6,full,fuel,84,0.40385308722098073,-0.08038829796363917
CORE_OWN_SHRINK_R25,6,full,administered,84,1.3013647021589394,-0.4245608512283014
CORE_OWN_SHRINK_R25,6,full,alcohol_tobacco,84,0.15759148925097077,-0.0634286889380208
CORE_OWN_SHRINK_R25,6,full,wedge,84,0.17836509332014067,0.005007653190811486
CORE_OWN_SHRINK_R25,6,full,total,84,2.0925319061040866,-0.7216946436474436
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,core,84,1.1447254082520404,-0.5859827060371773
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,food,84,0.7236367903023404,-0.17208126693164721
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,fuel,84,0.40385308722098073,-0.08038829796363917
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,administered,84,1.3013647021589394,-0.4245608512283014
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,alcohol_tobacco,84,0.15759148925097077,-0.0634286889380208
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,wedge,84,0.17836509332014064,0.005007653190811458
CORE_PANEL_SHRINK_FOODNORM_R25,6,full,total,84,2.62413023518574,-1.34850254165409
CORE_PANEL_SHRINK_R25,6,full,h0,90,0.41880820829170357,-0.02026752116319163
CORE_PANEL_SHRINK_R25,6,full,core,84,1.1447254082520404,-0.5859827060371773
CORE_PANEL_SHRINK_R25,6,full,food,84,0.7521705084578962,-0.08038509688254576
CORE_PANEL_SHRINK_R25,6,full,fuel,84,0.40385308722098073,-0.08038829796363917
CORE_PANEL_SHRINK_R25,6,full,administered,84,1.3013647021589394,-0.4245608512283014
CORE_PANEL_SHRINK_R25,6,full,alcohol_tobacco,84,0.15759148925097077,-0.0634286889380208
CORE_PANEL_SHRINK_R25,6,full,wedge,84,0.17836509332014067,0.005007653190811455
CORE_PANEL_SHRINK_R25,6,full,total,84,2.6184411654077393,-1.2568063716049882
CORE_PANEL_STATE_R25,6,full,h0,90,0.41880820829170357,-0.02026752116319163
