origin,model,band,target,predicted_change,actual_change,material_actual
2019-07,JOINT_HALF_R22,2,2020-01,0.3189283438258519,2.6739098405154538,True
2019-07,JOINT_HALF_R22,3,2020-04,-0.26459278827914323,-2.2627357021481957,True
2019-07,JOINT_HALF_R22,4,2020-07,0.27326515895912307,6.936470893071671,True
2019-07,JOINT_IMPORTED_R22,2,2020-01,0.5059358586184928,2.6739098405154538,True
2019-07,JOINT_IMPORTED_R22,3,2020-04,-0.537975102709543,-2.2627357021481957,True
2019-07,JOINT_IMPORTED_R22,4,2020-07,0.5330422305621818,6.936470893071671,True
2019-07,JOINT_LINEAR_R22,2,2020-01,0.6431753098348896,2.6739098405154538,True
2019-07,JOINT_LINEAR_R22,3,2020-04,-0.526581543204407,-2.2627357021481957,True
2019-07,JOINT_LINEAR_R22,4,2020-07,0.5475520712030546,6.936470893071671,True
2019-07,JOINT_OWN_R22,2,2020-01,0.41509962161266056,2.6739098405154538,True
2019-07,JOINT_OWN_R22,3,2020-04,-0.5606879954791624,-2.2627357021481957,True
2019-07,JOINT_OWN_R22,4,2020-07,0.54202854107429,6.936470893071671,True
2019-07,JOINT_RF_R22,2,2020-01,0.22752996328036446,2.6739098405154538,True
2019-07,JOINT_RF_R22,3,2020-04,-0.3248988631395595,-2.2627357021481957,True
2019-07,JOINT_RF_R22,4,2020-07,0.4223045411758388,6.936470893071671,True
2019-07,STABLE_LOCAL_CORE_R14B,2,2020-01,-8.881784197001252e-16,2.6739098405154538,True
2019-07,STABLE_LOCAL_CORE_R14B,3,2020-04,0.0,-2.2627357021481957,True
2019-07,STABLE_LOCAL_CORE_R14B,4,2020-07,0.0,6.936470893071671,True
2019-07,STATE_FAST_R15,2,2020-01,-0.005058902080395278,2.6739098405154538,True
2019-07,STATE_FAST_R15,3,2020-04,-0.002590157865162368,-2.2627357021481957,True
2019-07,STATE_FAST_R15,4,2020-07,-0.0013261608269630187,6.936470893071671,True
2019-08,CORE_FEEDBACK_R21,2,2020-02,-0.16710832313234203,4.5371227759087835,True
2019-08,CORE_FEEDBACK_R21,3,2020-05,-0.08555946144375781,-3.23116391896323,True
2019-08,CORE_FEEDBACK_R21,4,2020-08,-0.04380644425920366,3.095270276390003,True
2019-08,DAMPED_P95_Q001_R16,2,2020-02,-0.011155711058135509,4.5371227759087835,True
2019-08,DAMPED_P95_Q001_R16,3,2020-05,0.052953997420456034,-3.23116391896323,True
2019-08,DAMPED_P95_Q001_R16,4,2020-08,0.07741096963509264,3.095270276390003,True
