clock,report_date,cutoff_date,quarter,quarters_ahead,origin,as_of_utc,model,forecast,realised,error,model_cnb_deviation,realised_cnb_error,abs_error_gain_vs_cnb,squared_error_gain_vs_cnb,material_gain,material_loss,deviation_direction_correct
report,2022-05-12,2022-04-22,2022Q2,1,2022-04,2022-05-09 21:59:00+00:00,cnb,14.5366564687991,15.77230851609123,-1.235652047292131,0.0,1.235652047292131,0.0,0.0,False,False,False
report,2022-05-12,2022-04-22,2022Q3,2,2022-04,2022-05-09 21:59:00+00:00,STATE_FAST_R15,13.30921695087846,17.578003612072624,-4.268786661194165,-0.5557756491215411,3.7130110120726236,-0.5557756491215411,-4.4360887830166575,False,True,False
report,2022-05-12,2022-04-22,2022Q3,2,2022-04,2022-05-09 21:59:00+00:00,FOOD_ECM_R27,13.389527427706303,17.578003612072624,-4.188476184366321,-0.47546517229369734,3.7130110120726236,-0.47546517229369734,-3.7568819712312873,False,True,False
report,2022-05-12,2022-04-22,2022Q3,2,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED040_R29B,13.389527427706303,17.578003612072624,-4.188476184366321,-0.47546517229369734,3.7130110120726236,-0.47546517229369734,-3.7568819712312873,False,True,False
report,2022-05-12,2022-04-22,2022Q3,2,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED060_R29B,13.389527427706303,17.578003612072624,-4.188476184366321,-0.47546517229369734,3.7130110120726236,-0.47546517229369734,-3.7568819712312873,False,True,False
report,2022-05-12,2022-04-22,2022Q3,2,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_FIXED080_R29B,13.389527427706303,17.578003612072624,-4.188476184366321,-0.47546517229369734,3.7130110120726236,-0.47546517229369734,-3.7568819712312873,False,True,False
report,2022-05-12,2022-04-22,2022Q3,2,2022-04,2022-05-09 21:59:00+00:00,CORE_LEVELPHASE_PANEL_R29B,12.159938562348785,17.578003612072624,-5.41806504972384,-1.705054037651216,3.7130110120726236,-1.705054037651216,-15.568978107266425,False,True,False
report,2022-05-12,2022-04-22,2022Q3,2,2022-04,2022-05-09 21:59:00+00:00,cnb,13.8649926,17.578003612072624,-3.7130110120726236,0.0,3.7130110120726236,0.0,0.0,False,False,False
report,2022-05-12,2022-04-22,2022Q4,3,2022-04,2022-05-09 21:59:00+00:00,STATE_FAST_R15,13.205498419612619,15.699043922150208,-2.4935455025375894,0.45560441961261944,2.949149922150209,0.45560441961261944,2.4797160900931434,True,False,True
report,2022-05-12,2022-04-22,2022Q4,3,2022-04,2022-05-09 21:59:00+00:00,FOOD_ECM_R27,13.289066676159925,15.699043922150208,-2.4099772459902837,0.5391726761599251,2.949149922150209,0.5391726761599251,2.8894949371276706,True,False,True
