scope,component,model,sample,h,metric,n_intended,n_scored,n_missing_forecast,n_missing_actual,rmse,mae,bias
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,2,mm,86,86,0,0,1.0459358894766204,0.8157832470037992,-0.06375497289214689
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,2,cumulative_log,86,86,0,0,1.5943510745303167,1.181018393192922,-0.1324006273101811
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,2,cumulative_pct,86,86,0,0,1.6228337349780915,1.1941639918893951,-0.1480493999614942
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,3,mm,84,84,0,0,1.0763988281734729,0.8408341251155779,-0.06852586632682349
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,3,cumulative_log,84,84,0,0,2.178763646358026,1.6230181261461032,-0.18609995233482532
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,3,cumulative_pct,84,84,0,0,2.240309485348088,1.6523311875230615,-0.21584525160549597
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,4,mm,83,83,0,0,1.112897482575463,0.8834607497755034,-0.06486460484237015
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,4,cumulative_log,83,83,0,0,2.8203028173001727,2.027082561340395,-0.26076396355583487
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,4,cumulative_pct,83,83,0,0,2.92675443519868,2.0769484095604756,-0.3113802892149119
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,5,mm,82,82,0,0,1.1306397326948388,0.889673516672384,-0.0745564643930979
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,5,cumulative_log,82,82,0,0,3.4606864170131977,2.5293008664862398,-0.34000527991372487
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,5,cumulative_pct,82,82,0,0,3.6195150608987543,2.6062390224724483,-0.41464119216632345
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,6,mm,81,81,0,0,1.1624994742451251,0.922607748116996,-0.06549679606901669
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,6,cumulative_log,81,81,0,0,4.176214279468144,3.057574792940015,-0.41401087509166973
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,6,cumulative_pct,81,81,0,0,4.397399951446637,3.165615926317802,-0.5177451633252549
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,7,mm,80,80,0,0,1.1687639803167444,0.9214077329091968,-0.051989031432957876
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,7,cumulative_log,80,80,0,0,4.837175546813492,3.5361056111431823,-0.5189234929870219
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,7,cumulative_pct,80,80,0,0,5.132211538474938,3.6812463456272866,-0.6540813899250166
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,8,mm,79,79,0,0,1.18703732916773,0.9375978090460648,-0.046307691224211404
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,8,cumulative_log,79,79,0,0,5.501100433838112,4.031133032460294,-0.5905612603967283
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,8,cumulative_pct,79,79,0,0,5.87190696009617,4.2171609819749785,-0.7603506235146267
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,9,mm,78,78,0,0,1.192617449842224,0.9312455891521321,-0.030340795147750354
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,9,cumulative_log,78,78,0,0,6.108921754361838,4.397318667301976,-0.6788002078251905
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,9,cumulative_pct,78,78,0,0,6.564690075096532,4.627731442189382,-0.8818611376992231
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,10,mm,77,77,0,0,1.214116481187082,0.9573951834600641,-0.03644094827325697
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,10,cumulative_log,77,77,0,0,6.755544773248864,4.792948745022167,-0.8040495486001082
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,10,cumulative_pct,77,77,0,0,7.313866458017169,5.076489749321685,-1.046396687029322
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,11,mm,76,76,0,0,1.2074656238028794,0.9529633845409413,-0.021789095545440312
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,11,cumulative_log,76,76,0,0,7.372953019249432,5.2185180070194175,-0.8958440298913403
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,11,cumulative_pct,76,76,0,0,8.034990902363342,5.557247603991307,-1.1788784493083082
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,12,mm,75,75,0,0,1.2111753981533964,0.9517473017204418,-0.04860756537032921
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,12,cumulative_log,75,75,0,0,7.916743684496792,5.568860612172435,-1.0528478079816492
original_R16_calendar,food,FOOD_H0_SELECT_R18,full,12,cumulative_pct,75,75,0,0,8.687807560387025,5.966504823221152,-1.377674777352036
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,0,mm,294,294,0,0,0.8349411917806164,0.7079309860890892,0.2821335713189829
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,0,cumulative_log,294,294,0,0,2.7152402663140536,1.9755316064945248,1.2087313592395874
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,0,cumulative_pct,294,294,0,0,2.751356528372618,2.0035273981596586,1.2203248205803785
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,1,mm,30,30,0,0,0.850838590540939,0.729292311488856,0.1299796451652359
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,1,cumulative_log,30,30,0,0,0.8489410036670604,0.7279082280870646,0.13358527439020243
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,1,cumulative_pct,30,30,0,0,0.850838590540939,0.729292311488856,0.1299796451652359
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,2,mm,29,29,0,0,0.837098150954551,0.7195824499486724,0.15085890349458875
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,2,cumulative_log,29,29,0,0,1.1170047803418506,0.8369807530842241,0.30543471957213447
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,2,cumulative_pct,29,29,0,0,1.1146340626574025,0.8365358208510693,0.30317434353266975
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,3,mm,28,28,0,0,0.7841358412880259,0.6604734509448784,0.1607695608691124
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,3,cumulative_log,28,28,0,0,1.3218303937524736,1.0674421181988627,0.44551310293922297
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,3,cumulative_pct,28,28,0,0,1.3238020887777169,1.0709603789403197,0.44524136227679406
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,4,mm,27,27,0,0,0.7895896745703175,0.6763915551580992,0.24523503882967237
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,4,cumulative_log,27,27,0,0,1.6059317354099245,1.28599258211796,0.6653040439175131
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,4,cumulative_pct,27,27,0,0,1.6105326194304388,1.2915863241350092,0.6666554939653189
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,5,mm,26,26,0,0,0.7883005294650676,0.6860399076704987,0.24946319326063596
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,5,cumulative_log,26,26,0,0,1.9595928723983607,1.6366507733630025,0.9165251815272559
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,5,cumulative_pct,26,26,0,0,1.9658395306400775,1.6476236630881662,0.9187802539863442
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,6,mm,25,25,0,0,0.839921320912411,0.7170529396258645,0.2528601860167667
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,6,cumulative_log,25,25,0,0,2.4411267258297134,2.058036641255355,1.1722793516128769
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,6,cumulative_pct,25,25,0,0,2.4566513507322796,2.0764167030639733,1.1756281873040506
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,7,mm,24,24,0,0,0.841382281839396,0.7124226107450164,0.2943974369732645
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,7,cumulative_log,24,24,0,0,2.735097616306293,2.2549380674527804,1.3361018831697207
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,7,cumulative_pct,24,24,0,0,2.7644009400375444,2.2840779613257127,1.3456585590776455
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,8,mm,23,23,0,0,0.86111373084001,0.7286299776939853,0.35521804713288924
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,8,cumulative_log,23,23,0,0,3.248851758184899,2.6928847078588545,1.6637929838066043
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,8,cumulative_pct,23,23,0,0,3.285396696423277,2.7317311388392245,1.6766844922525534
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,9,mm,22,22,0,0,0.8182052649902325,0.6759444103939032,0.43031993855227474
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,9,cumulative_log,22,22,0,0,3.5313300100662732,2.760279003896682,1.969946301753058
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,9,cumulative_pct,22,22,0,0,3.5763358947827673,2.805307255534522,1.9936527150649475
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,10,mm,21,21,0,0,0.8645495005087773,0.7238140651799808,0.4257662948950074
original_R16_calendar,food,FOOD_H0_SELECT_R18,recent_origins,10,cumulative_log,21,21,0,0,3.8542412450779513,3.079781048565114,2.1739278073750268
