scope,sample,h,horizon_label,metric,model,n_intended,n_scored,n_missing_forecast,n_fallback,rmse,mae,bias
common,full,5,h5,cumulative_pct,STATE_FAST_R15,85,85,0,0,3.643952297495497,2.6502508363071624,-0.4132427763917941
primary_control_calendar,full,6,h6,mm,FOOD_H0_FAST_R18,84,84,0,24,1.1502468212618087,0.912792115367653,-0.05539144434908432
primary_control_calendar,full,6,h6,mm,FOOD_H0_SELECT_R18,84,84,0,24,1.1480614838648613,0.910171815597789,-0.06031648900105762
primary_control_calendar,full,6,h6,mm,FOOD_H0_SLOW_R18,84,84,0,24,1.1417597363128216,0.9066103336041413,-0.05607334499119215
primary_control_calendar,full,6,h6,mm,STATE_FAST_R15,84,84,0,0,1.151083260358968,0.9133554523421404,-0.05558432446254141
common,full,6,h6,mm,FOOD_H0_FAST_R18,84,84,0,24,1.1502468212618087,0.912792115367653,-0.05539144434908432
common,full,6,h6,mm,FOOD_H0_SELECT_R18,84,84,0,24,1.1480614838648613,0.910171815597789,-0.06031648900105762
common,full,6,h6,mm,FOOD_H0_SLOW_R18,84,84,0,24,1.1417597363128216,0.9066103336041413,-0.05607334499119215
common,full,6,h6,mm,STATE_FAST_R15,84,84,0,0,1.151083260358968,0.9133554523421404,-0.05558432446254141
primary_control_calendar,full,6,h6,cumulative_log,FOOD_H0_FAST_R18,84,84,0,24,4.099733756280455,2.9974446910956813,-0.3995122911223133
primary_control_calendar,full,6,h6,cumulative_log,FOOD_H0_SELECT_R18,84,84,0,24,4.107223164703968,2.98627382256647,-0.43712290178413693
primary_control_calendar,full,6,h6,cumulative_log,FOOD_H0_SLOW_R18,84,84,0,24,4.056259858339705,2.9676927877421,-0.41569436581061
primary_control_calendar,full,6,h6,cumulative_log,STATE_FAST_R15,84,84,0,0,4.192403777069996,3.064776956731735,-0.41150230304298624
common,full,6,h6,cumulative_log,FOOD_H0_FAST_R18,84,84,0,24,4.099733756280455,2.9974446910956813,-0.3995122911223133
common,full,6,h6,cumulative_log,FOOD_H0_SELECT_R18,84,84,0,24,4.107223164703968,2.98627382256647,-0.43712290178413693
common,full,6,h6,cumulative_log,FOOD_H0_SLOW_R18,84,84,0,24,4.056259858339705,2.9676927877421,-0.41569436581061
common,full,6,h6,cumulative_log,STATE_FAST_R15,84,84,0,0,4.192403777069996,3.064776956731735,-0.41150230304298624
primary_control_calendar,full,6,h6,cumulative_pct,FOOD_H0_FAST_R18,84,84,0,24,4.314029601420908,3.101958742155962,-0.498810820571704
primary_control_calendar,full,6,h6,cumulative_pct,FOOD_H0_SELECT_R18,84,84,0,24,4.32416041374214,3.0906356515734448,-0.5373317015449176
primary_control_calendar,full,6,h6,cumulative_pct,FOOD_H0_SLOW_R18,84,84,0,24,4.26991699397907,3.0714256598309,-0.514901487726456
primary_control_calendar,full,6,h6,cumulative_pct,STATE_FAST_R15,84,84,0,0,4.408864383313099,3.1715786523242375,-0.5111132340917242
common,full,6,h6,cumulative_pct,FOOD_H0_FAST_R18,84,84,0,24,4.314029601420908,3.101958742155962,-0.498810820571704
common,full,6,h6,cumulative_pct,FOOD_H0_SELECT_R18,84,84,0,24,4.32416041374214,3.0906356515734448,-0.5373317015449176
common,full,6,h6,cumulative_pct,FOOD_H0_SLOW_R18,84,84,0,24,4.26991699397907,3.0714256598309,-0.514901487726456
common,full,6,h6,cumulative_pct,STATE_FAST_R15,84,84,0,0,4.408864383313099,3.1715786523242375,-0.5111132340917242
primary_control_calendar,full,7,h7,mm,FOOD_H0_FAST_R18,83,83,0,24,1.162637770332692,0.9230069640337136,-0.05181566291690181
primary_control_calendar,full,7,h7,mm,FOOD_H0_SELECT_R18,83,83,0,24,1.1597780004772738,0.9185420282637179,-0.057116979029761164
primary_control_calendar,full,7,h7,mm,FOOD_H0_SLOW_R18,83,83,0,24,1.1567854977088219,0.917629165837632,-0.05318403987263696
primary_control_calendar,full,7,h7,mm,STATE_FAST_R15,83,83,0,0,1.1629715653081378,0.9232173331675938,-0.05188156443843442
common,full,7,h7,mm,FOOD_H0_FAST_R18,83,83,0,24,1.162637770332692,0.9230069640337136,-0.05181566291690181
common,full,7,h7,mm,FOOD_H0_SELECT_R18,83,83,0,24,1.1597780004772738,0.9185420282637179,-0.057116979029761164
common,full,7,h7,mm,FOOD_H0_SLOW_R18,83,83,0,24,1.1567854977088219,0.917629165837632,-0.05318403987263696
common,full,7,h7,mm,STATE_FAST_R15,83,83,0,0,1.1629715653081378,0.9232173331675938,-0.05188156443843442
primary_control_calendar,full,7,h7,cumulative_log,FOOD_H0_FAST_R18,83,83,0,24,4.7573359794177685,3.478144936926229,-0.49845625771579544
primary_control_calendar,full,7,h7,cumulative_log,FOOD_H0_SELECT_R18,83,83,0,24,4.757210126072305,3.4535306541179986,-0.5454033113168798
primary_control_calendar,full,7,h7,cumulative_log,FOOD_H0_SLOW_R18,83,83,0,24,4.6981655455841125,3.433522687190699,-0.5197979327407392
primary_control_calendar,full,7,h7,cumulative_log,STATE_FAST_R15,83,83,0,0,4.852252336083483,3.56473624631609,-0.5066220655322905
common,full,7,h7,cumulative_log,FOOD_H0_FAST_R18,83,83,0,24,4.7573359794177685,3.478144936926229,-0.49845625771579544
common,full,7,h7,cumulative_log,FOOD_H0_SELECT_R18,83,83,0,24,4.757210126072305,3.4535306541179986,-0.5454033113168798
common,full,7,h7,cumulative_log,FOOD_H0_SLOW_R18,83,83,0,24,4.6981655455841125,3.433522687190699,-0.5197979327407392
common,full,7,h7,cumulative_log,STATE_FAST_R15,83,83,0,0,4.852252336083483,3.56473624631609,-0.5066220655322905
primary_control_calendar,full,7,h7,cumulative_pct,FOOD_H0_FAST_R18,83,83,0,24,5.043573784690121,3.6192673455954996,-0.6283527368582487
primary_control_calendar,full,7,h7,cumulative_pct,FOOD_H0_SELECT_R18,83,83,0,24,5.046639109584885,3.5939957717129727,-0.6762464168192192
primary_control_calendar,full,7,h7,cumulative_pct,FOOD_H0_SLOW_R18,83,83,0,24,4.983039281594357,3.573163586110802,-0.6493755269321815
primary_control_calendar,full,7,h7,cumulative_pct,STATE_FAST_R15,83,83,0,0,5.1411900941960464,3.7090288196649643,-0.6370489275587449
