origin,model,rho,as_of,beta,beta_unbounded,theta,scale,ridge,n_origins,n_rows,status,reason,training_rmse
2021-08,FOOD_H0_FAST_R18,0.5,2021-09-09T23:59:00+02:00,0.7395968745676913,0.7395968745676913,0.03403827637339247,0.046022742312544926,1.0,18,216,estimated,,0.8998972410929577
2021-08,FOOD_H0_SLOW_R18,0.9,2021-09-09T23:59:00+02:00,0.3530503772186,0.3530503772186,0.05574225775076957,0.15788754621909198,1.0,18,216,estimated,,0.8966433289801867
2021-09,FOOD_H0_FAST_R18,0.5,2021-10-10T23:59:00+02:00,0.730281414782814,0.730281414782814,0.03271477095604242,0.04479748531704289,1.0,19,228,estimated,,0.9049749890796901
2021-09,FOOD_H0_SLOW_R18,0.9,2021-10-10T23:59:00+02:00,0.35167037792500483,0.35167037792500483,0.054046155474335354,0.15368412828293693,1.0,19,228,estimated,,0.9019021780721209
2021-10,FOOD_H0_FAST_R18,0.5,2021-11-09T23:59:00+01:00,0.728308275090953,0.728308275090953,0.03180777479469266,0.04367350458941364,1.0,20,240,estimated,,0.9083284662738751
2021-10,FOOD_H0_SLOW_R18,0.9,2021-11-09T23:59:00+01:00,0.3507579655591265,0.3507579655591265,0.052553418112439736,0.14982815295061608,1.0,20,240,estimated,,0.905433719821455
2021-11,FOOD_H0_FAST_R18,0.5,2021-12-09T23:59:00+01:00,0.7635738664914737,0.7635738664914737,0.03267953270277184,0.042798128821419985,1.0,21,252,estimated,,0.9110700519141574
2021-11,FOOD_H0_SLOW_R18,0.9,2021-12-09T23:59:00+01:00,0.35432090604237654,0.35432090604237654,0.052023185524884816,0.1468250521990449,1.0,21,252,estimated,,0.9083684602469474
2021-12,FOOD_H0_FAST_R18,0.5,2022-01-11T23:59:00+01:00,0.7980370303532791,0.7980370303532791,0.03346822237214375,0.04193818218852309,1.0,22,264,estimated,,0.9145110347896218
2021-12,FOOD_H0_SLOW_R18,0.9,2022-01-11T23:59:00+01:00,0.3540468891157971,0.3540468891157971,0.050938454848661135,0.14387488328417664,1.0,22,264,estimated,,0.9120891513065659
2022-01,FOOD_H0_FAST_R18,0.5,2022-02-13T23:59:00+01:00,0.7558801825885234,0.7558801825885234,0.031028994535719102,0.04105014954811995,1.0,23,276,estimated,,0.9130984733876248
2022-01,FOOD_H0_SLOW_R18,0.9,2022-02-13T23:59:00+01:00,0.34727350919187344,0.34727350919187344,0.04890595923500505,0.14082836133632015,1.0,23,276,estimated,,0.9107479558376269
2022-02,FOOD_H0_FAST_R18,0.5,2022-03-09T23:59:00+01:00,0.645993866366551,0.645993866366551,0.029160170467493703,0.045140011361884336,1.0,24,288,estimated,,0.9235495157722756
2022-02,FOOD_H0_SLOW_R18,0.9,2022-03-09T23:59:00+01:00,0.2366991733056136,0.2366991733056136,0.03665504757040426,0.15485921246998688,1.0,24,288,estimated,,0.9227480030707836
2022-03,FOOD_H0_FAST_R18,0.5,2022-04-10T23:59:00+02:00,0.6121483192233057,0.6121483192233057,0.02741574801260762,0.044786119885770075,1.0,25,300,estimated,,0.9319275784134424
2022-03,FOOD_H0_SLOW_R18,0.9,2022-04-10T23:59:00+02:00,0.2098098401608787,0.2098098401608787,0.03223626175268136,0.1536451375586728,1.0,25,300,estimated,,0.9314646270307064
2022-04,FOOD_H0_FAST_R18,0.5,2022-05-09T23:59:00+02:00,0.6220467406425954,0.6220467406425954,0.0273820598279102,0.04401929636288039,1.0,26,312,estimated,,0.9404552736181327
2022-04,FOOD_H0_SLOW_R18,0.9,2022-05-09T23:59:00+02:00,0.22033495459088348,0.22033495459088348,0.033273759930453485,0.15101444068298644,1.0,26,312,estimated,,0.9398851121162023
2022-05,FOOD_H0_FAST_R18,0.5,2022-06-09T23:59:00+02:00,0.6751693079890309,0.6751693079890309,0.029264238635305705,0.04334355588891956,1.0,27,324,estimated,,0.9687833365768556
2022-05,FOOD_H0_SLOW_R18,0.9,2022-06-09T23:59:00+02:00,0.20407826323030062,0.20407826323030062,0.030345665740306615,0.1486962171275526,1.0,27,324,estimated,,0.9686835200053886
2022-06,FOOD_H0_FAST_R18,0.5,2022-07-12T23:59:00+02:00,0.6749021042154136,0.6749021042154136,0.028901983893216916,0.04282396470939443,1.0,28,336,estimated,,1.0006168305840295
2022-06,FOOD_H0_SLOW_R18,0.9,2022-07-12T23:59:00+02:00,0.24409414460493184,0.24409414460493184,0.03586077048509456,0.1469136858777808,1.0,28,336,estimated,,0.9999410138040974
2022-07,FOOD_H0_FAST_R18,0.5,2022-08-09T23:59:00+02:00,0.5393581020221313,0.5393581020221313,0.023240319794704097,0.043088848962447746,1.0,29,348,estimated,,1.03792011876656
2022-07,FOOD_H0_SLOW_R18,0.9,2022-08-09T23:59:00+02:00,0.12395192307733484,0.12395192307733484,0.018322871855090406,0.14782240888395562,1.0,29,348,estimated,,1.0382154532821288
2022-08,FOOD_H0_FAST_R18,0.5,2022-09-11T23:59:00+02:00,0.5238044566632124,0.5238044566632124,0.022271289835182864,0.042518328265203194,1.0,30,360,estimated,,1.0757855238926612
2022-08,FOOD_H0_SLOW_R18,0.9,2022-09-11T23:59:00+02:00,0.07729702191235036,0.07729702191235036,0.011274942213600491,0.14586515669886377,1.0,30,360,estimated,,1.0762997498392424
2022-09,FOOD_H0_FAST_R18,0.5,2022-10-10T23:59:00+02:00,0.42616690762303017,0.42616690762303017,0.018099701583493874,0.042470922213191015,1.0,31,372,estimated,,1.1102521705686506
2022-09,FOOD_H0_SLOW_R18,0.9,2022-10-10T23:59:00+02:00,0.17060832292990027,0.17060832292990027,0.02485806318311958,0.1457025235124859,1.0,31,372,estimated,,1.1098598604909482
2022-10,FOOD_H0_FAST_R18,0.5,2022-11-09T23:59:00+01:00,0.3981366546844922,0.3981366546844922,0.016831182009260526,0.042274886803875374,1.0,32,384,estimated,,1.1400901330844502
2022-10,FOOD_H0_SLOW_R18,0.9,2022-11-09T23:59:00+01:00,0.06215431754149708,0.06215431754149708,0.00901424043881757,0.14502999623154497,1.0,32,384,estimated,,1.140355912874546
2022-11,FOOD_H0_FAST_R18,0.5,2022-12-11T23:59:00+01:00,0.4905669502364168,0.4905669502364168,0.02049996455141097,0.041788311547550264,1.0,33,396,estimated,,1.1731476171170165
2022-11,FOOD_H0_SLOW_R18,0.9,2022-12-11T23:59:00+01:00,0.14154892604682023,0.14154892604682023,0.02029255748059755,0.14336073078989922,1.0,33,396,estimated,,1.1731584349608757
2022-12,FOOD_H0_FAST_R18,0.5,2023-01-10T23:59:00+01:00,0.7189581185352746,0.7189581185352746,0.030142600354358833,0.04192539116988903,1.0,34,408,estimated,,1.2049375649794642
2022-12,FOOD_H0_SLOW_R18,0.9,2023-01-10T23:59:00+01:00,0.3180622480587855,0.3180622480587855,0.04574721179857595,0.14383100188023815,1.0,34,408,estimated,,1.2034624391334265
2023-01,FOOD_H0_FAST_R18,0.5,2023-02-09T23:59:00+01:00,1.0,1.2046918570538718,0.05180392377968243,0.04300180454973047,1.0,35,420,estimated,,1.231085558846731
2023-01,FOOD_H0_SLOW_R18,0.9,2023-02-09T23:59:00+01:00,0.560139717573981,0.560139717573981,0.08263393444589731,0.1475237906781416,1.0,35,420,estimated,,1.2256214935540013
2023-02,FOOD_H0_FAST_R18,0.5,2023-03-09T23:59:00+01:00,0.7608563712331802,0.7608563712331802,0.033596311738030606,0.04415591826296782,1.0,36,432,estimated,,1.2557275750147685
2023-02,FOOD_H0_SLOW_R18,0.9,2023-03-09T23:59:00+01:00,0.27897497200086574,0.27897497200086574,0.04226000515639257,0.15148314149221037,1.0,36,432,estimated,,1.2549422915147186
2023-03,FOOD_H0_FAST_R18,0.5,2023-04-12T23:59:00+02:00,0.8982924008574718,0.8982924008574718,0.03930800579492052,0.04375858657759853,1.0,37,444,estimated,,1.272675107332877
2023-03,FOOD_H0_SLOW_R18,0.9,2023-04-12T23:59:00+02:00,0.3565585108968547,0.3565585108968547,0.05352657748341918,0.15012003878068517,1.0,37,444,estimated,,1.2711184064799805
2023-04,FOOD_H0_FAST_R18,0.5,2023-05-10T23:59:00+02:00,1.0,1.6125693887779866,0.07493505555811468,0.04646935262419985,1.0,38,456,estimated,,1.2837240268364456
2023-04,FOOD_H0_SLOW_R18,0.9,2023-05-10T23:59:00+02:00,0.6017469552045728,0.6017469552045728,0.09593032283475098,0.15941970624868063,1.0,38,456,estimated,,1.2775401480614632
2023-05,FOOD_H0_FAST_R18,0.5,2023-06-11T23:59:00+02:00,1.0,1.964479004589246,0.09554221040000539,0.04863488496278552,1.0,39,468,estimated,,1.2868538370393243
2023-05,FOOD_H0_SLOW_R18,0.9,2023-06-11T23:59:00+02:00,0.7126725341844949,0.7126725341844949,0.11890860853049445,0.16684887213530764,1.0,39,468,estimated,,1.2766347997634608
2023-06,FOOD_H0_FAST_R18,0.5,2023-07-12T23:59:00+02:00,1.0,1.4305133847343925,0.09465277944611783,0.06616700022257553,1.0,40,480,estimated,,1.281841362262012
2023-06,FOOD_H0_SLOW_R18,0.9,2023-07-12T23:59:00+02:00,0.504271212496619,0.504271212496619,0.11446718538577863,0.2269952806131008,1.0,40,480,estimated,,1.2745519049499572
2023-07,FOOD_H0_FAST_R18,0.5,2023-08-09T23:59:00+02:00,1.0,1.3177531271452432,0.09245316975264839,0.07015970430890746,1.0,41,492,estimated,,1.2759726700973948
2023-07,FOOD_H0_SLOW_R18,0.9,2023-08-09T23:59:00+02:00,0.4620816953654046,0.4620816953654046,0.11121974557938348,0.24069281838016374,1.0,41,492,estimated,,1.269653623440504
2023-08,FOOD_H0_FAST_R18,0.5,2023-09-10T23:59:00+02:00,1.0,1.309583989953146,0.0923420670207409,0.07051251979954694,1.0,42,504,estimated,,1.2711841034061335
2023-08,FOOD_H0_SLOW_R18,0.9,2023-09-10T23:59:00+02:00,0.462449270796094,0.462449270796094,0.1118679593545761,0.24190320197066892,1.0,42,504,estimated,,1.264689201199262
2023-09,FOOD_H0_FAST_R18,0.5,2023-10-09T23:59:00+02:00,1.0,1.3296667274153293,0.0932363971751792,0.07012012503044025,1.0,43,516,estimated,,1.2671392442577667
