origin,raw_h0_source,raw_h0_column,pipeline_source,pipeline_h0_index,as_of_eve,as_of_local,as_of_utc,first_release_date,detail_release_date,first_release_source,detail_release_source,first_release_eve_match,detail_release_eve_match,eligible_history_end,pipeline_fast_max_abs,raw_h0_mm,state_h0_log,signal,headline_archive_serialization_abs,vintage_status,cleanup_replay_h0_abs_difference
2021-09,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-10-10T23:59:00,2021-10-10T23:59:00+02:00,2021-10-10T21:59:00+00:00,2021-10-11,2021-10-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-08,0.0,-0.3020777033636223,-0.08853097125290581,-0.21400390772092526,2.7755575615628914e-17,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.4438119023150193e-10
2021-10,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-11-09T23:59:00,2021-11-09T23:59:00+01:00,2021-11-09T22:59:00+00:00,2021-11-10,2021-11-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-09,0.0,0.5875476633632813,0.4603487373603577,0.12547959602094555,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,6.123742624097872e-10
2021-11,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2021-12-09T23:59:00,2021-12-09T23:59:00+01:00,2021-12-09T22:59:00+00:00,2021-12-10,2021-12-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-10,0.0,0.7798268964096114,0.49947289101586345,0.2773290714401937,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.063179733140629e-08
2021-12,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-01-11T23:59:00,2022-01-11T23:59:00+01:00,2022-01-11T22:59:00+00:00,2022-01-12,2022-01-12,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-11,0.0,0.83254314481471,0.40664695015770946,0.42244967020618607,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,5.4037566532549874e-08
2022-01,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-02-13T23:59:00,2022-02-13T23:59:00+01:00,2022-02-13T22:59:00+00:00,2022-02-14,2022-02-14,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2021-12,0.0,1.470594657336238,1.9036588920235011,-0.44377262093938685,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,8.970523435181121e-09
2022-02,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-03-09T23:59:00,2022-03-09T23:59:00+01:00,2022-03-09T22:59:00+00:00,2022-03-10,2022-03-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-01,0.0,0.7165779028488811,0.5601966682936705,0.15382601460048062,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,1.0793188565116907e-10
2022-03,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-04-10T23:59:00,2022-04-10T23:59:00+02:00,2022-04-10T21:59:00+00:00,2022-04-11,2022-04-11,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-02,0.0,1.0724165166804158,0.4314682878265625,0.6352386271289896,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,3.6179703677419184e-10
2022-04,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-05-09T23:59:00,2022-05-09T23:59:00+02:00,2022-05-09T21:59:00+00:00,2022-05-10,2022-05-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-03,0.0,1.4255557061607405,0.8097723884925789,0.6057178190540289,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,2.1632096114387878e-10
2022-05,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-06-09T23:59:00,2022-06-09T23:59:00+02:00,2022-06-09T21:59:00+00:00,2022-06-10,2022-06-10,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-04,0.0,3.5602859415230377,1.7711007345348908,1.727272266546516,0.0,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,9.241347687094503e-09
2022-06,output/cz_struct_backtest.csv,food_pred_eve,output/research_r14b/food/origin_diagnostics.json,0,2022-07-12T23:59:00,2022-07-12T23:59:00+02:00,2022-07-12T21:59:00+00:00,2022-07-13,2022-07-13,bbg_eco_release_dt,bbg_eco_release_dt,True,True,2022-05,0.0,2.3710736122704468,1.3630862963077033,0.9803139492874959,2.220446049250313e-16,saved pseudo-OOS; frozen current-vintage inputs and reconstructed release gates,8.957342867432772e-09
