origin,target,h,as_of_utc,model,mm_forecast,mm_actual,yy_exante,yy_actual,cumulative_log_forecast,cumulative_log_actual
2023-11,2024-03,4,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,-0.0005588981999527908,0.1331557922769732,1.6458277600846185,1.9661016949152728,1.1680008668482245,1.4735698653753047
2023-11,2024-04,5,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.22539120794042142,0.6648936170212671,2.0825540527607536,2.853260869565235,1.3931384498329682,2.1362628141361903
2023-11,2024-05,6,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3326189771477837,0.0,2.1445333332309855,2.574525745257463,1.7252054736566391,2.1362628141361903
2023-11,2024-06,7,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.27278485554129284,-0.264200792602387,2.0773775764812816,1.958136394328148,1.9976189465413248,1.8717123952937738
2023-11,2024-07,8,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.4004550946746471,0.6622516556291425,2.0040259221575285,2.150537634408578,2.397274354016206,2.5317807984289833
2023-11,2024-08,9,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.06194771268851361,0.263157894736854,1.8618484531207018,2.213279678068404,2.4592028870296874,2.7945930390559464
2023-11,2024-09,10,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,-0.3167436198887651,-0.3937007874015741,2.293890846380822,2.567567567567563,2.141956572754964,2.400115209954312
2023-11,2024-10,11,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.3790685330170408,0.3293807641633783,2.6123221476784755,2.8359216745442346,2.520308451511301,2.7289547039129753
2023-11,2024-11,12,2023-12-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.1341839831809633,0.0656598818122189,2.6899455396336083,2.834008097166013,2.654402488438872,2.7945930390559584
2023-11,2023-11,0,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.0584924929324471,0.0675219446319985,7.303857626381598,7.313540912382349,0.0,0.0
2023-11,2023-12,1,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,-0.0631300559305891,-0.4048582995951344,7.236116641046383,6.879073135409149,-0.0631499913409968,-0.4056800695614318
2023-11,2024-01,2,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.998472972801332,1.4905149051490652,2.1664934634778157,2.3224043715847307,0.9303711744288724,1.07383582211328
2023-11,2024-02,3,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.2420016081233166,0.26702269692922,1.7879921671361279,1.9687712152070571,1.1720804302304006,1.3405026468047876
2023-11,2024-03,4,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.0040801599721405684,0.1331557922769732,1.6541220322116352,1.9661016949152728,1.1761605069662782,1.4735698653753047
2023-11,2024-04,5,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.2301060845676077,0.6648936170212671,2.0956865961459084,2.853260869565235,1.4060022529116174,2.1362628141361903
2023-11,2024-05,6,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.3371611550266461,0.0,2.162298650321283,2.574525745257463,1.7425962940835371,2.1362628141361903
2023-11,2024-06,7,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.2769815168394245,-0.264200792602387,2.099404144569325,1.958136394328148,2.0191949239740428,1.8717123952937738
2023-11,2024-07,8,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.4042838576307721,0.6622516556291425,2.029927416574937,2.150537634408578,2.4226637503717687,2.5317807984289833
2023-11,2024-08,9,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.06542364686058544,0.263157894736854,1.8912532022658295,2.213279678068404,2.4880660052942605,2.7945930390559464
2023-11,2024-09,10,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,-0.31360123304503446,-0.3937007874015741,2.326645929057435,2.567567567567563,2.1739720131135614,2.400115209954312
2023-11,2024-10,11,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.3819405505112563,0.3293807641633783,2.6481160486705666,2.8359216745442346,2.555185022631815,2.7289547039129753
2023-11,2024-11,12,2023-12-10T22:59:00+00:00,FOOD_H0_SLOW_R18,0.1367657537001279,0.0656598818122189,2.728415107297262,2.834008097166013,2.691857337160506,2.7945930390559584
2023-11,2023-11,0,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.0584924929324471,0.0675219446319985,7.303857626381598,7.313540912382349,0.0,0.0
2023-11,2023-12,1,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,-0.0631300559305891,-0.4048582995951344,7.236116641046383,6.879073135409149,-0.0631499913409968,-0.4056800695614318
2023-11,2024-01,2,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.998472972801332,1.4905149051490652,2.1664934634778157,2.3224043715847307,0.9303711744288724,1.07383582211328
2023-11,2024-02,3,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.2420016081233166,0.26702269692922,1.7879921671361279,1.9687712152070571,1.1720804302304006,1.3405026468047876
2023-11,2024-03,4,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.0040801599721405684,0.1331557922769732,1.6541220322116352,1.9661016949152728,1.1761605069662782,1.4735698653753047
2023-11,2024-04,5,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.2301060845676077,0.6648936170212671,2.0956865961459084,2.853260869565235,1.4060022529116174,2.1362628141361903
2023-11,2024-05,6,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3371611550266461,0.0,2.162298650321283,2.574525745257463,1.7425962940835371,2.1362628141361903
2023-11,2024-06,7,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.2769815168394245,-0.264200792602387,2.099404144569325,1.958136394328148,2.0191949239740428,1.8717123952937738
2023-11,2024-07,8,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.4042838576307721,0.6622516556291425,2.029927416574937,2.150537634408578,2.4226637503717687,2.5317807984289833
2023-11,2024-08,9,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.06542364686058544,0.263157894736854,1.8912532022658295,2.213279678068404,2.4880660052942605,2.7945930390559464
2023-11,2024-09,10,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,-0.31360123304503446,-0.3937007874015741,2.326645929057435,2.567567567567563,2.1739720131135614,2.400115209954312
2023-11,2024-10,11,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.3819405505112563,0.3293807641633783,2.6481160486705666,2.8359216745442346,2.555185022631815,2.7289547039129753
2023-11,2024-11,12,2023-12-10T22:59:00+00:00,FOOD_H0_SELECT_R18,0.1367657537001279,0.0656598818122189,2.728415107297262,2.834008097166013,2.691857337160506,2.7945930390559584
2023-12,2023-12,0,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,-0.1330702411008323,-0.4048582995951344,7.170738524756402,6.879073135409149,0.0,0.0
2023-12,2024-01,1,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.9456606915176939,1.4905149051490652,2.0508156483250173,2.3224043715847307,0.9412173116996044,1.4795158916747118
2023-12,2024-02,2,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.2501165101871392,0.26702269692922,1.6809736343717856,1.9687712152070571,1.1910215511288336,1.7461827163662194
2023-12,2024-03,3,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.023751676715308284,0.1331557922769732,1.5672193168554827,1.9661016949152728,1.2147704075799723,1.8792499349367366
2023-12,2024-04,4,2024-01-10T22:59:00+00:00,FOOD_H0_FAST_R18,0.25268345136689563,0.6648936170212671,2.031384331740483,2.853260869565235,1.4671351510823503,2.5419428836976223
