origin,model,band,target,predicted_turn,actual_turn,eligible,exact_hit,missed_turn,false_turn
2020-04,STABLE_LOCAL_CORE_R14B,3,2021-01,none,peak,True,False,True,False
2020-04,STATE_FAST_R15,2,2020-10,none,trough,True,False,True,False
2020-04,STATE_FAST_R15,3,2021-01,none,peak,True,False,True,False
2020-05,CORE_FEEDBACK_R21,2,2020-11,none,trough,True,False,True,False
2020-05,CORE_FEEDBACK_R21,3,2021-02,none,none,True,False,False,False
2020-05,DAMPED_P95_Q001_R16,2,2020-11,none,trough,True,False,True,False
2020-05,DAMPED_P95_Q001_R16,3,2021-02,none,none,True,False,False,False
2020-05,GAP_CALIBRATION_R23,2,2020-11,none,trough,True,False,True,False
2020-05,GAP_CALIBRATION_R23,3,2021-02,none,none,True,False,False,False
2020-05,GAP_DOMESTIC_R23,2,2020-11,none,trough,True,False,True,False
2020-05,GAP_DOMESTIC_R23,3,2021-02,none,none,True,False,False,False
2020-05,GAP_ENET_R23,2,2020-11,none,trough,True,False,True,False
2020-05,GAP_ENET_R23,3,2021-02,none,none,True,False,False,False
2020-05,GAP_FREE_R23,2,2020-11,none,trough,True,False,True,False
2020-05,GAP_FREE_R23,3,2021-02,none,none,True,False,False,False
2020-05,GAP_HALF_R23,2,2020-11,none,trough,True,False,True,False
2020-05,GAP_HALF_R23,3,2021-02,none,none,True,False,False,False
2020-05,GAP_IMPORTED_R23,2,2020-11,none,trough,True,False,True,False
2020-05,GAP_IMPORTED_R23,3,2021-02,none,none,True,False,False,False
2020-05,GAP_JOINT_R23,2,2020-11,none,trough,True,False,True,False
2020-05,GAP_JOINT_R23,3,2021-02,none,none,True,False,False,False
2020-05,STABLE_LOCAL_CORE_R14B,2,2020-11,none,trough,True,False,True,False
2020-05,STABLE_LOCAL_CORE_R14B,3,2021-02,none,none,True,False,False,False
2020-05,STATE_FAST_R15,2,2020-11,none,trough,True,False,True,False
2020-05,STATE_FAST_R15,3,2021-02,none,none,True,False,False,False
2020-06,CORE_FEEDBACK_R21,2,2020-12,none,trough,True,False,True,False
2020-06,CORE_FEEDBACK_R21,3,2021-03,none,none,True,False,False,False
2020-06,DAMPED_P95_Q001_R16,2,2020-12,none,trough,True,False,True,False
2020-06,DAMPED_P95_Q001_R16,3,2021-03,none,none,True,False,False,False
2020-06,GAP_CALIBRATION_R23,2,2020-12,none,trough,True,False,True,False
