scope,sample,clock,model,quarters_ahead,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_mae,mean_absolute_error_gain_vs_cnb,material_gains,material_losses,immaterial_pairs,mean_model_cnb_deviation,mean_realised_cnb_error,deviation_direction_correct_rate,deviation_error_correlation
within_clock_common,full,cutoff,GAP_JOINT_R23,3,16,1.5018039522726845,2.2124655244432376,-0.21013200266117427,16,16,1.1088691841257816,-0.39293476814690254,3,9,4,0.543610967751783,0.7537429704129572,0.3125,0.40960364128555005
within_clock_common,full,cutoff,GAP_JOINT_R23,4,15,1.7635505504079896,2.764195062258903,0.10898303455315571,15,15,1.4843928442432301,-0.2791577061647594,3,10,2,1.3006898941888019,1.1917068596356455,0.5333333333333333,0.4061186480672026
within_clock_common,full,cutoff,STABLE_LOCAL_CORE_R14B,all,66,1.5398259358158655,2.544963785079963,-0.19306785567446777,18,18,1.0605492231877776,-0.4792767126280879,17,31,18,0.30599963417645115,0.499067489850919,0.5454545454545454,0.1317631105410917
within_clock_common,full,cutoff,STABLE_LOCAL_CORE_R14B,1,18,0.8614488685140429,1.515084695418347,-0.21733151407034332,18,18,0.5554610620931573,-0.30598780642088586,4,7,7,-0.3821150476330438,-0.16478353356270048,0.6666666666666666,0.19875171729615487
within_clock_common,full,cutoff,STABLE_LOCAL_CORE_R14B,2,17,1.528228467477615,2.284985793909034,-0.38688864375216986,17,17,1.175891176650326,-0.3523372908272894,5,7,5,-0.035767025331743196,0.3511216184204268,0.5882352941176471,0.13038080838299332
within_clock_common,full,cutoff,STABLE_LOCAL_CORE_R14B,3,16,1.7255066816704077,2.751773534651942,-0.2323563012404124,16,16,1.1088691841257816,-0.6166374975446262,4,8,4,0.5213866691725447,0.7537429704129572,0.375,0.01917256577619396
within_clock_common,full,cutoff,STABLE_LOCAL_CORE_R14B,4,15,2.1689627517832255,3.427700608480751,0.09761976949231961,15,15,1.4843928442432301,-0.6845699075399949,4,9,2,1.2893266291279653,1.1917068596356455,0.5333333333333333,-0.025169406713840856
within_clock_common,full,cutoff,STATE_FAST_R15,all,66,1.3350176986691555,2.129456611256195,-0.24980974243149776,18,18,1.0605492231877776,-0.2744684754813778,13,31,22,0.24925774741942122,0.499067489850919,0.5303030303030303,0.40653964595277325
within_clock_common,full,cutoff,STATE_FAST_R15,1,18,0.8391588134792128,1.5022420674064336,-0.235608030204747,18,18,0.5554610620931573,-0.28369775138605574,4,8,6,-0.40039156376744756,-0.16478353356270048,0.6666666666666666,0.23612952573294474
within_clock_common,full,cutoff,STATE_FAST_R15,2,17,1.4326982017793106,2.0725905400049163,-0.43438755748989094,17,17,1.175891176650326,-0.2568070251289849,3,7,7,-0.08326593906946413,0.3511216184204268,0.5882352941176471,0.3190254105330096
within_clock_common,full,cutoff,STATE_FAST_R15,3,16,1.4876750367071834,2.1873548868336403,-0.29290410221541874,16,16,1.1088691841257816,-0.3788058525814019,3,8,5,0.46083886819753844,0.7537429704129572,0.3125,0.4334331448203533
within_clock_common,full,cutoff,STATE_FAST_R15,4,15,1.656509296798347,2.69670662696897,-0.011696289601237142,15,15,1.4843928442432301,-0.17211645255511715,3,8,4,1.1800105700344088,1.1917068596356455,0.5333333333333333,0.44903455281412424
within_clock_common,full,cutoff,cnb,all,66,1.0605492231877776,2.2954532595060186,-0.499067489850919,18,18,1.0605492231877776,0.0,0,0,66,0.0,0.499067489850919,0.0,
within_clock_common,full,cutoff,cnb,1,18,0.5554610620931573,0.9474636327304558,0.16478353356270048,18,18,0.5554610620931573,0.0,0,0,18,0.0,-0.16478353356270048,0.0,
within_clock_common,full,cutoff,cnb,2,17,1.175891176650326,2.0747355620744736,-0.3511216184204268,17,17,1.175891176650326,0.0,0,0,17,0.0,0.3511216184204268,0.0,
within_clock_common,full,cutoff,cnb,3,16,1.1088691841257816,2.506310439771679,-0.7537429704129572,16,16,1.1088691841257816,0.0,0,0,16,0.0,0.7537429704129572,0.0,
within_clock_common,full,cutoff,cnb,4,15,1.4843928442432301,3.2446896054586443,-1.1917068596356455,15,15,1.4843928442432301,0.0,0,0,15,0.0,1.1917068596356455,0.0,
within_clock_common,full,report,CORE_FEEDBACK_R21,all,66,1.2302684252687606,1.9175517836140439,-0.19356286164627295,18,18,1.0605492231877776,-0.16971920208098296,15,30,21,0.305504628204646,0.499067489850919,0.5454545454545454,0.532936627805325
within_clock_common,full,report,CORE_FEEDBACK_R21,1,18,0.8108048326900437,1.5000385827851186,-0.1449549114379206,18,18,0.5554610620931573,-0.25534377059688634,2,7,9,-0.30973844500062114,-0.16478353356270048,0.5555555555555556,0.13672141985827685
within_clock_common,full,report,CORE_FEEDBACK_R21,2,17,1.2678494759831,1.805057759029543,-0.3652487276006729,17,17,1.175891176650326,-0.0919582993327746,5,7,5,-0.014127109180246204,0.3511216184204268,0.7058823529411765,0.5037802979293544
within_clock_common,full,report,CORE_FEEDBACK_R21,3,16,1.2823319185974111,1.8987755506719883,-0.2621427842887135,16,16,1.1088691841257816,-0.17346273447162966,4,7,5,0.4916001861242438,0.7537429704129572,0.375,0.627035770916549
within_clock_common,full,report,CORE_FEEDBACK_R21,4,15,1.6354984860030752,2.4372756502935604,0.015836830337294144,15,15,1.4843928442432301,-0.15110564175984528,4,9,2,1.2075436899729401,1.1917068596356455,0.5333333333333333,0.5980890055987549
within_clock_common,full,report,DAMPED_P95_Q001_R16,all,66,1.2462110358644405,1.907148054082442,-0.17239365285118494,18,18,1.0605492231877776,-0.1856618126766628,13,29,24,0.32667383699973396,0.499067489850919,0.5303030303030303,0.54093216913112
within_clock_common,full,report,DAMPED_P95_Q001_R16,1,18,0.8115021562949365,1.494222404336452,-0.1405824264555272,18,18,0.5554610620931573,-0.2560410942017792,3,7,8,-0.3053659600182277,-0.16478353356270048,0.5555555555555556,0.13307377081732133
within_clock_common,full,report,DAMPED_P95_Q001_R16,2,17,1.2634184906698087,1.7992907102274391,-0.3508685509161831,17,17,1.175891176650326,-0.08752731401948302,5,6,6,0.00025306750424369156,0.3511216184204268,0.7058823529411765,0.5053617793617289
within_clock_common,full,report,DAMPED_P95_Q001_R16,3,16,1.2700497053139317,1.8903570456627232,-0.23517649960035913,16,16,1.1088691841257816,-0.1611805211881502,3,7,6,0.5185664708125981,0.7537429704129572,0.3125,0.6291360109354337
within_clock_common,full,report,DAMPED_P95_Q001_R16,4,15,1.722931995155637,2.4173773301868713,0.05867279648014267,15,15,1.4843928442432301,-0.23853915091240696,2,9,4,1.2503796561157885,1.1917068596356455,0.5333333333333333,0.6006406358708957
within_clock_common,full,report,GAP_CALIBRATION_R23,all,66,1.280921635874972,1.9921670712552406,-0.12296328376011348,18,18,1.0605492231877776,-0.22037241268719457,15,33,18,0.3761042060908055,0.499067489850919,0.5606060606060606,0.48210707886329984
within_clock_common,full,report,GAP_CALIBRATION_R23,1,18,0.8151048240902936,1.5087088613476882,-0.13299647983611906,18,18,0.5554610620931573,-0.25964376199713624,3,7,8,-0.29778001339881954,-0.16478353356270048,0.6666666666666666,0.13554106213141637
within_clock_common,full,report,GAP_CALIBRATION_R23,2,17,1.2940138664792689,1.8555646922220155,-0.32226554619048375,17,17,1.175891176650326,-0.11812268982894318,5,8,4,0.028856072229942974,0.3511216184204268,0.7058823529411765,0.4563633397478307
within_clock_common,full,report,GAP_CALIBRATION_R23,3,16,1.363125655202675,2.0106490675649855,-0.1726407057900045,16,16,1.1088691841257816,-0.2542564710768932,4,8,4,0.5811022646229527,0.7537429704129572,0.375,0.5475804397870705
within_clock_common,full,report,GAP_CALIBRATION_R23,4,15,1.7373796613821675,2.55275161595045,0.16794169911739665,15,15,1.4843928442432301,-0.25298681713893767,3,10,2,1.3596485587530425,1.1917068596356455,0.4666666666666667,0.5427051332276078
within_clock_common,full,report,GAP_DOMESTIC_R23,all,66,1.2883371496390612,1.9961090859058699,-0.12829082065845737,18,18,1.0605492231877776,-0.22778792645128362,15,32,19,0.3707766691924616,0.499067489850919,0.5454545454545454,0.4798337049348918
within_clock_common,full,report,GAP_DOMESTIC_R23,1,18,0.8193840312318789,1.508016531628343,-0.12921469025067261,18,18,0.5554610620931573,-0.26392296913872154,3,7,8,-0.29399822381337315,-0.16478353356270048,0.6111111111111112,0.1335874167102583
within_clock_common,full,report,GAP_DOMESTIC_R23,2,17,1.306205331695727,1.8639464603636722,-0.31679462437079386,17,17,1.175891176650326,-0.13031415504540125,5,8,4,0.03432699404963295,0.3511216184204268,0.7058823529411765,0.4487929187393584
within_clock_common,full,report,GAP_DOMESTIC_R23,3,16,1.377886043830439,2.02854284879961,-0.17694336106266045,16,16,1.1088691841257816,-0.26901685970465744,4,8,4,0.576799609350297,0.7537429704129572,0.375,0.5349191367720304
within_clock_common,full,report,GAP_DOMESTIC_R23,4,15,1.7353114649259893,2.5447584304712834,0.13835151015733213,15,15,1.4843928442432301,-0.2509186206827594,3,9,3,1.3300583697929784,1.1917068596356455,0.4666666666666667,0.5454382171681542
within_clock_common,full,report,GAP_ENET_R23,all,66,1.4178494198386835,2.1702072851356524,0.052364940710474504,18,18,1.0605492231877776,-0.357300196650906,15,33,18,0.5514324305613935,0.499067489850919,0.5303030303030303,0.38559942153708554
within_clock_common,full,report,GAP_ENET_R23,1,18,0.8321699657842029,1.4864249475676583,-0.0905580703414594,18,18,0.5554610620931573,-0.2767089036910456,3,7,8,-0.25534160390415994,-0.16478353356270048,0.5555555555555556,0.13031266375906322
within_clock_common,full,report,GAP_ENET_R23,2,17,1.362541188111438,1.907644853756965,-0.18877593375239735,17,17,1.175891176650326,-0.18665001146111224,5,8,4,0.1623456846680293,0.3511216184204268,0.7058823529411765,0.3959237188860806
within_clock_common,full,report,GAP_ENET_R23,3,16,1.468045023574511,2.209868184123012,0.053170827298943846,16,16,1.1088691841257816,-0.35917583944872944,4,8,4,0.8069137977119012,0.7537429704129572,0.375,0.40776981198512696
within_clock_common,full,report,GAP_ENET_R23,4,15,2.129805450010057,2.9560715371165713,0.49630593266968276,15,15,1.4843928442432301,-0.6454126057668269,3,10,2,1.6880127923053285,1.1917068596356455,0.4666666666666667,0.33507045123905055
within_clock_common,full,report,GAP_FREE_R23,all,66,1.4191872496310949,2.1601105514877426,0.0907809718180469,18,18,1.0605492231877776,-0.3586380264433174,16,33,17,0.5898484616689659,0.499067489850919,0.5303030303030303,0.39213579259634956
