scope,sample,clock,model,quarters_ahead,n,mae,rmse,bias,report_count,unique_target_quarters,cnb_mae,mean_absolute_error_gain_vs_cnb,material_gains,material_losses,immaterial_pairs,mean_model_cnb_deviation,mean_realised_cnb_error,deviation_direction_correct_rate,deviation_error_correlation
within_clock_common,reports_2024plus,report,DAMPED_P95_Q001_R16,4,7,0.5752597714588392,0.6765347018311086,-0.06670373222918095,7,7,0.37099796799334317,-0.20426180346549602,0,3,4,-0.10101002822876566,-0.03430629599958473,0.42857142857142855,-0.42555906962913975
within_clock_common,reports_2024plus,report,PRESS_DOMESTIC_R23B,all,34,0.4177859637568359,0.5942697863026318,0.150450809459523,10,10,0.2865084409450862,-0.13127752281174973,6,15,13,0.11386348961523403,-0.03658731984428897,0.5588235294117647,0.1714954060178169
within_clock_common,reports_2024plus,report,PRESS_DOMESTIC_R23B,1,10,0.1845249060901923,0.2535756575944757,-0.012043358415104177,10,10,0.17551728915709686,-0.00900761693309542,0,2,8,-0.08395827740024611,-0.07191491898514193,0.7,0.8749780382990495
within_clock_common,reports_2024plus,report,PRESS_DOMESTIC_R23B,2,9,0.36561602506226215,0.4906906607846468,0.0593200945291406,9,9,0.31543419066374057,-0.050181834398521544,2,3,4,0.07110371035783691,0.01178361582869631,0.7777777777777778,0.3702767095459298
within_clock_common,reports_2024plus,report,PRESS_DOMESTIC_R23B,3,8,0.5695751081318999,0.7382843321302655,0.2614211212301817,8,8,0.31877757607936186,-0.250797532052538,2,5,1,0.21258010181573422,-0.048841019414447434,0.375,-0.10897573833857435
within_clock_common,reports_2024plus,report,PRESS_DOMESTIC_R23B,4,7,0.6446183737449915,0.8312479069778634,0.37293018359587216,7,7,0.37099796799334317,-0.2736204057516483,2,5,0,0.3386238875962874,-0.03430629599958473,0.2857142857142857,-0.28704979318588386
within_clock_common,reports_2024plus,report,PRESS_JOINT_R23B,all,34,0.39714148979326547,0.5868670149272528,0.09898826540692857,10,10,0.2865084409450862,-0.11063304884817922,8,13,13,0.06240094556263959,-0.03658731984428897,0.5588235294117647,0.17645485994924465
within_clock_common,reports_2024plus,report,PRESS_JOINT_R23B,1,10,0.18354188989051984,0.25430002788851436,-0.016728273397503844,10,10,0.17551728915709686,-0.008024600733422971,1,2,7,-0.08864319238264577,-0.07191491898514193,0.7,0.8668011691756757
within_clock_common,reports_2024plus,report,PRESS_JOINT_R23B,2,9,0.35677701054916294,0.4902459011650607,0.009136282861851999,9,9,0.31543419066374057,-0.041342819885422356,3,3,3,0.02091989869054831,0.01178361582869631,0.7777777777777778,0.3754010661692132
within_clock_common,reports_2024plus,report,PRESS_JOINT_R23B,3,8,0.5298827938189845,0.7304724056346665,0.1792666787909595,8,8,0.31877757607936186,-0.21110521773962262,2,4,2,0.1304256593765121,-0.048841019414447434,0.375,-0.08698617936714614
